1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1100000081734541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Thu Jun 19 13:42:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 29 02:32:01 PDT 2025
Total Mission Samples:  5469
Total Device Samples:  12479
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/29/25, 2:32:01 AM,%RH,98.622
6/29/25, 2:42:01 AM,%RH,99.632
6/29/25, 2:52:01 AM,%RH,99.654
6/29/25, 3:02:01 AM,%RH,99.128
6/29/25, 3:12:01 AM,%RH,99.632
6/29/25, 3:22:01 AM,%RH,100
6/29/25, 3:32:01 AM,%RH,99.612
6/29/25, 3:42:01 AM,%RH,100
6/29/25, 3:52:01 AM,%RH,100
6/29/25, 4:02:01 AM,%RH,99.632
6/29/25, 4:12:01 AM,%RH,100
6/29/25, 4:22:01 AM,%RH,99.612
6/29/25, 4:32:01 AM,%RH,100
6/29/25, 4:42:01 AM,%RH,100
6/29/25, 4:52:01 AM,%RH,100
6/29/25, 5:02:01 AM,%RH,100
6/29/25, 5:12:01 AM,%RH,100
6/29/25, 5:22:01 AM,%RH,100
6/29/25, 5:32:01 AM,%RH,100
6/29/25, 5:42:01 AM,%RH,100
6/29/25, 5:52:01 AM,%RH,100
6/29/25, 6:02:01 AM,%RH,100
6/29/25, 6:12:01 AM,%RH,100
6/29/25, 6:22:01 AM,%RH,100
6/29/25, 6:32:01 AM,%RH,100
6/29/25, 6:42:01 AM,%RH,100
6/29/25, 6:52:01 AM,%RH,100
6/29/25, 7:02:01 AM,%RH,100
6/29/25, 7:12:01 AM,%RH,100
6/29/25, 7:22:01 AM,%RH,100
6/29/25, 7:32:01 AM,%RH,100
6/29/25, 7:42:01 AM,%RH,92.629
6/29/25, 7:52:01 AM,%RH,78.002
6/29/25, 8:02:01 AM,%RH,66.262
6/29/25, 8:12:01 AM,%RH,73.967
6/29/25, 8:22:01 AM,%RH,80.31
