1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1100000081734541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sun Jul 27 13:10:01 PDT 2025
Mission Sample Count:  3767
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jul 27 13:10:01 PDT 2025
Total Mission Samples:  3767
Total Device Samples:  16246
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/27/25, 1:10:01 PM,%RH,37.102
7/27/25, 1:20:01 PM,%RH,38.899
7/27/25, 1:30:01 PM,%RH,35.81
7/27/25, 1:40:01 PM,%RH,32.421
7/27/25, 1:50:01 PM,%RH,34.092
7/27/25, 2:00:01 PM,%RH,38.649
7/27/25, 2:10:01 PM,%RH,41.167
7/27/25, 2:20:01 PM,%RH,51.494
7/27/25, 2:30:01 PM,%RH,52.73
7/27/25, 2:40:01 PM,%RH,54.48
7/27/25, 2:50:01 PM,%RH,42.424
7/27/25, 3:00:01 PM,%RH,39.828
7/27/25, 3:10:01 PM,%RH,38.388
7/27/25, 3:20:01 PM,%RH,49.052
7/27/25, 3:30:01 PM,%RH,40.547
7/27/25, 3:40:01 PM,%RH,37.614
7/27/25, 3:50:01 PM,%RH,46.746
7/27/25, 4:00:01 PM,%RH,41.102
7/27/25, 4:10:01 PM,%RH,41.356
7/27/25, 4:20:01 PM,%RH,41.504
7/27/25, 4:30:01 PM,%RH,35.19
7/27/25, 4:40:01 PM,%RH,35.19
7/27/25, 4:50:01 PM,%RH,36.996
7/27/25, 5:00:01 PM,%RH,38.95
7/27/25, 5:10:01 PM,%RH,38.441
7/27/25, 5:20:01 PM,%RH,36.996
7/27/25, 5:30:01 PM,%RH,36.892
7/27/25, 5:40:01 PM,%RH,40.179
7/27/25, 5:50:01 PM,%RH,38.95
