1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1100000081734541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sun Jul 27 13:10:01 PDT 2025
Mission Sample Count:  3767
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jul 27 13:10:01 PDT 2025
Total Mission Samples:  3767
Total Device Samples:  16246
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/27/25, 1:10:01 PM,C,27.554
7/27/25, 1:20:01 PM,C,25.555
7/27/25, 1:30:01 PM,C,28.054
7/27/25, 1:40:01 PM,C,28.054
7/27/25, 1:50:01 PM,C,24.555
7/27/25, 2:00:01 PM,C,23.055
7/27/25, 2:10:01 PM,C,21.554
7/27/25, 2:20:01 PM,C,20.554
7/27/25, 2:30:01 PM,C,20.054
7/27/25, 2:40:01 PM,C,25.555
7/27/25, 2:50:01 PM,C,27.554
7/27/25, 3:00:01 PM,C,28.054
7/27/25, 3:10:01 PM,C,27.055
7/27/25, 3:20:01 PM,C,22.054
7/27/25, 3:30:01 PM,C,28.554
7/27/25, 3:40:01 PM,C,26.055
7/27/25, 3:50:01 PM,C,25.055
7/27/25, 4:00:01 PM,C,27.554
7/27/25, 4:10:01 PM,C,23.555
7/27/25, 4:20:01 PM,C,25.055
7/27/25, 4:30:01 PM,C,28.554
7/27/25, 4:40:01 PM,C,28.554
7/27/25, 4:50:01 PM,C,26.555
7/27/25, 5:00:01 PM,C,26.055
7/27/25, 5:10:01 PM,C,27.554
7/27/25, 5:20:01 PM,C,26.555
7/27/25, 5:30:01 PM,C,25.555
7/27/25, 5:40:01 PM,C,25.055
7/27/25, 5:50:01 PM,C,26.055
7/27/25, 6:00:01 PM,C,25.055
7/27/25, 6:10:01 PM,C,24.555
7/27/25, 6:20:01 PM,C,25.555
7/27/25, 6:30:01 PM,C,25.055
7/27/25, 6:40:01 PM,C,23.555
7/27/25, 6:50:01 PM,C,23.555
7/27/25, 7:00:01 PM,C,23.555
7/27/25, 7:10:01 PM,C,23.055
7/27/25, 7:20:01 PM,C,20.554
7/27/25, 7:30:01 PM,C,17.553
7/27/25, 7:40:01 PM,C,16.552
7/27/25, 7:50:01 PM,C,15.051
7/27/25, 8:00:01 PM,C,12.549
7/27/25, 8:10:01 PM,C,11.048
7/27/25, 8:20:01 PM,C,10.047
7/27/25, 8:30:01 PM,C,9.046
7/27/25, 8:40:01 PM,C,9.046
7/27/25, 8:50:01 PM,C,8.045
7/27/25, 9:00:01 PM,C,8.045
7/27/25, 9:10:01 PM,C,7.544
7/27/25, 9:20:01 PM,C,7.544
7/27/25, 9:30:01 PM,C,7.544
7/27/25, 9:40:01 PM,C,7.044
7/27/25, 9:50:01 PM,C,6.042
7/27/25, 10:00:01 PM,C,6.543
7/27/25, 10:10:01 PM,C,6.543
7/27/25, 10:20:01 PM,C,6.543
7/27/25, 10:30:01 PM,C,5.542
7/27/25, 10:40:01 PM,C,5.542
7/27/25, 10:50:01 PM,C,5.041
7/27/25, 11:00:01 PM,C,5.041
7/27/25, 11:10:01 PM,C,5.041
7/27/25, 11:20:01 PM,C,4.54
7/27/25, 11:30:01 PM,C,4.04
7/27/25, 11:40:01 PM,C,4.04
7/27/25, 11:50:01 PM,C,3.539
7/28/25, 12:00:01 AM,C,3.038
7/28/25, 12:10:01 AM,C,3.038
7/28/25, 12:20:01 AM,C,3.038
7/28/25, 12:30:01 AM,C,3.539
7/28/25, 12:40:01 AM,C,3.038
7/28/25, 12:50:01 AM,C,2.037
7/28/25, 1:00:01 AM,C,2.537
7/28/25, 1:10:01 AM,C,2.037
7/28/25, 1:20:01 AM,C,2.537
7/28/25, 1:30:01 AM,C,2.537
7/28/25, 1:40:01 AM,C,2.037
7/28/25, 1:50:01 AM,C,2.037
7/28/25, 2:00:01 AM,C,1.536
7/28/25, 2:10:01 AM,C,1.536
7/28/25, 2:20:01 AM,C,1.035
7/28/25, 2:30:01 AM,C,1.035
7/28/25, 2:40:01 AM,C,1.035
7/28/25, 2:50:01 AM,C,0.534
7/28/25, 3:00:01 AM,C,0.534
7/28/25, 3:10:01 AM,C,0.534
7/28/25, 3:20:01 AM,C,0.033
7/28/25, 3:30:01 AM,C,0.033
7/28/25, 3:40:01 AM,C,0.534
7/28/25, 3:50:01 AM,C,0.033
7/28/25, 4:00:01 AM,C,0.033
7/28/25, 4:10:01 AM,C,0.033
7/28/25, 4:20:01 AM,C,-0.467
7/28/25, 4:30:01 AM,C,-0.968
7/28/25, 4:40:01 AM,C,-0.968
7/28/25, 4:50:01 AM,C,-0.968
7/28/25, 5:00:01 AM,C,-0.968
7/28/25, 5:10:01 AM,C,-0.968
7/28/25, 5:20:01 AM,C,-0.968
7/28/25, 5:30:01 AM,C,-1.97
7/28/25, 5:40:01 AM,C,-1.469
7/28/25, 5:50:01 AM,C,-1.469
7/28/25, 6:00:01 AM,C,-1.469
7/28/25, 6:10:01 AM,C,-1.97
7/28/25, 6:20:01 AM,C,-0.968
7/28/25, 6:30:01 AM,C,-0.968
7/28/25, 6:40:01 AM,C,-0.968
7/28/25, 6:50:01 AM,C,-0.467
7/28/25, 7:00:01 AM,C,0.033
7/28/25, 7:10:01 AM,C,0.033
7/28/25, 7:20:01 AM,C,0.534
7/28/25, 7:30:01 AM,C,1.536
7/28/25, 7:40:01 AM,C,3.038
7/28/25, 7:50:01 AM,C,4.04
7/28/25, 8:00:01 AM,C,6.042
7/28/25, 8:10:01 AM,C,8.045
7/28/25, 8:20:01 AM,C,8.045
7/28/25, 8:30:01 AM,C,8.045
7/28/25, 8:40:01 AM,C,9.046
7/28/25, 8:50:01 AM,C,9.547
7/28/25, 9:00:01 AM,C,10.548
7/28/25, 9:10:01 AM,C,14.051
7/28/25, 9:20:01 AM,C,20.054
7/28/25, 9:30:01 AM,C,23.055
7/28/25, 9:40:01 AM,C,25.055
7/28/25, 9:50:01 AM,C,25.555
7/28/25, 10:00:01 AM,C,26.055
7/28/25, 10:10:01 AM,C,26.555
7/28/25, 10:20:01 AM,C,27.554
7/28/25, 10:30:01 AM,C,28.054
7/28/25, 10:40:01 AM,C,27.554
7/28/25, 10:50:01 AM,C,28.054
7/28/25, 11:00:01 AM,C,29.054
7/28/25, 11:10:01 AM,C,29.054
7/28/25, 11:20:01 AM,C,28.554
7/28/25, 11:30:01 AM,C,29.054
7/28/25, 11:40:01 AM,C,29.054
7/28/25, 11:50:01 AM,C,29.054
7/28/25, 12:00:01 PM,C,29.054
7/28/25, 12:10:01 PM,C,28.054
7/28/25, 12:20:01 PM,C,30.054
7/28/25, 12:30:01 PM,C,28.054
7/28/25, 12:40:01 PM,C,29.554
7/28/25, 12:50:01 PM,C,24.555
7/28/25, 1:00:01 PM,C,28.554
7/28/25, 1:10:01 PM,C,24.555
7/28/25, 1:20:01 PM,C,29.054
7/28/25, 1:30:01 PM,C,30.054
