1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1100000081734541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sat Sep 20 14:38:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Sep 21 06:58:01 PDT 2025
Total Mission Samples:  4194
Total Device Samples:  24603
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/21/25, 6:58:01 AM,%RH,100
9/21/25, 7:08:01 AM,%RH,100
9/21/25, 7:18:01 AM,%RH,100
9/21/25, 7:28:01 AM,%RH,100
9/21/25, 7:38:01 AM,%RH,100
9/21/25, 7:48:01 AM,%RH,100
9/21/25, 7:58:01 AM,%RH,100
9/21/25, 8:08:01 AM,%RH,100
9/21/25, 8:18:01 AM,%RH,100
9/21/25, 8:28:01 AM,%RH,100
9/21/25, 8:38:01 AM,%RH,100
9/21/25, 8:48:01 AM,%RH,100
9/21/25, 8:58:01 AM,%RH,100
9/21/25, 9:08:01 AM,%RH,100
9/21/25, 9:18:01 AM,%RH,100
9/21/25, 9:28:01 AM,%RH,100
9/21/25, 9:38:01 AM,%RH,100
9/21/25, 9:48:01 AM,%RH,100
9/21/25, 9:58:01 AM,%RH,100
9/21/25, 10:08:01 AM,%RH,100
9/21/25, 10:18:01 AM,%RH,100
9/21/25, 10:28:01 AM,%RH,81.217
9/21/25, 10:38:01 AM,%RH,67.4
9/21/25, 10:48:01 AM,%RH,49.653
9/21/25, 10:58:01 AM,%RH,43.382
9/21/25, 11:08:01 AM,%RH,40.551
9/21/25, 11:18:01 AM,%RH,37.614
9/21/25, 11:28:01 AM,%RH,36.22
9/21/25, 11:38:01 AM,%RH,39.414
9/21/25, 11:48:01 AM,%RH,36.789
9/21/25, 11:58:01 AM,%RH,36.689
9/21/25, 12:08:01 PM,%RH,42.399
9/21/25, 12:18:01 PM,%RH,46.821
9/21/25, 12:28:01 PM,%RH,48.729
9/21/25, 12:38:01 PM,%RH,48.729
9/21/25, 12:48:01 PM,%RH,48.12
9/21/25, 12:58:01 PM,%RH,42.93
9/21/25, 1:08:01 PM,%RH,41.783
9/21/25, 1:18:01 PM,%RH,41.829
9/21/25, 1:28:01 PM,%RH,34.717
9/21/25, 1:38:01 PM,%RH,28.625
9/21/25, 1:48:01 PM,%RH,36.494
9/21/25, 1:58:01 PM,%RH,29.523
9/21/25, 2:08:01 PM,%RH,31.526
9/21/25, 2:18:01 PM,%RH,35.146
9/21/25, 2:28:01 PM,%RH,33.465
9/21/25, 2:38:01 PM,%RH,36.353
9/21/25, 2:48:01 PM,%RH,41.608
9/21/25, 2:58:01 PM,%RH,35.967
9/21/25, 3:08:01 PM,%RH,39.658
9/21/25, 3:18:01 PM,%RH,34.247
9/21/25, 3:28:01 PM,%RH,29.949
9/21/25, 3:38:01 PM,%RH,30.738
9/21/25, 3:48:01 PM,%RH,28.835
9/21/25, 3:58:01 PM,%RH,35.05
9/21/25, 4:08:01 PM,%RH,34.717
9/21/25, 4:18:01 PM,%RH,34.041
9/21/25, 4:28:01 PM,%RH,32.785
9/21/25, 4:38:01 PM,%RH,34.143
9/21/25, 4:48:01 PM,%RH,32.734
9/21/25, 4:58:01 PM,%RH,39.268
9/21/25, 5:08:01 PM,%RH,41.694
9/21/25, 5:18:01 PM,%RH,46.821
9/21/25, 5:28:01 PM,%RH,46.9
9/21/25, 5:38:01 PM,%RH,46.86
9/21/25, 5:48:01 PM,%RH,49.413
9/21/25, 5:58:01 PM,%RH,55.061
9/21/25, 6:08:01 PM,%RH,48.238
9/21/25, 6:18:01 PM,%RH,50.094
9/21/25, 6:28:01 PM,%RH,59.999
9/21/25, 6:38:01 PM,%RH,69.85
9/21/25, 6:48:01 PM,%RH,79.818
9/21/25, 6:58:01 PM,%RH,81.838
9/21/25, 7:08:01 PM,%RH,85.057
9/21/25, 7:18:01 PM,%RH,88.172
9/21/25, 7:28:01 PM,%RH,92.866
9/21/25, 7:38:01 PM,%RH,91.246
9/21/25, 7:48:01 PM,%RH,94.281
9/21/25, 7:58:01 PM,%RH,93.764
9/21/25, 8:08:01 PM,%RH,96.338
9/21/25, 8:18:01 PM,%RH,95.785
9/21/25, 8:28:01 PM,%RH,97.278
9/21/25, 8:38:01 PM,%RH,98.257
9/21/25, 8:48:01 PM,%RH,98.73
9/21/25, 8:58:01 PM,%RH,98.699
9/21/25, 9:08:01 PM,%RH,100
9/21/25, 9:18:01 PM,%RH,99.707
9/21/25, 9:28:01 PM,%RH,100
9/21/25, 9:38:01 PM,%RH,100
9/21/25, 9:48:01 PM,%RH,100
9/21/25, 9:58:01 PM,%RH,100
9/21/25, 10:08:01 PM,%RH,100
9/21/25, 10:18:01 PM,%RH,100
9/21/25, 10:28:01 PM,%RH,100
9/21/25, 10:38:01 PM,%RH,100
9/21/25, 10:48:01 PM,%RH,100
9/21/25, 10:58:01 PM,%RH,100
9/21/25, 11:08:01 PM,%RH,100
9/21/25, 11:18:01 PM,%RH,100
9/21/25, 11:28:01 PM,%RH,100
9/21/25, 11:38:01 PM,%RH,100
9/21/25, 11:48:01 PM,%RH,100
9/21/25, 11:58:01 PM,%RH,100
9/22/25, 12:08:01 AM,%RH,100
9/22/25, 12:18:01 AM,%RH,100
9/22/25, 12:28:01 AM,%RH,100
9/22/25, 12:38:01 AM,%RH,100
9/22/25, 12:48:01 AM,%RH,100
9/22/25, 12:58:01 AM,%RH,100
9/22/25, 1:08:01 AM,%RH,100
9/22/25, 1:18:01 AM,%RH,100
9/22/25, 1:28:01 AM,%RH,100
9/22/25, 1:38:01 AM,%RH,100
9/22/25, 1:48:01 AM,%RH,100
9/22/25, 1:58:01 AM,%RH,100
9/22/25, 2:08:01 AM,%RH,100
9/22/25, 2:18:01 AM,%RH,100
9/22/25, 2:28:01 AM,%RH,100
9/22/25, 2:38:01 AM,%RH,100
9/22/25, 2:48:01 AM,%RH,100
9/22/25, 2:58:01 AM,%RH,100
9/22/25, 3:08:01 AM,%RH,100
9/22/25, 3:18:01 AM,%RH,100
9/22/25, 3:28:01 AM,%RH,100
9/22/25, 3:38:01 AM,%RH,100
9/22/25, 3:48:01 AM,%RH,100
9/22/25, 3:58:01 AM,%RH,100
9/22/25, 4:08:01 AM,%RH,100
9/22/25, 4:18:01 AM,%RH,100
9/22/25, 4:28:01 AM,%RH,100
9/22/25, 4:38:01 AM,%RH,100
9/22/25, 4:48:01 AM,%RH,100
9/22/25, 4:58:01 AM,%RH,100
9/22/25, 5:08:01 AM,%RH,100
9/22/25, 5:18:01 AM,%RH,100
9/22/25, 5:28:01 AM,%RH,100
9/22/25, 5:38:01 AM,%RH,100
9/22/25, 5:48:01 AM,%RH,100
9/22/25, 5:58:01 AM,%RH,100
9/22/25, 6:08:01 AM,%RH,100
9/22/25, 6:18:01 AM,%RH,100
9/22/25, 6:28:01 AM,%RH,100
9/22/25, 6:38:01 AM,%RH,100
9/22/25, 6:48:01 AM,%RH,100
9/22/25, 6:58:01 AM,%RH,100
9/22/25, 7:08:01 AM,%RH,100
9/22/25, 7:18:01 AM,%RH,100
9/22/25, 7:28:01 AM,%RH,100
9/22/25, 7:38:01 AM,%RH,100
9/22/25, 7:48:01 AM,%RH,100
9/22/25, 7:58:01 AM,%RH,100
9/22/25, 8:08:01 AM,%RH,100
9/22/25, 8:18:01 AM,%RH,100
9/22/25, 8:28:01 AM,%RH,100
9/22/25, 8:38:01 AM,%RH,100
9/22/25, 8:48:01 AM,%RH,100
9/22/25, 8:58:01 AM,%RH,100
9/22/25, 9:08:01 AM,%RH,100
9/22/25, 9:18:01 AM,%RH,100
9/22/25, 9:28:01 AM,%RH,100
9/22/25, 9:38:01 AM,%RH,100
9/22/25, 9:48:01 AM,%RH,100
9/22/25, 9:58:01 AM,%RH,100
9/22/25, 10:08:01 AM,%RH,100
9/22/25, 10:18:01 AM,%RH,93.868
