1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1100000081734541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sun Oct 19 17:39:01 PDT 2025
Mission Sample Count:  2318
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Oct 19 17:39:01 PDT 2025
Total Mission Samples:  2318
Total Device Samples:  26922
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/19/25, 5:39:01 PM,C,15.051
10/19/25, 5:49:01 PM,C,8.546
10/19/25, 5:59:01 PM,C,9.547
10/19/25, 6:09:01 PM,C,9.046
10/19/25, 6:19:01 PM,C,9.547
10/19/25, 6:29:01 PM,C,9.046
10/19/25, 6:39:01 PM,C,8.045
10/19/25, 6:49:01 PM,C,6.543
10/19/25, 6:59:01 PM,C,4.54
10/19/25, 7:09:01 PM,C,3.539
10/19/25, 7:19:01 PM,C,2.537
10/19/25, 7:29:01 PM,C,2.037
10/19/25, 7:39:01 PM,C,1.536
10/19/25, 7:49:01 PM,C,1.035
10/19/25, 7:59:01 PM,C,1.035
10/19/25, 8:09:01 PM,C,0.534
10/19/25, 8:19:01 PM,C,0.033
10/19/25, 8:29:01 PM,C,-0.467
10/19/25, 8:39:01 PM,C,-0.467
10/19/25, 8:49:01 PM,C,-0.968
10/19/25, 8:59:01 PM,C,-0.968
10/19/25, 9:09:01 PM,C,-1.469
10/19/25, 9:19:01 PM,C,-1.97
10/19/25, 9:29:01 PM,C,-1.97
10/19/25, 9:39:01 PM,C,-1.97
10/19/25, 9:49:01 PM,C,-1.97
10/19/25, 9:59:01 PM,C,-2.471
10/19/25, 10:09:01 PM,C,-2.471
10/19/25, 10:19:01 PM,C,-2.471
10/19/25, 10:29:01 PM,C,-2.471
10/19/25, 10:39:01 PM,C,-2.471
10/19/25, 10:49:01 PM,C,-2.471
10/19/25, 10:59:01 PM,C,-2.972
10/19/25, 11:09:01 PM,C,-2.972
10/19/25, 11:19:01 PM,C,-3.473
10/19/25, 11:29:01 PM,C,-3.473
10/19/25, 11:39:01 PM,C,-3.974
