1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 2D0000008175C841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Jun 18 13:35:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 29 03:35:01 PDT 2025
Total Mission Samples:  5620
Total Device Samples:  12681
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/29/25, 3:35:01 AM,C,3.012
6/29/25, 3:45:01 AM,C,3.012
6/29/25, 3:55:01 AM,C,3.012
6/29/25, 4:05:01 AM,C,3.012
6/29/25, 4:15:01 AM,C,3.012
6/29/25, 4:25:01 AM,C,3.012
6/29/25, 4:35:01 AM,C,3.012
6/29/25, 4:45:01 AM,C,2.51
6/29/25, 4:55:01 AM,C,2.51
6/29/25, 5:05:01 AM,C,2.51
6/29/25, 5:15:01 AM,C,2.51
6/29/25, 5:25:01 AM,C,2.51
6/29/25, 5:35:01 AM,C,2.51
6/29/25, 5:45:01 AM,C,2.51
6/29/25, 5:55:01 AM,C,3.012
6/29/25, 6:05:01 AM,C,3.012
6/29/25, 6:15:01 AM,C,3.012
6/29/25, 6:25:01 AM,C,4.015
6/29/25, 6:35:01 AM,C,4.516
6/29/25, 6:45:01 AM,C,5.018
6/29/25, 6:55:01 AM,C,6.522
6/29/25, 7:05:01 AM,C,12.534
6/29/25, 7:15:01 AM,C,15.539
6/29/25, 7:25:01 AM,C,16.039
6/29/25, 7:35:01 AM,C,13.536
6/29/25, 7:45:01 AM,C,20.043
6/29/25, 7:55:01 AM,C,22.544
6/29/25, 8:05:01 AM,C,24.045
6/29/25, 8:15:01 AM,C,25.045
6/29/25, 8:25:01 AM,C,25.545
6/29/25, 8:35:01 AM,C,27.045
6/29/25, 8:45:01 AM,C,27.545
6/29/25, 8:55:01 AM,C,29.044
6/29/25, 9:05:01 AM,C,28.544
6/29/25, 9:15:01 AM,C,28.044
6/29/25, 9:25:01 AM,C,28.544
6/29/25, 9:35:01 AM,C,28.044
6/29/25, 9:45:01 AM,C,28.044
6/29/25, 9:55:01 AM,C,28.544
6/29/25, 10:05:01 AM,C,28.044
6/29/25, 10:15:01 AM,C,28.044
6/29/25, 10:25:01 AM,C,28.544
6/29/25, 10:35:01 AM,C,28.044
6/29/25, 10:45:01 AM,C,29.044
6/29/25, 10:55:01 AM,C,28.044
6/29/25, 11:05:01 AM,C,29.544
6/29/25, 11:15:01 AM,C,30.043
6/29/25, 11:25:01 AM,C,30.543
6/29/25, 11:35:01 AM,C,30.543
6/29/25, 11:45:01 AM,C,29.544
