1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 6400000081776141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Mon Jul 28 13:50:01 PDT 2025
Mission Sample Count:  3745
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Mon Jul 28 13:50:01 PDT 2025
Total Mission Samples:  3745
Total Device Samples:  15469
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/28/25, 1:50:01 PM,%RH,37.359
7/28/25, 2:00:01 PM,%RH,29.531
7/28/25, 2:10:01 PM,%RH,32.256
7/28/25, 2:20:01 PM,%RH,31.564
7/28/25, 2:30:01 PM,%RH,28.833
7/28/25, 2:40:01 PM,%RH,30.122
7/28/25, 2:50:01 PM,%RH,25.315
7/28/25, 3:00:01 PM,%RH,25.315
7/28/25, 3:10:01 PM,%RH,23.184
7/28/25, 3:20:01 PM,%RH,23.131
7/28/25, 3:30:01 PM,%RH,23.184
7/28/25, 3:40:01 PM,%RH,24.553
7/28/25, 3:50:01 PM,%RH,27.377
7/28/25, 4:00:01 PM,%RH,26.727
7/28/25, 4:10:01 PM,%RH,28.726
7/28/25, 4:20:01 PM,%RH,26.021
7/28/25, 4:30:01 PM,%RH,28.132
7/28/25, 4:40:01 PM,%RH,28.025
7/28/25, 4:50:01 PM,%RH,29.371
7/28/25, 5:00:01 PM,%RH,32.947
7/28/25, 5:10:01 PM,%RH,34.27
7/28/25, 5:20:01 PM,%RH,31.511
7/28/25, 5:30:01 PM,%RH,25.915
7/28/25, 5:40:01 PM,%RH,31.458
7/28/25, 5:50:01 PM,%RH,27.323
7/28/25, 6:00:01 PM,%RH,25.861
7/28/25, 6:10:01 PM,%RH,29.318
7/28/25, 6:20:01 PM,%RH,28.673
7/28/25, 6:30:01 PM,%RH,27.164
7/28/25, 6:40:01 PM,%RH,31.249
7/28/25, 6:50:01 PM,%RH,31.249
7/28/25, 7:00:01 PM,%RH,27.657
7/28/25, 7:10:01 PM,%RH,31.044
7/28/25, 7:20:01 PM,%RH,31.638
7/28/25, 7:30:01 PM,%RH,36.807
7/28/25, 7:40:01 PM,%RH,37.445
7/28/25, 7:50:01 PM,%RH,43.431
7/28/25, 8:00:01 PM,%RH,45.318
7/28/25, 8:10:01 PM,%RH,44.689
7/28/25, 8:20:01 PM,%RH,45.668
7/28/25, 8:30:01 PM,%RH,52.466
7/28/25, 8:40:01 PM,%RH,58.61
7/28/25, 8:50:01 PM,%RH,59.688
7/28/25, 9:00:01 PM,%RH,60.835
7/28/25, 9:10:01 PM,%RH,70.144
7/28/25, 9:20:01 PM,%RH,68.978
7/28/25, 9:30:01 PM,%RH,67.151
7/28/25, 9:40:01 PM,%RH,70.018
7/28/25, 9:50:01 PM,%RH,73.481
7/28/25, 10:00:01 PM,%RH,73.421
7/28/25, 10:10:01 PM,%RH,76.77
7/28/25, 10:20:01 PM,%RH,76.206
7/28/25, 10:30:01 PM,%RH,76.714
7/28/25, 10:40:01 PM,%RH,77.837
7/28/25, 10:50:01 PM,%RH,76.714
7/28/25, 11:00:01 PM,%RH,78.343
7/28/25, 11:10:01 PM,%RH,78.343
7/28/25, 11:20:01 PM,%RH,79.961
7/28/25, 11:30:01 PM,%RH,83.208
7/28/25, 11:40:01 PM,%RH,83.208
7/28/25, 11:50:01 PM,%RH,83.208
7/29/25, 12:00:01 AM,%RH,83.162
7/29/25, 12:10:01 AM,%RH,83.706
7/29/25, 12:20:01 AM,%RH,85.286
7/29/25, 12:30:01 AM,%RH,86.359
7/29/25, 12:40:01 AM,%RH,86.854
7/29/25, 12:50:01 AM,%RH,89.993
7/29/25, 1:00:01 AM,%RH,89.504
7/29/25, 1:10:01 AM,%RH,89.468
7/29/25, 1:20:01 AM,%RH,89.993
7/29/25, 1:30:01 AM,%RH,91.527
7/29/25, 1:40:01 AM,%RH,91.527
7/29/25, 1:50:01 AM,%RH,92.563
7/29/25, 2:00:01 AM,%RH,90.484
7/29/25, 2:10:01 AM,%RH,92.534
7/29/25, 2:20:01 AM,%RH,94.077
7/29/25, 2:30:01 AM,%RH,93.538
7/29/25, 2:40:01 AM,%RH,92.534
7/29/25, 2:50:01 AM,%RH,94.563
7/29/25, 3:00:01 AM,%RH,94.563
7/29/25, 3:10:01 AM,%RH,95.05
7/29/25, 3:20:01 AM,%RH,95.558
7/29/25, 3:30:01 AM,%RH,95.558
7/29/25, 3:40:01 AM,%RH,94.518
7/29/25, 3:50:01 AM,%RH,95.538
7/29/25, 4:00:01 AM,%RH,97.056
7/29/25, 4:10:01 AM,%RH,96.551
7/29/25, 4:20:01 AM,%RH,96.534
7/29/25, 4:30:01 AM,%RH,96.534
7/29/25, 4:40:01 AM,%RH,96.534
7/29/25, 4:50:01 AM,%RH,99.041
7/29/25, 5:00:01 AM,%RH,98.043
7/29/25, 5:10:01 AM,%RH,98.03
7/29/25, 5:20:01 AM,%RH,97.528
7/29/25, 5:30:01 AM,%RH,97.528
7/29/25, 5:40:01 AM,%RH,98.03
7/29/25, 5:50:01 AM,%RH,98.018
7/29/25, 6:00:01 AM,%RH,98.03
