1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 6400000081776141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sat Sep 20 16:21:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Sep 21 05:01:01 PDT 2025
Total Mission Samples:  4172
Total Device Samples:  23689
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/21/25, 5:01:01 AM,%RH,100
9/21/25, 5:11:01 AM,%RH,100
9/21/25, 5:21:01 AM,%RH,100
9/21/25, 5:31:01 AM,%RH,100
9/21/25, 5:41:01 AM,%RH,100
9/21/25, 5:51:01 AM,%RH,100
9/21/25, 6:01:01 AM,%RH,100
9/21/25, 6:11:01 AM,%RH,100
9/21/25, 6:21:01 AM,%RH,100
9/21/25, 6:31:01 AM,%RH,100
9/21/25, 6:41:01 AM,%RH,100
9/21/25, 6:51:01 AM,%RH,100
9/21/25, 7:01:01 AM,%RH,100
9/21/25, 7:11:01 AM,%RH,100
9/21/25, 7:21:01 AM,%RH,100
9/21/25, 7:31:01 AM,%RH,100
9/21/25, 7:41:01 AM,%RH,100
9/21/25, 7:51:01 AM,%RH,100
9/21/25, 8:01:01 AM,%RH,100
9/21/25, 8:11:01 AM,%RH,100
9/21/25, 8:21:01 AM,%RH,100
9/21/25, 8:31:01 AM,%RH,100
9/21/25, 8:41:01 AM,%RH,100
9/21/25, 8:51:01 AM,%RH,100
9/21/25, 9:01:01 AM,%RH,100
9/21/25, 9:11:01 AM,%RH,99.206
9/21/25, 9:21:01 AM,%RH,82.728
9/21/25, 9:31:01 AM,%RH,75.325
9/21/25, 9:41:01 AM,%RH,69.474
9/21/25, 9:51:01 AM,%RH,64.659
9/21/25, 10:01:01 AM,%RH,71.2
9/21/25, 10:11:01 AM,%RH,67.696
9/21/25, 10:21:01 AM,%RH,48.452
9/21/25, 10:31:01 AM,%RH,57.171
9/21/25, 10:41:01 AM,%RH,43.892
9/21/25, 10:51:01 AM,%RH,42.516
