1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 80000000817C7B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Wed Jun 25 15:51:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Jun 29 04:01:01 PDT 2025
Total Mission Samples:  4601
Total Device Samples:  11836
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
6/29/25, 4:01:01 AM,%RH,88.12
6/29/25, 4:11:01 AM,%RH,89.82
6/29/25, 4:21:01 AM,%RH,89.255
6/29/25, 4:31:01 AM,%RH,89.82
6/29/25, 4:41:01 AM,%RH,90.384
6/29/25, 4:51:01 AM,%RH,90.384
6/29/25, 5:01:01 AM,%RH,90.907
6/29/25, 5:11:01 AM,%RH,92.029
6/29/25, 5:21:01 AM,%RH,92.588
6/29/25, 5:31:01 AM,%RH,93.146
6/29/25, 5:41:01 AM,%RH,92.588
6/29/25, 5:51:01 AM,%RH,91.469
6/29/25, 6:01:01 AM,%RH,92.588
6/29/25, 6:11:01 AM,%RH,89.862
6/29/25, 6:21:01 AM,%RH,82.619
6/29/25, 6:31:01 AM,%RH,73.477
6/29/25, 6:41:01 AM,%RH,63.514
6/29/25, 6:51:01 AM,%RH,61.092
6/29/25, 7:01:01 AM,%RH,58.728
6/29/25, 7:11:01 AM,%RH,60.62
6/29/25, 7:21:01 AM,%RH,63.191
6/29/25, 7:31:01 AM,%RH,61.294
6/29/25, 7:41:01 AM,%RH,62.623
6/29/25, 7:51:01 AM,%RH,62.012
6/29/25, 8:01:01 AM,%RH,63.342
6/29/25, 8:11:01 AM,%RH,65.215
6/29/25, 8:21:01 AM,%RH,65.901
6/29/25, 8:31:01 AM,%RH,58.896
6/29/25, 8:41:01 AM,%RH,54.391
6/29/25, 8:51:01 AM,%RH,53.16
6/29/25, 9:01:01 AM,%RH,42.743
6/29/25, 9:11:01 AM,%RH,34.86
6/29/25, 9:21:01 AM,%RH,33.532
6/29/25, 9:31:01 AM,%RH,34.276
