1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 80000000817C7B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sun Jul 27 14:36:01 PDT 2025
Mission Sample Count:  3754
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jul 27 14:36:01 PDT 2025
Total Mission Samples:  3754
Total Device Samples:  15590
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
7/27/25, 2:36:01 PM,C,25.566
7/27/25, 2:46:01 PM,C,22.565
7/27/25, 2:56:01 PM,C,23.066
7/27/25, 3:06:01 PM,C,22.065
7/27/25, 3:16:01 PM,C,21.064
7/27/25, 3:26:01 PM,C,21.565
7/27/25, 3:36:01 PM,C,21.064
7/27/25, 3:46:01 PM,C,20.063
7/27/25, 3:56:01 PM,C,21.064
7/27/25, 4:06:01 PM,C,21.565
7/27/25, 4:16:01 PM,C,21.064
7/27/25, 4:26:01 PM,C,22.565
7/27/25, 4:36:01 PM,C,23.066
7/27/25, 4:46:01 PM,C,23.066
7/27/25, 4:56:01 PM,C,22.565
7/27/25, 5:06:01 PM,C,22.565
7/27/25, 5:16:01 PM,C,22.565
7/27/25, 5:26:01 PM,C,22.065
7/27/25, 5:36:01 PM,C,22.565
7/27/25, 5:46:01 PM,C,22.065
7/27/25, 5:56:01 PM,C,22.065
7/27/25, 6:06:01 PM,C,22.065
7/27/25, 6:16:01 PM,C,22.565
7/27/25, 6:26:01 PM,C,22.565
7/27/25, 6:36:01 PM,C,22.065
7/27/25, 6:46:01 PM,C,21.064
7/27/25, 6:56:01 PM,C,21.064
7/27/25, 7:06:01 PM,C,20.063
7/27/25, 7:16:01 PM,C,18.562
7/27/25, 7:26:01 PM,C,18.061
7/27/25, 7:36:01 PM,C,17.06
7/27/25, 7:46:01 PM,C,16.058
7/27/25, 7:56:01 PM,C,15.056
7/27/25, 8:06:01 PM,C,14.555
7/27/25, 8:16:01 PM,C,13.553
7/27/25, 8:26:01 PM,C,13.553
7/27/25, 8:36:01 PM,C,12.551
7/27/25, 8:46:01 PM,C,12.551
7/27/25, 8:56:01 PM,C,12.05
7/27/25, 9:06:01 PM,C,12.05
7/27/25, 9:16:01 PM,C,11.549
7/27/25, 9:26:01 PM,C,11.048
7/27/25, 9:36:01 PM,C,10.546
7/27/25, 9:46:01 PM,C,10.546
7/27/25, 9:56:01 PM,C,10.546
7/27/25, 10:06:01 PM,C,10.045
7/27/25, 10:16:01 PM,C,9.544
7/27/25, 10:26:01 PM,C,9.042
7/27/25, 10:36:01 PM,C,9.042
7/27/25, 10:46:01 PM,C,8.541
7/27/25, 10:56:01 PM,C,8.541
7/27/25, 11:06:01 PM,C,8.039
7/27/25, 11:16:01 PM,C,8.039
7/27/25, 11:26:01 PM,C,8.039
7/27/25, 11:36:01 PM,C,7.538
7/27/25, 11:46:01 PM,C,7.036
7/27/25, 11:56:01 PM,C,7.036
7/28/25, 12:06:01 AM,C,6.535
7/28/25, 12:16:01 AM,C,6.535
7/28/25, 12:26:01 AM,C,6.535
7/28/25, 12:36:01 AM,C,6.535
7/28/25, 12:46:01 AM,C,6.033
7/28/25, 12:56:01 AM,C,6.033
7/28/25, 1:06:01 AM,C,5.531
7/28/25, 1:16:01 AM,C,5.531
7/28/25, 1:26:01 AM,C,5.531
7/28/25, 1:36:01 AM,C,5.029
7/28/25, 1:46:01 AM,C,5.029
7/28/25, 1:56:01 AM,C,5.029
7/28/25, 2:06:01 AM,C,5.029
7/28/25, 2:16:01 AM,C,4.528
7/28/25, 2:26:01 AM,C,4.528
7/28/25, 2:36:01 AM,C,4.528
7/28/25, 2:46:01 AM,C,4.528
7/28/25, 2:56:01 AM,C,4.026
7/28/25, 3:06:01 AM,C,4.026
7/28/25, 3:16:01 AM,C,4.026
7/28/25, 3:26:01 AM,C,3.524
7/28/25, 3:36:01 AM,C,3.524
7/28/25, 3:46:01 AM,C,3.524
7/28/25, 3:56:01 AM,C,3.524
7/28/25, 4:06:01 AM,C,3.022
7/28/25, 4:16:01 AM,C,3.022
7/28/25, 4:26:01 AM,C,3.022
7/28/25, 4:36:01 AM,C,3.022
7/28/25, 4:46:01 AM,C,3.022
7/28/25, 4:56:01 AM,C,3.022
7/28/25, 5:06:01 AM,C,2.52
7/28/25, 5:16:01 AM,C,2.52
7/28/25, 5:26:01 AM,C,2.52
7/28/25, 5:36:01 AM,C,2.52
7/28/25, 5:46:01 AM,C,2.52
7/28/25, 5:56:01 AM,C,2.018
7/28/25, 6:06:01 AM,C,2.018
7/28/25, 6:16:01 AM,C,2.018
7/28/25, 6:26:01 AM,C,2.52
7/28/25, 6:36:01 AM,C,4.528
7/28/25, 6:46:01 AM,C,6.535
7/28/25, 6:56:01 AM,C,8.039
7/28/25, 7:06:01 AM,C,7.036
7/28/25, 7:16:01 AM,C,7.538
7/28/25, 7:26:01 AM,C,8.039
7/28/25, 7:36:01 AM,C,8.039
7/28/25, 7:46:01 AM,C,8.541
7/28/25, 7:56:01 AM,C,9.544
7/28/25, 8:06:01 AM,C,10.546
7/28/25, 8:16:01 AM,C,12.05
7/28/25, 8:26:01 AM,C,13.052
7/28/25, 8:36:01 AM,C,13.553
7/28/25, 8:46:01 AM,C,15.056
7/28/25, 8:56:01 AM,C,17.06
7/28/25, 9:06:01 AM,C,21.064
7/28/25, 9:16:01 AM,C,23.066
7/28/25, 9:26:01 AM,C,24.066
7/28/25, 9:36:01 AM,C,25.066
7/28/25, 9:46:01 AM,C,25.566
7/28/25, 9:56:01 AM,C,25.566
7/28/25, 10:06:01 AM,C,25.566
7/28/25, 10:16:01 AM,C,26.566
7/28/25, 10:26:01 AM,C,26.566
7/28/25, 10:36:01 AM,C,25.566
7/28/25, 10:46:01 AM,C,27.066
7/28/25, 10:56:01 AM,C,26.566
