1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 80000000817C7B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Fri Aug 22 16:08:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 23 04:58:01 PDT 2025
Total Mission Samples:  4173
Total Device Samples:  19763
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/23/25, 4:58:01 AM,%RH,71.605
8/23/25, 5:08:01 AM,%RH,72.145
8/23/25, 5:18:01 AM,%RH,72.208
8/23/25, 5:28:01 AM,%RH,72.747
8/23/25, 5:38:01 AM,%RH,73.348
8/23/25, 5:48:01 AM,%RH,74.547
8/23/25, 5:58:01 AM,%RH,74.547
8/23/25, 6:08:01 AM,%RH,74.547
8/23/25, 6:18:01 AM,%RH,75.083
8/23/25, 6:28:01 AM,%RH,75.679
8/23/25, 6:38:01 AM,%RH,75.679
8/23/25, 6:48:01 AM,%RH,76.335
8/23/25, 6:58:01 AM,%RH,74.61
8/23/25, 7:08:01 AM,%RH,75.272
8/23/25, 7:18:01 AM,%RH,72.942
8/23/25, 7:28:01 AM,%RH,74.809
8/23/25, 7:38:01 AM,%RH,76.665
8/23/25, 7:48:01 AM,%RH,75.547
8/23/25, 7:58:01 AM,%RH,76.216
8/23/25, 8:08:01 AM,%RH,75.175
8/23/25, 8:18:01 AM,%RH,72.33
8/23/25, 8:28:01 AM,%RH,72.611
8/23/25, 8:38:01 AM,%RH,68.31
8/23/25, 8:48:01 AM,%RH,59.643
8/23/25, 8:58:01 AM,%RH,45.674
8/23/25, 9:08:01 AM,%RH,48.191
8/23/25, 9:18:01 AM,%RH,46.958
8/23/25, 9:28:01 AM,%RH,42.365
8/23/25, 9:38:01 AM,%RH,47.48
8/23/25, 9:48:01 AM,%RH,40.439
8/23/25, 9:58:01 AM,%RH,35.182
8/23/25, 10:08:01 AM,%RH,35.182
8/23/25, 10:18:01 AM,%RH,31.883
8/23/25, 10:28:01 AM,%RH,29.198
8/23/25, 10:38:01 AM,%RH,24.964
8/23/25, 10:48:01 AM,%RH,23.542
8/23/25, 10:58:01 AM,%RH,24.416
8/23/25, 11:08:01 AM,%RH,24.416
8/23/25, 11:18:01 AM,%RH,27.032
8/23/25, 11:28:01 AM,%RH,22.383
8/23/25, 11:38:01 AM,%RH,25.073
8/23/25, 11:48:01 AM,%RH,26.003
8/23/25, 11:58:01 AM,%RH,20.176
8/23/25, 12:08:01 PM,%RH,21.055
8/23/25, 12:18:01 PM,%RH,19.508
8/23/25, 12:28:01 PM,%RH,24.416
8/23/25, 12:38:01 PM,%RH,23.099
8/23/25, 12:48:01 PM,%RH,20.895
8/23/25, 12:58:01 PM,%RH,21.002
8/23/25, 1:08:01 PM,%RH,21.109
8/23/25, 1:18:01 PM,%RH,26.707
8/23/25, 1:28:01 PM,%RH,24.416
8/23/25, 1:38:01 PM,%RH,21.881
8/23/25, 1:48:01 PM,%RH,21.667
8/23/25, 1:58:01 PM,%RH,19.297
8/23/25, 2:08:01 PM,%RH,22.007
8/23/25, 2:18:01 PM,%RH,25.018
8/23/25, 2:28:01 PM,%RH,23.38
8/23/25, 2:38:01 PM,%RH,23.38
8/23/25, 2:48:01 PM,%RH,28.709
8/23/25, 2:58:01 PM,%RH,33.375
8/23/25, 3:08:01 PM,%RH,42.696
8/23/25, 3:18:01 PM,%RH,49.334
8/23/25, 3:28:01 PM,%RH,72.133
8/23/25, 3:38:01 PM,%RH,84.184
8/23/25, 3:48:01 PM,%RH,81.196
8/23/25, 3:58:01 PM,%RH,90.025
8/23/25, 4:08:01 PM,%RH,81.255
8/23/25, 4:18:01 PM,%RH,79.484
8/23/25, 4:28:01 PM,%RH,75.917
8/23/25, 4:38:01 PM,%RH,82.55
8/23/25, 4:48:01 PM,%RH,77.765
8/23/25, 4:58:01 PM,%RH,79.635
8/23/25, 5:08:01 PM,%RH,75.447
8/23/25, 5:18:01 PM,%RH,78.435
8/23/25, 5:28:01 PM,%RH,79.569
8/23/25, 5:38:01 PM,%RH,78.337
8/23/25, 5:48:01 PM,%RH,74.089
8/23/25, 5:58:01 PM,%RH,63.47
8/23/25, 6:08:01 PM,%RH,72.187
8/23/25, 6:18:01 PM,%RH,67.814
8/23/25, 6:28:01 PM,%RH,70.871
8/23/25, 6:38:01 PM,%RH,72.724
8/23/25, 6:48:01 PM,%RH,73.976
8/23/25, 6:58:01 PM,%RH,66.53
8/23/25, 7:08:01 PM,%RH,58.896
8/23/25, 7:18:01 PM,%RH,59.539
8/23/25, 7:28:01 PM,%RH,64.61
8/23/25, 7:38:01 PM,%RH,62.04
8/23/25, 7:48:01 PM,%RH,65.846
8/23/25, 7:58:01 PM,%RH,70.182
8/23/25, 8:08:01 PM,%RH,72.642
8/23/25, 8:18:01 PM,%RH,79.352
8/23/25, 8:28:01 PM,%RH,76.308
8/23/25, 8:38:01 PM,%RH,76.917
8/23/25, 8:48:01 PM,%RH,79.331
8/23/25, 8:58:01 PM,%RH,79.331
8/23/25, 9:08:01 PM,%RH,80.535
8/23/25, 9:18:01 PM,%RH,82.924
8/23/25, 9:28:01 PM,%RH,82.412
8/23/25, 9:38:01 PM,%RH,84.707
8/23/25, 9:48:01 PM,%RH,82.412
8/23/25, 9:58:01 PM,%RH,85.889
8/23/25, 10:08:01 PM,%RH,82.412
8/23/25, 10:18:01 PM,%RH,82.994
8/23/25, 10:28:01 PM,%RH,83.574
8/23/25, 10:38:01 PM,%RH,84.649
8/23/25, 10:48:01 PM,%RH,85.8
8/23/25, 10:58:01 PM,%RH,85.721
8/23/25, 11:08:01 PM,%RH,87.438
8/23/25, 11:18:01 PM,%RH,86.294
8/23/25, 11:28:01 PM,%RH,85.721
8/23/25, 11:38:01 PM,%RH,84.57
8/23/25, 11:48:01 PM,%RH,85.721
8/23/25, 11:58:01 PM,%RH,85.643
8/24/25, 12:08:01 AM,%RH,87.285
8/24/25, 12:18:01 AM,%RH,87.285
8/24/25, 12:28:01 AM,%RH,88.99
8/24/25, 12:38:01 AM,%RH,90.611
8/24/25, 12:48:01 AM,%RH,90.54
8/24/25, 12:58:01 AM,%RH,90.54
8/24/25, 1:08:01 AM,%RH,90.54
