1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 80000000817C7B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Fri Aug 22 16:08:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sat Aug 23 04:58:01 PDT 2025
Total Mission Samples:  4173
Total Device Samples:  19763
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
8/23/25, 4:58:01 AM,C,9.544
8/23/25, 5:08:01 AM,C,9.042
8/23/25, 5:18:01 AM,C,9.544
8/23/25, 5:28:01 AM,C,9.042
8/23/25, 5:38:01 AM,C,9.042
8/23/25, 5:48:01 AM,C,9.042
8/23/25, 5:58:01 AM,C,9.042
8/23/25, 6:08:01 AM,C,9.042
8/23/25, 6:18:01 AM,C,8.541
8/23/25, 6:28:01 AM,C,8.541
8/23/25, 6:38:01 AM,C,8.541
8/23/25, 6:48:01 AM,C,9.042
8/23/25, 6:58:01 AM,C,9.544
8/23/25, 7:08:01 AM,C,10.045
8/23/25, 7:18:01 AM,C,10.546
8/23/25, 7:28:01 AM,C,11.048
8/23/25, 7:38:01 AM,C,11.549
8/23/25, 7:48:01 AM,C,12.05
8/23/25, 7:58:01 AM,C,12.551
8/23/25, 8:08:01 AM,C,13.553
8/23/25, 8:18:01 AM,C,14.555
8/23/25, 8:28:01 AM,C,15.557
8/23/25, 8:38:01 AM,C,17.06
8/23/25, 8:48:01 AM,C,20.564
8/23/25, 8:58:01 AM,C,25.566
8/23/25, 9:08:01 AM,C,24.066
8/23/25, 9:18:01 AM,C,25.066
8/23/25, 9:28:01 AM,C,26.066
8/23/25, 9:38:01 AM,C,23.566
8/23/25, 9:48:01 AM,C,27.066
8/23/25, 9:58:01 AM,C,29.066
8/23/25, 10:08:01 AM,C,29.066
8/23/25, 10:18:01 AM,C,30.565
8/23/25, 10:28:01 AM,C,31.564
8/23/25, 10:38:01 AM,C,31.564
8/23/25, 10:48:01 AM,C,31.564
8/23/25, 10:58:01 AM,C,33.062
8/23/25, 11:08:01 AM,C,33.062
8/23/25, 11:18:01 AM,C,31.064
8/23/25, 11:28:01 AM,C,34.061
8/23/25, 11:38:01 AM,C,32.563
8/23/25, 11:48:01 AM,C,34.56
8/23/25, 11:58:01 AM,C,33.562
8/23/25, 12:08:01 PM,C,35.06
8/23/25, 12:18:01 PM,C,34.061
8/23/25, 12:28:01 PM,C,33.062
8/23/25, 12:38:01 PM,C,34.061
8/23/25, 12:48:01 PM,C,33.562
8/23/25, 12:58:01 PM,C,34.56
8/23/25, 1:08:01 PM,C,35.559
8/23/25, 1:18:01 PM,C,28.066
8/23/25, 1:28:01 PM,C,33.062
8/23/25, 1:38:01 PM,C,36.058
8/23/25, 1:48:01 PM,C,34.061
8/23/25, 1:58:01 PM,C,32.063
