1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 80000000817C7B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 600 second(s)
Mission Start Time:  Sat Sep 20 15:33:01 PDT 2025
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Sep 21 06:13:01 PDT 2025
Total Mission Samples:  4184
Total Device Samples:  23947
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/21/25, 6:13:01 AM,%RH,100
9/21/25, 6:23:01 AM,%RH,100
9/21/25, 6:33:01 AM,%RH,100
9/21/25, 6:43:01 AM,%RH,100
9/21/25, 6:53:01 AM,%RH,100
9/21/25, 7:03:01 AM,%RH,100
9/21/25, 7:13:01 AM,%RH,100
9/21/25, 7:23:01 AM,%RH,100
9/21/25, 7:33:01 AM,%RH,100
9/21/25, 7:43:01 AM,%RH,100
9/21/25, 7:53:01 AM,%RH,100
9/21/25, 8:03:01 AM,%RH,100
9/21/25, 8:13:01 AM,%RH,100
9/21/25, 8:23:01 AM,%RH,100
9/21/25, 8:33:01 AM,%RH,100
9/21/25, 8:43:01 AM,%RH,100
9/21/25, 8:53:01 AM,%RH,100
9/21/25, 9:03:01 AM,%RH,98.032
9/21/25, 9:13:01 AM,%RH,94.931
9/21/25, 9:23:01 AM,%RH,73.891
9/21/25, 9:33:01 AM,%RH,60.889
9/21/25, 9:43:01 AM,%RH,49.91
9/21/25, 9:53:01 AM,%RH,46.588
9/21/25, 10:03:01 AM,%RH,57.64
9/21/25, 10:13:01 AM,%RH,48.585
9/21/25, 10:23:01 AM,%RH,44.536
9/21/25, 10:33:01 AM,%RH,46.721
9/21/25, 10:43:01 AM,%RH,40.132
9/21/25, 10:53:01 AM,%RH,38.624
9/21/25, 11:03:01 AM,%RH,48.585
9/21/25, 11:13:01 AM,%RH,38.871
9/21/25, 11:23:01 AM,%RH,34.604
9/21/25, 11:33:01 AM,%RH,33.964
9/21/25, 11:43:01 AM,%RH,43.777
9/21/25, 11:53:01 AM,%RH,38.721
9/21/25, 12:03:01 PM,%RH,39.846
9/21/25, 12:13:01 PM,%RH,44.368
9/21/25, 12:23:01 PM,%RH,48.976
9/21/25, 12:33:01 PM,%RH,48.976
9/21/25, 12:43:01 PM,%RH,52.284
9/21/25, 12:53:01 PM,%RH,45.712
9/21/25, 1:03:01 PM,%RH,40.392
9/21/25, 1:13:01 PM,%RH,39.711
9/21/25, 1:23:01 PM,%RH,28.393
9/21/25, 1:33:01 PM,%RH,29.251
9/21/25, 1:43:01 PM,%RH,36.474
9/21/25, 1:53:01 PM,%RH,31.087
9/21/25, 2:03:01 PM,%RH,30.288
9/21/25, 2:13:01 PM,%RH,33.666
9/21/25, 2:23:01 PM,%RH,37.705
9/21/25, 2:33:01 PM,%RH,32.328
9/21/25, 2:43:01 PM,%RH,41.623
9/21/25, 2:53:01 PM,%RH,37.845
9/21/25, 3:03:01 PM,%RH,39.667
9/21/25, 3:13:01 PM,%RH,38.39
9/21/25, 3:23:01 PM,%RH,34.456
9/21/25, 3:33:01 PM,%RH,34.554
9/21/25, 3:43:01 PM,%RH,33.715
9/21/25, 3:53:01 PM,%RH,36.332
9/21/25, 4:03:01 PM,%RH,39.623
9/21/25, 4:13:01 PM,%RH,39.667
9/21/25, 4:23:01 PM,%RH,40.348
9/21/25, 4:33:01 PM,%RH,42.385
9/21/25, 4:43:01 PM,%RH,42.427
9/21/25, 4:53:01 PM,%RH,45.081
9/21/25, 5:03:01 PM,%RH,45.041
9/21/25, 5:13:01 PM,%RH,45.673
9/21/25, 5:23:01 PM,%RH,47.68
9/21/25, 5:33:01 PM,%RH,51.625
9/21/25, 5:43:01 PM,%RH,51.625
9/21/25, 5:53:01 PM,%RH,53.565
9/21/25, 6:03:01 PM,%RH,56.801
9/21/25, 6:13:01 PM,%RH,58.745
9/21/25, 6:23:01 PM,%RH,60.009
9/21/25, 6:33:01 PM,%RH,63.17
9/21/25, 6:43:01 PM,%RH,67.99
9/21/25, 6:53:01 PM,%RH,70.278
9/21/25, 7:03:01 PM,%RH,71.491
9/21/25, 7:13:01 PM,%RH,74.426
9/21/25, 7:23:01 PM,%RH,77.33
9/21/25, 7:33:01 PM,%RH,78.44
9/21/25, 7:43:01 PM,%RH,78.892
9/21/25, 7:53:01 PM,%RH,79.48
9/21/25, 8:03:01 PM,%RH,81.754
9/21/25, 8:13:01 PM,%RH,81.171
9/21/25, 8:23:01 PM,%RH,82.852
9/21/25, 8:33:01 PM,%RH,84.524
9/21/25, 8:43:01 PM,%RH,85.615
9/21/25, 8:53:01 PM,%RH,86.759
9/21/25, 9:03:01 PM,%RH,87.273
9/21/25, 9:13:01 PM,%RH,89.489
9/21/25, 9:23:01 PM,%RH,90.616
9/21/25, 9:33:01 PM,%RH,91.127
9/21/25, 9:43:01 PM,%RH,91.127
9/21/25, 9:53:01 PM,%RH,91.078
9/21/25, 10:03:01 PM,%RH,92.198
9/21/25, 10:13:01 PM,%RH,92.152
9/21/25, 10:23:01 PM,%RH,91.032
9/21/25, 10:33:01 PM,%RH,90.988
9/21/25, 10:43:01 PM,%RH,91.549
9/21/25, 10:53:01 PM,%RH,91.549
9/21/25, 11:03:01 PM,%RH,92.627
9/21/25, 11:13:01 PM,%RH,92.627
9/21/25, 11:23:01 PM,%RH,92.627
9/21/25, 11:33:01 PM,%RH,92.588
9/21/25, 11:43:01 PM,%RH,93.702
9/21/25, 11:53:01 PM,%RH,93.702
9/22/25, 12:03:01 AM,%RH,93.666
9/22/25, 12:13:01 AM,%RH,95.329
9/22/25, 12:23:01 AM,%RH,94.776
9/22/25, 12:33:01 AM,%RH,94.776
9/22/25, 12:43:01 AM,%RH,96.399
9/22/25, 12:53:01 AM,%RH,97.496
9/22/25, 1:03:01 AM,%RH,96.948
9/22/25, 1:13:01 AM,%RH,97.467
9/22/25, 1:23:01 AM,%RH,99.104
9/22/25, 1:33:01 AM,%RH,99.647
9/22/25, 1:43:01 AM,%RH,100
9/22/25, 1:53:01 AM,%RH,100
9/22/25, 2:03:01 AM,%RH,100
9/22/25, 2:13:01 AM,%RH,100
9/22/25, 2:23:01 AM,%RH,100
9/22/25, 2:33:01 AM,%RH,100
9/22/25, 2:43:01 AM,%RH,100
9/22/25, 2:53:01 AM,%RH,100
9/22/25, 3:03:01 AM,%RH,100
9/22/25, 3:13:01 AM,%RH,100
9/22/25, 3:23:01 AM,%RH,100
9/22/25, 3:33:01 AM,%RH,100
9/22/25, 3:43:01 AM,%RH,100
9/22/25, 3:53:01 AM,%RH,100
9/22/25, 4:03:01 AM,%RH,100
9/22/25, 4:13:01 AM,%RH,100
9/22/25, 4:23:01 AM,%RH,100
9/22/25, 4:33:01 AM,%RH,100
9/22/25, 4:43:01 AM,%RH,100
9/22/25, 4:53:01 AM,%RH,100
9/22/25, 5:03:01 AM,%RH,100
9/22/25, 5:13:01 AM,%RH,100
9/22/25, 5:23:01 AM,%RH,100
9/22/25, 5:33:01 AM,%RH,100
9/22/25, 5:43:01 AM,%RH,100
9/22/25, 5:53:01 AM,%RH,100
9/22/25, 6:03:01 AM,%RH,100
9/22/25, 6:13:01 AM,%RH,100
9/22/25, 6:23:01 AM,%RH,100
9/22/25, 6:33:01 AM,%RH,100
9/22/25, 6:43:01 AM,%RH,100
9/22/25, 6:53:01 AM,%RH,100
9/22/25, 7:03:01 AM,%RH,100
9/22/25, 7:13:01 AM,%RH,100
9/22/25, 7:23:01 AM,%RH,100
9/22/25, 7:33:01 AM,%RH,100
9/22/25, 7:43:01 AM,%RH,100
9/22/25, 7:53:01 AM,%RH,100
9/22/25, 8:03:01 AM,%RH,100
9/22/25, 8:13:01 AM,%RH,100
9/22/25, 8:23:01 AM,%RH,100
9/22/25, 8:33:01 AM,%RH,100
9/22/25, 8:43:01 AM,%RH,100
9/22/25, 8:53:01 AM,%RH,100
9/22/25, 9:03:01 AM,%RH,99.18
9/22/25, 9:13:01 AM,%RH,94.378
9/22/25, 9:23:01 AM,%RH,72.084
9/22/25, 9:33:01 AM,%RH,55.157
9/22/25, 9:43:01 AM,%RH,45.431
9/22/25, 9:53:01 AM,%RH,44.669
9/22/25, 10:03:01 AM,%RH,44.669
9/22/25, 10:13:01 AM,%RH,40.762
9/22/25, 10:23:01 AM,%RH,44.043
9/22/25, 10:33:01 AM,%RH,42.743
9/22/25, 10:43:01 AM,%RH,41.44
9/22/25, 10:53:01 AM,%RH,40.034
9/22/25, 11:03:01 AM,%RH,41.488
9/22/25, 11:13:01 AM,%RH,39.403
9/22/25, 11:23:01 AM,%RH,42.696
9/22/25, 11:33:01 AM,%RH,43.278
9/22/25, 11:43:01 AM,%RH,40.034
9/22/25, 11:53:01 AM,%RH,34.17
9/22/25, 12:03:01 PM,%RH,34.808
9/22/25, 12:13:01 PM,%RH,32.04
9/22/25, 12:23:01 PM,%RH,32.04
9/22/25, 12:33:01 PM,%RH,29.356
9/22/25, 12:43:01 PM,%RH,32.198
9/22/25, 12:53:01 PM,%RH,31.988
9/22/25, 1:03:01 PM,%RH,31.241
9/22/25, 1:13:01 PM,%RH,29.042
9/22/25, 1:23:01 PM,%RH,28.55
9/22/25, 1:33:01 PM,%RH,22.952
9/22/25, 1:43:01 PM,%RH,23.769
9/22/25, 1:53:01 PM,%RH,25.027
9/22/25, 2:03:01 PM,%RH,29.198
9/22/25, 2:13:01 PM,%RH,30.441
9/22/25, 2:23:01 PM,%RH,35.883
9/22/25, 2:33:01 PM,%RH,31.241
9/22/25, 2:43:01 PM,%RH,25.735
9/22/25, 2:53:01 PM,%RH,27.848
9/22/25, 3:03:01 PM,%RH,31.087
9/22/25, 3:13:01 PM,%RH,31.087
9/22/25, 3:23:01 PM,%RH,31.783
9/22/25, 3:33:01 PM,%RH,28.497
9/22/25, 3:43:01 PM,%RH,26.987
9/22/25, 3:53:01 PM,%RH,31.633
9/22/25, 4:03:01 PM,%RH,31.633
9/22/25, 4:13:01 PM,%RH,31.583
9/22/25, 4:23:01 PM,%RH,31.583
9/22/25, 4:33:01 PM,%RH,31.583
9/22/25, 4:43:01 PM,%RH,30.188
9/22/25, 4:53:01 PM,%RH,33.666
9/22/25, 5:03:01 PM,%RH,32.23
9/22/25, 5:13:01 PM,%RH,38.39
9/22/25, 5:23:01 PM,%RH,34.907
9/22/25, 5:33:01 PM,%RH,30.738
9/22/25, 5:43:01 PM,%RH,31.436
9/22/25, 5:53:01 PM,%RH,39.623
9/22/25, 6:03:01 PM,%RH,41.541
9/22/25, 6:13:01 PM,%RH,43.537
9/22/25, 6:23:01 PM,%RH,46.798
9/22/25, 6:33:01 PM,%RH,50.319
9/22/25, 6:43:01 PM,%RH,52.185
9/22/25, 6:53:01 PM,%RH,55.957
9/22/25, 7:03:01 PM,%RH,55.883
9/22/25, 7:13:01 PM,%RH,58.98
9/22/25, 7:23:01 PM,%RH,62.6
9/22/25, 7:33:01 PM,%RH,61.976
9/22/25, 7:43:01 PM,%RH,61.907
9/22/25, 7:53:01 PM,%RH,64.328
9/22/25, 8:03:01 PM,%RH,67.956
9/22/25, 8:13:01 PM,%RH,66.05
9/22/25, 8:23:01 PM,%RH,69.66
9/22/25, 8:33:01 PM,%RH,70.207
9/22/25, 8:43:01 PM,%RH,70.207
9/22/25, 8:53:01 PM,%RH,71.36
9/22/25, 9:03:01 PM,%RH,74.312
9/22/25, 9:13:01 PM,%RH,73.112
9/22/25, 9:23:01 PM,%RH,77.235
9/22/25, 9:33:01 PM,%RH,76.642
9/22/25, 9:43:01 PM,%RH,76.59
9/22/25, 9:53:01 PM,%RH,76.59
9/22/25, 10:03:01 PM,%RH,78.906
9/22/25, 10:13:01 PM,%RH,79.494
9/22/25, 10:23:01 PM,%RH,79.494
9/22/25, 10:33:01 PM,%RH,78.859
9/22/25, 10:43:01 PM,%RH,78.859
9/22/25, 10:53:01 PM,%RH,81.205
9/22/25, 11:03:01 PM,%RH,81.161
9/22/25, 11:13:01 PM,%RH,81.161
9/22/25, 11:23:01 PM,%RH,82.908
9/22/25, 11:33:01 PM,%RH,82.866
9/22/25, 11:43:01 PM,%RH,85.179
9/22/25, 11:53:01 PM,%RH,84.025
9/23/25, 12:03:01 AM,%RH,85.179
9/23/25, 12:13:01 AM,%RH,85.754
9/23/25, 12:23:01 AM,%RH,86.863
9/23/25, 12:33:01 AM,%RH,85.754
9/23/25, 12:43:01 AM,%RH,86.29
9/23/25, 12:53:01 AM,%RH,87.434
9/23/25, 1:03:01 AM,%RH,88.573
9/23/25, 1:13:01 AM,%RH,89.106
9/23/25, 1:23:01 AM,%RH,89.673
9/23/25, 1:33:01 AM,%RH,91.364
9/23/25, 1:43:01 AM,%RH,92.456
9/23/25, 1:53:01 AM,%RH,90.802
9/23/25, 2:03:01 AM,%RH,90.771
9/23/25, 2:13:01 AM,%RH,91.896
9/23/25, 2:23:01 AM,%RH,91.334
9/23/25, 2:33:01 AM,%RH,91.896
