#,well_id,date,source,start depth (cm),stop depth (cm),start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes,data notes
33,"E6S, failed",7/16/2021,yellow p77,114,115,,,,,sandy clay,moist,C/VF-F,"7.5 YR, 3/3; orange mottled",,"10% pebbles; tried to deepen existing well, started at 115 cm but that layer may be mixed origins",
,"E6S, failed",7/16/2021,yellow p77,115,128,,,,,"sandy clay, FGR",moist,F/VF-F,"7.5 YR, 5/3",,gravel subangular,
,"E6S, failed",7/16/2021,yellow p77,128,138,,,,,"sandy clay, VGR",moist,F/VF-F,"7.5 YR, 4/1",,"gravel subangular, coarsening",
,"E6S, failed",7/16/2021,yellow p77,128,151,,,,,"sandy clay, VGR",moist,F/VF-F,"10 YR, 4/2",,"gravel subangular, coarsening further",
,"E6S, failed",7/16/2021,yellow p77,151,152,,,,,GR,,,,,"hit rock, seemed big",
,,,,,,,,,,,,,,,,
31,A3S,7/16/2021,yellow p77,97,98,,,,,GR,,,,,"attempted to deepen well, could not auger deeper than 97 cm, hit rock",
,,,,,,,,,,,,,,,,
26,D6N,6/29/2021,yellow p55,99,116,,,,,silty clay,moist,"M/VF-F, C/M","7.5 YR, 2.5/3",,deepened well from 99 cm,
,D6N,6/29/2021,yellow p55,116,136,,,,,"sandy clay, FGR",wet non-satiated,C/VF-F,"7.5 YR, 4/2",,,
,D6N,6/29/2021,yellow p55,136,155,,,,,"clay, FGR",saturated,F/VF-C,"mottled rocks 5 Y, 5/1 + 10 YR 4/6 + 2.5 Y 6/8 (olive yellow)",,groundwater level measured at 3.73 ft from ground,
,D6N,6/29/2021,yellow p55,155,161,,,,,"clay, CGR",saturated,F/VF-F,"10 YR, 5/4",,subangular gravel,
,D6N,6/29/2021,yellow p55,161,177,,,,live root fibers,"sandy clay, VGR",saturated,"F/C, C/VF-F","10 YR, 5/1 (grayer); white, rose and orange mottled",,"subangular gravel, mottled",
,D6N,6/29/2021,yellow p55,177,188,,,,,"sandy clay, VGR",saturated,C/VF-F,"7.5 YR, 5/1;  white, rose and orange mottled",,large sand and subangular gravel,
,D6N,6/29/2021,yellow p55,188,196,,,,live root fibers,"sandy clay, VFGR",saturated,C/VF-F,"7.5 YR, 5/1;  white, rose and orange mottled",,fine gravels and pebbles,
,,,,,,,,,,,,,,,,
33,E5S,7/16/2021,yellow p77,100,108,,,,,"sandy clay, VFGR",wet,C/VF-M,"10 YR, 4/4",,gravel sub-rounded; deepened original well,
,E5S,7/16/2021,yellow p77,108,113,,,,,"sandy clay, GR",wet,C/VF-M,"10 YR, 4/1; orange mottled, more gray",,gravel sub-rounded to 40 mm,
,E5S,7/16/2021,yellow p77,113,120,,,,,"sandy clay, GR",wet,F/VF-F,"10 YR, 4/3; orange mottled",,gravel sub-rounded to 40 mm,
,E5S,7/16/2021,yellow p77,120,126,,,,,"sandy clay, GR",wet,F/VF-F,"10 YR, 3/3; orange mottled",,gravel sub-rounded to 40 mm,
,E5S,7/16/2021,yellow p77,126,130,,,,,"sandy clay, GR",saturated,C/VF-F,"10 YR, 3/3; orange mottled",,gravel sub-rounded to 40 mm,
,E5S,7/16/2021,yellow p77,130,138,,,,,"sandy clay, XGR",saturated,F/VF-F,"10 YR, 4/4",,gravel sub-rounded to 40 mm,
,E5S,7/16/2021,yellow p77,138,150,,,,,"sandy clay, XFGR",saturated,F/VF-F,"10 YR, 4/4",,finer gravel,
,E5S,7/16/2021,yellow p77,150,165,,,,,"sandy clay, XGR",saturated,,"10 YR, 3/6",,"gravel sub-angular, larger to 45 mm",
,E5S,7/16/2021,yellow p77,165,179,,,,,FGR,saturated,,,,"gravel rounded, mostly 2-4 mm, a few to 16 mm",
,,,,,,,,,,,,,,,,
34,EER-1,6/5/2024,yellow p137,70,74,,,,,"clay, GR",,,,,"transition from clay to rounded gravels; replaced well, seemed to be frost-heaved, unable to deepen",
,,,,,,,,,,,,,,,,
13,KHF-1,6/30/2018,black spiral p17,0,12.7,0,5,,"HO, grassy, HPM",clay,moist,"M/C-VF, fibrous",dark brown,,fibrous roots throughout,
,KHF-1,6/30/2018,black spiral p17,12.7,24.13,5,9.5,,,clay,moist,"M/F-VF, F/C-M",dark brown,,,
,KHF-1,6/30/2018,black spiral p17,24.13,38.1,9.5,15,,,clay,moist,"C/F-VF, F/C-M",brown,,"hit rock > 120 mm; failed attempt, not the ultimate well location",
,,,,,,,,,,,,,,,,
,KHF-1,6/30/2018,black spiral p19,71.12,86.36,28,34,,,sandy clay,saturated,"F/VF, F/fibrous",tan and orange,,some chunks of soil dry inside,changed ending depth to 84 to ensure congruency w/ 27
,KHF-1,6/30/2018,black spiral p19,86.36,88.9,34,35,,,GR,,,,,hit big rock at bottom > 120 mm,"was included in #14, removed to ensure congruency w/ 27"
,,,,,,,,,,,,,,,,
25,KWT-1,6/29/2021,yellow p55,78,98,,,,,loamy sand,wet,,,,"deepened well, prior depth of well = 78 cm",
,KWT-1,6/29/2021,yellow p55,98,113,,,,,loam,wet non-satiated,,"7.5 YR, 3/3",,,
,KWT-1,6/29/2021,yellow p55,113,121,,,,,sandy clay loam,wet non-satiated,,"7.5 YR, 3/4",,,
,KWT-1,6/29/2021,yellow p55,121,125,,,,,sandy clay loam,wet non-satiated,,"7.5 YR, 3/4; rose and orange-red mottled pebbles, 2-4 mm",,,
,KWT-1,6/29/2021,yellow p55,125,131,,,,,sandy clay loam,wet non-satiated,,"10 YR 3/4; rose and orange-red mottled pebbles, 2-8 mm",,,
,KWT-1,6/29/2021,yellow p55,131,136,,,,,sandy clay loam,wet,,"10 YR 3/4; rose, red-orange and blue mottled pebbles",,rock 4.5 cm,
,KWT-1,6/29/2021,yellow p55,136,147,,,,,"sandy clay, VGR",wet,,"10 YR 4/4; rose, red-orange and blue mottled pebbles",,"rock 5 cm, subangular",
,,,,,,,,,,,,,,,,
25,KWT-1,6/29/2021,yellow p55,78,98,,,,,loamy sand,wet,,,,"deepened well, prior depth of well = 78 cm",overlapped with #9
,KWT-1,6/29/2021,yellow p55,98,113,,,,,loam,wet non-satiated,,"7.5 YR, 3/3",,,
,KWT-1,6/29/2021,yellow p55,113,121,,,,,sandy clay loam,wet non-satiated,,"7.5 YR, 3/4",,,
,KWT-1,6/29/2021,yellow p55,121,125,,,,,sandy clay loam,wet non-satiated,,"7.5 YR, 3/4; rose and orange-red mottled pebbles, 2-4 mm",,,
