soil well_id,soil well_id,,categories,wells,hygrochron?,gw logger?,full soil profile?,profile depth (cm),,hygro well_id,hygro well_id,
EEF-1,EEF-1,,EER,EER-1,x,,y,74,,KHF-1,KHF-1,
EEF-1,EEF-2,,EHR,EHR-1,x,,y,104,,KWR-1,KWR-1,
EEF-1,EER-1,x,EWR,EWR-1,x,,y,41,,KHF-1,EER-1,
EEF-1,EET-1,x,EET,EET-1,x,,y,99,,KWR-1,EHT-XA5S,rename
EEF-1,EFR-XB3S,,EHT,EHT-XC5S,x,no,no,120,,EER-1,KER-1,
EEF-2,EFT-XA2S,,EWT,EWT-2,x,,y,123,,EHT-XA5S,EHR-1,
EEF-2,EHF-XA5S,,EEF,EEF-2,x,,y,136,,KER-1,KWT-1,
EEF-2,EHR-1,x,EHF,EHF-XA5S,x,,y,131,,EER-1,KWT-2,
EEF-2,EWF-1,,EWF,EWF-1,x,,y,152,,EHT-XA5S,EWR-1,
EEF-2,EWR-1,x,KER,KER-1,x,,y,84,,KER-1,KHT-XE5S,
EEF-2,EWT-2,,,KER-2,no,,y,80,,EHR-1,EHT-XC5S,
EEF-2,KEF-1,,,KER-XD5N,no,no,,,,KWT-1,EWT-1,
EEF-2,KER-1,,KHR,KHR-1,x,,y,104,,KWT-2,EET-2,
EER-1,KER-2,,KWR,KWR-1,x,,y,84,,EHR-1,KEF-1,
EER-1,KET-1,,KET,KET-1,x,,y,110,,KWT-1,EET-1,
EER-1,KHF-1,,KHT,KHT-XE5S,x,,partial (100-179),179,,KWT-2,EWT-2,
EER-1,KHR-1,,KWT,KWT-2,x,,y,92,,EWR-1,KHR-1,
EET-1,KHT-XE4S,,KEF,KEF-1,x,,y,81,,EWR-1,KET-1,
EET-1,KHT-XE6S,,KHF,KHF-1,x,,y,167,,KHT-XE5S,0,
EET-1,KWF-1,,KWF,KWF-1,x,,y,147,,KHT-XE5S,,
EET-1,KWF-2,,,,,,,,,EHT-XC5S,,
EET-1,KWF-XE8S,,,,,,,,,EWT-1,,
EET-1,KWR-1,,,,,,,,,EHT-XC5S,,
EFR-XB3S,KWR-XE1N,,,,,,,,,EWT-1,,
EFR-XB3S,LET-1,,,,,,,,,EET-2,,
EFR-XB3S,LHT-1,,,,,,,,,KEF-1,,
EFT-XA2S,LWT-1,,,,,,,,,EET-2,,
EFT-XA2S,0,,,,,,,,,KEF-1,,
EFT-XA2S,,,,,,,,,,EET-1,,
EHF-XA5S,,,,,,,,,,EWT-2,,
EHF-XA5S,,,,,,,,,,KHR-1,,
EHF-XA5S,,,,,,,,,,EET-1,,
EHF-XA5S,,,,,,,,,,EWT-2,,
EHF-XA5S,,,,,,,,,,KHR-1,,
EHR-1,,,,,,,,,,KET-1,,
EHR-1,,,,,,,,,,KET-1,,
EHR-1,,,,,,,,,,KHF-1,,
EHR-1,,,,,,,,,,KWR-1,,
EHR-1,,,,,,,,,,KHF-1,,
EWF-1,,,,,,,,,,KWR-1,,
EWF-1,,,,,,,,,,EER-1,,
EWF-1,,,,,,,,,,EHT-XA5S,,
