#,well_id,date,why_bad,bad_resolution,source,start_depth_cm,stop_depth_cm,start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes,texture,sub-class,soil_texture_code,gravel size,gravel amount,gravel_amount_percent
25,KWT-1,6/29/21,"partial, starts at 78",add onto KWT-1 survey (to 41 cm) on 06/20/2018,yellow p55,78,98,,,,,loamy sand,loamy sand,,LS,,,wet,,,,"deepened well, prior depth of well = 78 cm",
,KWT-1,6/29/21,"partial, starts at 78",,yellow p55,98,113,,,,,loam,loam,,L,,,wet non-satiated,,"7.5 YR, 3/3",,,
,KWT-1,6/29/21,"partial, starts at 78",,yellow p55,113,121,,,,,sandy clay loam,sandy clay loam,,SCL,,,wet non-satiated,,"7.5 YR, 3/4",,,
,KWT-1,6/29/21,"partial, starts at 78",,yellow p55,121,125,,,,,sandy clay loam,sandy clay loam,,SCL,,,wet non-satiated,,"7.5 YR, 3/4; rose and orange-red mottled pebbles, 2-4 mm",,,
,KWT-1,6/29/21,"partial, starts at 78",,yellow p55,125,131,,,,,sandy clay loam,sandy clay loam,,SCL,,,wet non-satiated,,"10 YR 3/4; rose and orange-red mottled pebbles, 2-8 mm",,,
,KWT-1,6/29/21,"partial, starts at 78",,yellow p55,131,136,,,,,sandy clay loam,sandy clay loam,,SCL,,,wet,,"10 YR 3/4; rose, red-orange and blue mottled pebbles",,rock 4.5 cm,
,KWT-1,6/29/21,"partial, starts at 78",,yellow p55,136,147,,,,,"sandy clay, VGR",sandy clay,VGR,SC,"(2, 76)","(0.35, 0.6)",wet,,"10 YR 4/4; rose, red-orange and blue mottled pebbles",,"rock 5 cm, subangular",
,,,,,,,,,,,,,,,,,,,,,,,
13,KHF-1,6/30/18,"failed and abandoned, hit rock",skip/ignore; see other KHF-1 entry,black spiral p17,0,12.7,0,5,,"HO, grassy, HPM",clay,clay,,C,,,moist,"M/C-VF, fibrous",dark brown,,fibrous roots throughout,
,KHF-1,6/30/18,"failed and abandoned, hit rock",,black spiral p17,12.7,24.13,5,9.5,,,clay,clay,,C,,,moist,"M/F-VF, F/C-M",dark brown,,,
,KHF-1,6/30/18,"failed and abandoned, hit rock",,black spiral p17,24.13,38.1,9.5,15,,,clay,clay,,C,,,moist,"C/F-VF, F/C-M",brown,,"hit rock > 120 mm; failed attempt, not the ultimate well location",
,,,,,,,,,,,,,,,,,,,,,,,
26,D6N,6/29/21,"partial, starts at 99; no other data on D6N",skip/ignore; consider survey of 0-99 cm,yellow p55,99,116,,,,,silty clay,silty clay,,SIC,,,moist,"M/VF-F, C/M","7.5 YR, 2.5/3",,deepened well from 99 cm,
,D6N,6/29/21,"partial, starts at 99",,yellow p55,116,136,,,,,"sandy clay, FGR",sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)",wet non-satiated,C/VF-F,"7.5 YR, 4/2",,,
,D6N,6/29/21,"partial, starts at 99",,yellow p55,136,155,,,,,"clay, FGR",clay,FGR,C,"(2, 5)","(0.15, 0.35)",saturated,F/VF-C,"mottled rocks 5 Y, 5/1 + 10 YR 4/6 + 2.5 Y 6/8 (olive yellow)",,groundwater level measured at 3.73 ft from ground,
,D6N,6/29/21,"partial, starts at 99",,yellow p55,155,161,,,,,"clay, CGR",clay,CGR,C,"(20, 76)","(0.15, 0.35)",saturated,F/VF-F,"10 YR, 5/4",,subangular gravel,
,D6N,6/29/21,"partial, starts at 99",,yellow p55,161,177,,,,live root fibers,"sandy clay, VGR",sandy clay,VGR,SC,"(2, 76)","(0.35, 0.6)",saturated,"F/C, C/VF-F","10 YR, 5/1 (grayer); white, rose and orange mottled",,"subangular gravel, mottled",
,D6N,6/29/21,"partial, starts at 99",,yellow p55,177,188,,,,,"sandy clay, VGR",sandy clay,VGR,SC,"(2, 76)","(0.35, 0.6)",saturated,C/VF-F,"7.5 YR, 5/1;  white, rose and orange mottled",,large sand and subangular gravel,
,D6N,6/29/21,"partial, starts at 99",,yellow p55,188,196,,,,live root fibers,"sandy clay, VFGR",sandy clay,VFGR,SC,,,saturated,C/VF-F,"7.5 YR, 5/1;  white, rose and orange mottled",,fine gravels and pebbles,
,,,,,,,,,,,,,,,,,,,,,,,
27,KHF-1,6/29/21,"partial, starts at 84",add onto KHF-1 from 06/30/2018,yellow p55,84,100,,,,,"sandy clay, FGR",sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)",wet non-satiated,F/VF,7.5 YR 3/3,,"gravel sub-rounded; deepened well, prior depth 84 cm",
,KHF-1,6/29/21,,,yellow p55,100,111,,,,,"sandy clay, VFGR",sandy clay,VFGR,SC,,,wet non-satiated,,7.5 YR 3/3,,gravel sub-rounded,
,KHF-1,6/29/21,,,yellow p55,111,140,,,,,"sandy clay, VFGR",sandy clay,VFGR,SC,,,wet non-satiated,F/VF-F,"7.5 YR, 3/4",,gravel subangular,
