well_id,date,start_depth_cm,stop_depth_cm,soil_texture_code,gravel_amount_percent
EEF-1,2018-05-31,0.0,10.16,HO,0.0
EEF-1,2018-05-31,10.16,22.86,C,0.0
EEF-1,2018-05-31,22.86,40.64,SIC,0.35
EEF-1,2018-05-31,40.64,55.88,SC,0.6
EEF-1,2018-05-31,55.88,96.52,CL,0.35
EEF-2,2019-07-05,0.0,4.0,HO,0.0
EEF-2,2019-07-05,4.0,10.0,SIC,0.0
EEF-2,2019-07-05,10.0,89.0,SIC,0.35
EEF-2,2019-07-05,89.0,115.0,SIC,0.0
EEF-2,2021-07-15,115.0,128.0,SC,0.0
EEF-2,2021-07-15,128.0,130.0,GR,0.0
EEF-2,2021-07-15,130.0,135.0,SC,0.0
EEF-2,2021-07-15,135.0,136.0,GR,0.0
EER-1,2018-05-30,0.0,10.0,C,0.0
EER-1,2018-05-30,20.0,51.0,C,0.0
EER-1,2018-05-30,51.0,61.0,SC,0.35
EER-1,2018-05-30,61.0,73.0,SC,0.0
EER-1,2024-06-05,73.0,74.0,C,0.35
EET-1,2018-05-31,0.0,10.16,HO,0.0
EET-1,2018-05-31,10.16,25.4,C,0.0
EET-1,2018-05-31,25.4,45.72,SC,0.35
EET-1,2018-05-31,45.72,64.77,SCL,0.6
EET-1,2018-05-31,64.77,88.9,L,0.35
EET-1,2018-05-31,88.9,99.06,SCL,0.0
EET-XA3S,2021-07-16,97.0,98.0,GR,0.0
EFR-XB3S,2019-08-12,0.0,6.0,HO,0.0
EFR-XB3S,2019-08-12,6.0,100.0,C,0.0
EFR-XB3S,2019-08-12,100.0,112.0,SC,0.0
EFT-XA2S,2021-07-16,0.0,17.0,HO,0.0
EFT-XA2S,2021-07-16,17.0,25.0,C,0.0
EFT-XA2S,2021-07-16,25.0,45.0,C,0.9
EHF-XA5S,2021-07-15,0.0,12.0,HO,0.0
EHF-XA5S,2021-07-15,12.0,63.0,SIC,0.0
EHF-XA5S,2021-07-15,63.0,103.0,SC,0.0
EHF-XA5S,2021-07-15,103.0,130.0,C,0.0
EHF-XA5S,2021-07-15,130.0,131.0,GR,0.0
EHR-1,2018-05-30,0.0,30.48,C,0.0
EHR-1,2018-05-30,30.48,74.93,SC,0.0
EHR-1,2018-05-30,74.93,86.36,CL,0.0
EHR-1,2018-05-30,86.36,96.52,CL,0.35
EHR-1,2018-05-30,96.52,104.14,C,0.35
EWF-1,2018-05-31,0.0,5.08,HO,0.0
EWF-1,2018-05-31,5.08,10.16,C,0.0
EWF-1,2018-05-31,10.16,30.48,C,0.35
EWF-1,2018-05-31,30.48,45.72,CL,0.35
EWF-1,2018-05-31,45.72,69.85,SC,0.35
EWF-1,2018-05-31,69.85,80.01,CL,0.35
EWF-1,2018-05-31,80.01,91.44,C,0.0
EWF-1,2018-05-31,91.44,109.22,CL,0.0
EWF-1,2021-07-15,109.0,151.0,SC,0.0
EWF-1,2021-07-15,151.0,152.0,GR,0.0
EWR-1,2018-05-31,0.0,22.86,C,0.0
EWR-1,2018-05-31,22.86,27.94,SC,0.35
EWR-1,2018-05-31,27.94,40.64,C,0.0
EWT-2,2025-06-12,0.0,16.0,HO,0.0
EWT-2,2025-06-12,16.0,69.0,SC,0.35
EWT-2,2025-06-12,69.0,80.0,SC,0.0
EWT-2,2025-06-12,80.0,107.0,SC,0.35
EWT-2,2025-06-12,107.0,123.0,SC,0.0
KEF-1,2018-06-30,0.0,5.08,HO,0.0
KEF-1,2018-06-30,5.08,38.1,C,0.0
KEF-1,2018-06-30,38.1,66.04,SC,0.35
KEF-1,2018-06-30,66.04,81.28,SCL,0.35
KER-1,2018-06-18,0.0,5.08,SIC,0.0
KER-1,2018-06-18,5.08,35.56,C,0.0
KER-1,2018-06-18,35.56,63.5,CL,0.0
KER-1,2018-06-18,63.5,71.12,C,0.6
KER-1,2018-06-18,71.12,81.28,SL,0.35
KER-1,2018-06-18,81.28,83.82000000000001,GR,0.0
KER-2,2025-06-15,0.0,3.0,HO,0.0
KER-2,2025-06-15,3.0,42.0,SC,0.0
KER-2,2025-06-15,42.0,55.0,SIC,0.0
KER-2,2025-06-15,55.0,64.0,SC,0.35
KER-2,2025-06-15,64.0,80.0,GR,0.0
KET-1,2019-07-05,0.0,12.0,HO,0.0
KET-1,2019-07-05,12.0,20.0,SIC,0.0
KET-1,2019-07-05,20.0,42.0,SC,0.35
KET-1,2019-07-05,42.0,59.0,SC,0.0
KET-1,2019-07-05,59.0,80.0,SC,0.35
KET-1,2019-07-05,80.0,84.0,GR,0.0
KET-1,2019-07-05,84.0,110.0,SC,0.6
KHF-1,2018-06-30,0.0,5.0,HO,0.0
KHF-1,2018-06-30,5.0,15.0,SIC,0.35
KHF-1,2018-06-30,15.0,36.0,C,0.0
KHF-1,2018-06-30,36.0,57.0,CL,0.35
KHF-1,2018-06-30,57.0,71.0,SC,0.35
KHF-1,2018-06-30,71.0,86.0,SC,0.0
KHF-1,2018-06-30,86.0,89.0,GR,0.0
KHF-1,2021-06-29,89.0,100.0,SC,0.35
KHF-1,2021-06-29,100.0,140.0,SC,0.0
KHF-1,2021-06-29,140.0,167.0,C,0.0
KHR-1,2019-07-04,0.0,4.0,HO,0.0
KHR-1,2019-07-04,4.0,32.0,SIC,0.0
KHR-1,2019-07-04,32.0,42.0,SC,0.0
KHR-1,2019-07-04,42.0,50.0,SIC,0.0
KHR-1,2019-07-04,50.0,95.0,SC,0.0
KHR-1,2019-07-04,95.0,102.0,SC,0.35
KHR-1,2019-07-04,102.0,104.0,GR,0.35
KHT-XD6N,2021-06-29,99.0,116.0,SIC,0.0
KHT-XD6N,2021-06-29,116.0,136.0,SC,0.35
KHT-XD6N,2021-06-29,136.0,161.0,C,0.35
KHT-XD6N,2021-06-29,161.0,188.0,SC,0.6
KHT-XD6N,2021-06-29,188.0,196.0,SC,0.0
KHT-XE4S,2018-06-20,0.0,10.16,SIC,0.0
KHT-XE4S,2018-06-20,10.16,40.64,C,0.0
KHT-XE4S,2018-06-20,40.64,50.8,SC,0.35
KHT-XE4S,2018-06-20,50.8,83.82000000000001,C,0.0
KHT-XE4S,2018-06-20,83.82000000000001,85.09,GR,0.0
KHT-XE5S,2021-07-16,100.0,108.0,SC,0.0
KHT-XE5S,2021-07-16,108.0,130.0,SC,0.35
KHT-XE5S,2021-07-16,130.0,138.0,SC,0.9
KHT-XE5S,2021-07-16,138.0,150.0,SC,0.0
KHT-XE5S,2021-07-16,150.0,165.0,SC,0.9
KHT-XE5S,2021-07-16,165.0,179.0,GR,0.0
KHT-XE6S,2021-07-16,0.0,13.0,HO,0.0
KHT-XE6S,2021-07-16,13.0,32.0,CL,0.35
KHT-XE6S,2021-07-16,32.0,38.0,CL,0.0
KHT-XE6S,2021-07-16,38.0,46.0,SIC,0.0
KHT-XE6S,2021-07-16,46.0,60.0,SIC,0.35
KHT-XE6S,2021-07-16,60.0,91.0,SC,0.0
KHT-XE6S,2021-07-16,91.0,116.0,C,0.35
KHT-XE6S,2021-07-16,116.0,147.0,C,0.0
