"Well_ID","Date and Time","LAI","corrected"
"EHR-1","7/12/25 11:14",1.46,FALSE
"EWR-1","7/12/25 11:28",2.35,TRUE
"EER-1","7/12/25 11:35",2.2,FALSE
"EWT-2","7/12/25 11:55",2.88,TRUE
"EET-1","7/12/25 12:04",1.45,FALSE
"EHT-XC5S","7/12/25 12:15",0.19,FALSE
"EWT-1","7/12/25 12:34",1.96,TRUE
"EHT-XA5S","7/12/25 12:43",0.45,FALSE
"EET-2","7/12/25 12:55",0.52,FALSE
"KHR-1","7/12/25 13:35",1.53,FALSE
"KER-1","7/12/25 13:55",1.96,FALSE
"KWT-1","7/12/25 14:15",3.27,TRUE
"KET-1","7/12/25 14:22",2.02,FALSE
"KHT-XE5S","7/12/25 14:33",1.24,FALSE
"KWR-1","7/14/25 11:48",2.79,TRUE
"KHF-1","7/14/25 12:12",1.42,FALSE
"KEF-1","7/14/25 12:28",2.9,FALSE
"KWT-2","7/14/25 13:03",3.2,TRUE
"KER-2","7/14/25 13:58",4.1,FALSE
"KER-1","7/27/25 13:33",3.53,FALSE
"EHR-1","7/28/25 10:02",1.96,FALSE
"EER-1","7/28/25 10:10",3.34,FALSE
"EWR-1","7/28/25 10:19",2.2,TRUE
"EWT-2","7/28/25 10:30",2.72,TRUE
"EET-1","7/28/25 10:38",1.83,FALSE
"EHT-XC5S","7/28/25 10:45",0.39,FALSE
"EWT-1","7/28/25 11:00",1.68,TRUE
"EHT-XA5S","7/28/25 11:08",0.7,FALSE
"EET-2","7/28/25 11:14",0.67,FALSE
"KER-2","7/28/25 11:47",3.09,FALSE
"KWR-1","7/28/25 11:55",2.96,TRUE
"KHF-1","7/28/25 12:06",0.42,FALSE
"KEF-1","7/28/25 12:13",2.86,FALSE
"KWT2","7/28/25 12:29",5.41,FALSE
"KWT-1","7/28/25 12:42",3.02,TRUE
"KET-1","7/28/25 12:54",1.78,FALSE
"KHT-XE5S","7/28/25 13:01",1.35,FALSE
"KER-1","7/28/25 13:12",3.32,FALSE
"KHR-1","7/28/25 13:19",1.84,FALSE
"EHR-1","8/9/25 12:11",1.32,FALSE
