"DateTime","(deg C) Max Temperature (PRISM), -120.2390E,39.4316N ,2017-10-01 to 2021-12-31","(deg C) Min Temperature (PRISM), -120.2390E,39.4316N ,2017-10-01 to 2021-12-31"
"2017-10-01",14.288,-1.35
"2017-10-02",11.271,-3.007
"2017-10-03",7.429,-2.773
"2017-10-04",12.79,-3.908
"2017-10-05",14.781,-2.559
"2017-10-06",20.061,-0.676
"2017-10-07",19.881,1.625
"2017-10-08",11.502,-0.041
"2017-10-09",12.217,-1.885
"2017-10-10",14.847,-1.572
"2017-10-11",10.832,-3.882
"2017-10-12",11.928,-6.326
"2017-10-13",13.227,-4.088
"2017-10-14",11.538,-3.732
"2017-10-15",19.022,-3.52
"2017-10-16",20.946,-1.02
"2017-10-17",18.017,-0.028
"2017-10-18",19.608,-1.857
"2017-10-19",12.588,0.331
"2017-10-20",4.443,-4.066
"2017-10-21",10.139,-5.11
"2017-10-22",17.538,-0.635
"2017-10-23",17.905,2.111
"2017-10-24",18.534,2.168
"2017-10-25",21.442,1.58
"2017-10-26",20.322,1.241
"2017-10-27",19.658,1.498
"2017-10-28",20.513,1.447
"2017-10-29",20.664,1.844
"2017-10-30",14.657,0.335
"2017-10-31",12.275,-1.147
"2017-11-01",15.949,-1.281
"2017-11-02",10.858,0.757
"2017-11-03",3.824,0.952
"2017-11-04",3.338,0.878
"2017-11-05",3.627,0.178
"2017-11-06",5.062,-4.708
"2017-11-07",9.902,-6.831
"2017-11-08",7.218,0.767
"2017-11-09",4.882,2.176
"2017-11-10",5.098,0.237
"2017-11-11",8.108,-2.089
"2017-11-12",9.451,-1.109
"2017-11-13",6.703,0.677
"2017-11-14",7.337,-0.334
"2017-11-15",5.166,0.921
"2017-11-16",4.229,0.528
"2017-11-17",2.307,-5.891
"2017-11-18",8.32,-7.815
"2017-11-19",9.3,-3.054
"2017-11-20",7.273,1.884
"2017-11-21",13.506,2.113
"2017-11-22",16.252,1.936
"2017-11-23",13.511,3.053
"2017-11-24",11.005,3.025
"2017-11-25",14.989,1.593
"2017-11-26",11.656,0.687
"2017-11-27",3.207,-3.485
"2017-11-28",6.875,-4.684
"2017-11-29",5.789,-4.3
"2017-11-30",9.642,-2.729
"2017-12-01",8.812,-2.838
"2017-12-02",7.393,-2.207
"2017-12-03",0.487,-9.811
"2017-12-04",-1.817,-10.81
"2017-12-05",3.15,-9.136
"2017-12-06",5.289,-7.548
"2017-12-07",9.251,-6.29
"2017-12-08",10.653,-1.478
"2017-12-09",9.952,-3.394
"2017-12-10",11.013,-2.49
"2017-12-11",12.495,-4.921
"2017-12-12",13.959,-4.266
"2017-12-13",13.404,-4.334
"2017-12-14",12.697,-2.512
"2017-12-15",11.992,0.54
"2017-12-16",1.381,-6.222
"2017-12-17",5.752,-8.211
"2017-12-18",12.79,-3.67
"2017-12-19",8.299,-1.753
"2017-12-20",1.596,-9.91
"2017-12-21",0.058,-11.259
"2017-12-22",7.862,-6.283
"2017-12-23",7.73,0.082
"2017-12-24",8.661,0.711
"2017-12-25",8.234,-1.994
"2017-12-26",12.311,-3.864
"2017-12-27",10.832,-1.506
"2017-12-28",13.157,-2.349
"2017-12-29",13.212,3.64
"2017-12-30",11.747,1.902
"2017-12-31",11.328,-1.886
"2018-01-01",12.789,-1.478
"2018-01-02",10.349,-1.882
"2018-01-03",11.694,-0.027
"2018-01-04",7.507,1.135
"2018-01-05",6.105,2.753
