"DateTime","(mm) Precipitation (PRISM) at -120.2390E,39.4316N, 2017-10-01 to 2021-12-31"
"2017-10-01",0.178
"2017-10-02",0
"2017-10-03",0
"2017-10-04",0
"2017-10-05",0.12
"2017-10-06",0
"2017-10-07",0
"2017-10-08",0
"2017-10-09",0
"2017-10-10",0
"2017-10-11",0
"2017-10-12",0
"2017-10-13",0
"2017-10-14",0
"2017-10-15",0
"2017-10-16",0
"2017-10-17",0
"2017-10-18",0
"2017-10-19",5.496
"2017-10-20",9.917
"2017-10-21",1.513
"2017-10-22",0.46
"2017-10-23",0
"2017-10-24",0
"2017-10-25",0
"2017-10-26",0
"2017-10-27",0
"2017-10-28",0
"2017-10-29",0
"2017-10-30",0
"2017-10-31",0
"2017-11-01",0
"2017-11-02",0.012
"2017-11-03",6.576
"2017-11-04",9.865
"2017-11-05",0
"2017-11-06",0
"2017-11-07",0.823
"2017-11-08",4.85
"2017-11-09",21.826
"2017-11-10",1.614
"2017-11-11",0
"2017-11-12",0
"2017-11-13",11.203
"2017-11-14",1.408
"2017-11-15",46.754
"2017-11-16",79.984
"2017-11-17",1.717
"2017-11-18",0
"2017-11-19",0
"2017-11-20",5.19
"2017-11-21",0.278
"2017-11-22",0
"2017-11-23",0.807
"2017-11-24",0
"2017-11-25",0.438
"2017-11-26",29.335
"2017-11-27",6.74
"2017-11-28",0
"2017-11-29",0
"2017-11-30",0
"2017-12-01",0
"2017-12-02",1.601
"2017-12-03",7.691
"2017-12-04",0.264
"2017-12-05",0
"2017-12-06",0
"2017-12-07",0.445
"2017-12-08",0
"2017-12-09",0
"2017-12-10",0
"2017-12-11",0.701
"2017-12-12",0
"2017-12-13",0
"2017-12-14",0
"2017-12-15",0
"2017-12-16",0
"2017-12-17",0
"2017-12-18",0
"2017-12-19",1.087
"2017-12-20",5.027
"2017-12-21",0
"2017-12-22",1.651
"2017-12-23",0
"2017-12-24",0
"2017-12-25",0
"2017-12-26",0
"2017-12-27",0
"2017-12-28",0
"2017-12-29",0
"2017-12-30",0
"2017-12-31",0
"2018-01-01",0
"2018-01-02",0.518
"2018-01-03",1.492
"2018-01-04",3.394
"2018-01-05",17.795
"2018-01-06",6.763
"2018-01-07",0
"2018-01-08",15.922
"2018-01-09",14.249
"2018-01-10",1.762
"2018-01-11",0
"2018-01-12",0
"2018-01-13",0
"2018-01-14",0
"2018-01-15",0
"2018-01-16",0.903
"2018-01-17",0
"2018-01-18",17.918
"2018-01-19",7.014
"2018-01-20",0
"2018-01-21",0
"2018-01-22",0
"2018-01-23",0
"2018-01-24",19.745
"2018-01-25",9.179
"2018-01-26",0
"2018-01-27",0.232
"2018-01-28",0.291
"2018-01-29",0
"2018-01-30",0
"2018-01-31",0
"2018-02-01",0
"2018-02-02",0
"2018-02-03",0
"2018-02-04",0
"2018-02-05",0
"2018-02-06",0
"2018-02-07",0
"2018-02-08",0
"2018-02-09",0
"2018-02-10",0
"2018-02-11",0.175
"2018-02-12",1.742
"2018-02-13",0
"2018-02-14",0
"2018-02-15",0
"2018-02-16",0
"2018-02-17",0
"2018-02-18",7.495
"2018-02-19",0
"2018-02-20",0
"2018-02-21",0.066
"2018-02-22",9.137
"2018-02-23",0
"2018-02-24",0.709
"2018-02-25",0
"2018-02-26",16.167
"2018-02-27",0.024
"2018-02-28",3.851
"2018-03-01",37.002
"2018-03-02",29.305
"2018-03-03",6.145
"2018-03-04",2.898
"2018-03-05",0
"2018-03-06",0
"2018-03-07",0
"2018-03-08",0
"2018-03-09",0.482
"2018-03-10",6.091
"2018-03-11",0.601
"2018-03-12",3.245
"2018-03-13",17.694
"2018-03-14",10.401
"2018-03-15",22.155
"2018-03-16",34.53
"2018-03-17",4.3
"2018-03-18",0.924
"2018-03-19",0
"2018-03-20",9.35
"2018-03-21",40.546
"2018-03-22",55.664
"2018-03-23",0
"2018-03-24",11.274
"2018-03-25",1.257
"2018-03-26",0
"2018-03-27",0
"2018-03-28",0
"2018-03-29",0
"2018-03-30",0
"2018-03-31",0
"2018-04-01",0
"2018-04-02",0
"2018-04-03",0
"2018-04-04",0
"2018-04-05",1.495
"2018-04-06",30.89
"2018-04-07",16.242
"2018-04-08",4.867
"2018-04-09",0
"2018-04-10",0.773
"2018-04-11",3.382
"2018-04-12",1.433
"2018-04-13",0.546
"2018-04-14",0
"2018-04-15",12.804
"2018-04-16",3.26
"2018-04-17",0
"2018-04-18",0
"2018-04-19",0.229
"2018-04-20",0
"2018-04-21",0
"2018-04-22",0
"2018-04-23",0
"2018-04-24",0
"2018-04-25",0
"2018-04-26",0
"2018-04-27",0
"2018-04-28",0
