time,air-temp-avg-degc,barometric-pressure-avg-mb
2018-01-01 00:00:00,-0.3879,839.6
2018-01-01 00:10:00,-0.4119,839.5
2018-01-01 00:20:00,-0.5219,839.6
2018-01-01 00:30:00,-0.6609,839.7
2018-01-01 00:40:00,-0.8269,839.2
2018-01-01 00:50:00,-0.9819,839.5
2018-01-01 01:00:00,-1.183,839.7
2018-01-01 01:10:00,-1.438,839.3
2018-01-01 01:20:00,-1.641,839.5
2018-01-01 01:30:00,-1.81,839.8
2018-01-01 01:40:00,-1.905,839.7
2018-01-01 01:50:00,-1.97,839.7
2018-01-01 02:00:00,-1.936,839.8
2018-01-01 02:10:00,-1.825,840.1
2018-01-01 02:20:00,-1.752,839.9
2018-01-01 02:30:00,-1.666,839.7
2018-01-01 02:40:00,-1.55,840.1
2018-01-01 02:50:00,-1.533,840.1
2018-01-01 03:00:00,-1.438,840
2018-01-01 03:10:00,-1.363,840.1
2018-01-01 03:20:00,-1.456,840.1
2018-01-01 03:30:00,-1.599,840.1
2018-01-01 03:40:00,-1.69,839.9
2018-01-01 03:50:00,-1.754,840
2018-01-01 04:00:00,-1.753,840.1
2018-01-01 04:10:00,-1.774,839.8
2018-01-01 04:20:00,-1.767,840
2018-01-01 04:30:00,-1.712,840.3
2018-01-01 04:40:00,-1.621,839.8
2018-01-01 04:50:00,-1.539,840
2018-01-01 05:00:00,-1.464,840.1
2018-01-01 05:10:00,-1.48,840.1
2018-01-01 05:20:00,-1.584,840
2018-01-01 05:30:00,-1.735,839.9
2018-01-01 05:40:00,-1.984,840.4
2018-01-01 05:50:00,-2.264,840.1
2018-01-01 06:00:00,-2.503,839.9
2018-01-01 06:10:00,-2.648,840.5
2018-01-01 06:20:00,-2.806,840.4
2018-01-01 06:30:00,-2.974,840.2
2018-01-01 06:40:00,-3.022,840.4
2018-01-01 06:50:00,-3.124,840.4
2018-01-01 07:00:00,-3.295,840.4
2018-01-01 07:10:00,-3.351,840.4
2018-01-01 07:20:00,-3.438,840.5
2018-01-01 07:30:00,-3.494,840.6
2018-01-01 07:40:00,-3.45,840.3
2018-01-01 07:50:00,-3.427,840.6
2018-01-01 08:00:00,-3.466,840.8
2018-01-01 08:10:00,-3.514,840.4
2018-01-01 08:20:00,-3.41,840.6
2018-01-01 08:30:00,-3.268,840.9
2018-01-01 08:40:00,-3.06,840.6
2018-01-01 08:50:00,-2.696,840.7
2018-01-01 09:00:00,-2.053,840.9
2018-01-01 09:10:00,-1.429,840.9
2018-01-01 09:20:00,-0.2569,840.9
2018-01-01 09:30:00,0.275,840.8
2018-01-01 09:40:00,0.569,841.3
2018-01-01 09:50:00,0.854,841.1
2018-01-01 10:00:00,1.394,840.8
2018-01-01 10:10:00,3.129,841.4
2018-01-01 10:20:00,5.053,841.3
2018-01-01 10:30:00,5.467,841.2
2018-01-01 10:40:00,6,841.4
2018-01-01 10:50:00,6.904,841.3
2018-01-01 11:00:00,7.679,841.2
2018-01-01 11:10:00,8.4,841.3
2018-01-01 11:20:00,8.69,841
2018-01-01 11:30:00,9.18,840.8
2018-01-01 11:40:00,9.88,841.2
2018-01-01 11:50:00,10.06,841.1
2018-01-01 12:00:00,10.78,841
2018-01-01 12:10:00,11.65,840.4
2018-01-01 12:20:00,11.79,840.4
2018-01-01 12:30:00,12.15,840.4
2018-01-01 12:40:00,12.06,840.5
2018-01-01 12:50:00,11.95,840.5
2018-01-01 13:00:00,12.17,840.4
2018-01-01 13:10:00,12.36,840.3
2018-01-01 13:20:00,11.92,840.3
