"TOA5","Station7_wx","CR1000","12862","CR1000.Std.14","CPU:SH_Site7_2_3.CR1","58738","Raw"
"TIMESTAMP","RECORD","SnowPillow_mv_Avg"
"TS","RN","mV"
"","","Avg"
"2013-04-23 14:40:00",92326,1.223
"2013-04-23 14:50:00",92327,1.223
"2013-04-23 15:00:00",92328,1.222
"2013-04-23 15:10:00",92329,1.222
"2013-04-23 15:20:00",92330,1.221
"2013-04-23 15:30:00",92331,1.221
"2013-04-23 15:40:00",92332,1.221
"2013-04-23 15:50:00",92333,1.221
"2013-04-23 16:00:00",92334,1.221
"2013-04-23 16:10:00",92335,1.221
"2013-04-23 16:20:00",92336,1.221
"2013-04-23 16:30:00",92337,1.221
"2013-04-23 16:40:00",92338,1.221
"2013-04-23 16:50:00",92339,1.222
"2013-04-23 17:00:00",92340,1.222
"2013-04-23 17:10:00",92341,1.222
"2013-04-23 17:20:00",92342,1.223
"2013-04-23 17:30:00",92343,1.224
"2013-04-23 17:40:00",92344,1.225
"2013-04-23 17:50:00",92345,1.226
"2013-04-23 18:00:00",92346,1.226
"2013-04-23 18:10:00",92347,1.227
"2013-04-23 18:20:00",92348,1.228
"2013-04-23 18:30:00",92349,1.229
"2013-04-23 18:40:00",92350,1.229
"2013-04-23 18:50:00",92351,1.231
"2013-04-23 19:00:00",92352,1.232
"2013-04-23 19:10:00",92353,1.232
"2013-04-23 19:20:00",92354,1.233
"2013-04-23 19:30:00",92355,1.234
"2013-04-23 19:40:00",92356,1.235
"2013-04-23 19:50:00",92357,1.236
"2013-04-23 20:00:00",92358,1.236
"2013-04-23 20:10:00",92359,1.237
"2013-04-23 20:20:00",92360,1.238
"2013-04-23 20:30:00",92361,1.238
"2013-04-23 20:40:00",92362,1.239
"2013-04-23 20:50:00",92363,1.239
"2013-04-23 21:00:00",92364,1.24
"2013-04-23 21:10:00",92365,1.24
"2013-04-23 21:20:00",92366,1.24
"2013-04-23 21:30:00",92367,1.241
"2013-04-23 21:40:00",92368,1.241
"2013-04-23 21:50:00",92369,1.241
"2013-04-23 22:00:00",92370,1.242
"2013-04-23 22:10:00",92371,1.242
"2013-04-23 22:20:00",92372,1.243
"2013-04-23 22:30:00",92373,1.243
"2013-04-23 22:40:00",92374,1.243
"2013-04-23 22:50:00",92375,1.244
"2013-04-23 23:00:00",92376,1.244
"2013-04-23 23:10:00",92377,1.245
"2013-04-23 23:20:00",92378,1.245
"2013-04-23 23:30:00",92379,1.245
"2013-04-23 23:40:00",92380,1.246
"2013-04-23 23:50:00",92381,1.246
