"TOA5","Station7_wx","CR1000","12862","CR1000.Std.14","CPU:SH_Site7_2_3.CR1","58738","TenMin"
"TIMESTAMP","RECORD","Day_of_Year","Hour","WS_ms_25ft","res_WS_25ft","WindDir_25ft","SD_WindDir_25ft","WS_ms_25ft_Max","AirTC_25ft_Max","AirTC_25ft_Min","AirTC_25ft_Avg","RH_25ft_Max","RH_25ft_Min","RH_25ft","SnowPillow_in_Avg","Batt_Volt_Avg","Batt_Volt_Max","Batt_Volt_Min","BP_mbar_Avg","SlrkW_Avg","SlrMJ_Tot","ETos","Rso","JUDD_AT_Avg","JUDD_Depth_Avg","PanelT_Avg","Temp_C_Avg(1)","Temp_C_Avg(2)","Temp_C_Avg(3)","SoilCond_tc_Avg(1)","SoilCond_tc_Avg(2)","SoilCond_tc_Avg(3)","wfv_Avg(1)","wfv_Avg(2)","wfv_Avg(3)","Precip_Tot","cum_ppt"
"TS","RN","","","meters/second","meters/second","Deg","Deg","meters/second","Deg C","Deg C","Deg C","%","%","%","H2O inches","Volts","Volts","Volts","mbar","kW/m","MJ/m","Deg C","Deg C","Deg C","cm","","Deg C","Deg C","Deg C","S/m","S/m","S/m","pct by vol","pct by vol","pct by vol","0.01 inches","0.01 inches"
"","","Smp","Smp","WVc","WVc","WVc","WVc","Max","Max","Min","Avg","Max","Min","Smp","Avg","Avg","Max","Min","Avg","Avg","Tot","ETsz","RSo","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Smp"
"2013-04-23 14:40:00",92326,113,1440,0.134,0.105,157.5,35.67,0.327,14.17,13.66,13.94,21.04,17.47,19.47,0.2962978,14.34,14.37,14.33,822,"NAN","NAN","NAN",2.778,16.35,143.1,0,-273.1,-273.1,-273.1,"NAN","NAN","NAN",0,0,0,0,0
"2013-04-23 14:50:00",92327,113,1450,0.142,0.119,137.6,32.63,0.255,14.92,14.14,14.56,21.48,18.45,20.9,0.2943745,14.33,14.36,14.33,822,"NAN","NAN","NAN",2.696,17.07,143.1,0,-273.1,-273.1,-273.1,"NAN","NAN","NAN",0,0,0,0,0
"2013-04-23 15:00:00",92328,113,1500,0.156,0.127,92.9,34.51,0.229,15.36,14.89,15.13,21.75,19,20.56,0.2792742,14.33,14.34,14.32,822,"NAN","NAN","NAN",2.609,17.4,143.1,0,-273.1,-273.1,-273.1,"NAN","NAN","NAN",0,0,0,0,0
"2013-04-23 15:10:00",92329,113,1510,0.156,0.107,65.89,45.43,0.327,15.39,14.88,15.19,21.78,19,21.14,0.2742952,14.32,14.33,14.31,822,"NAN","NAN","NAN",2.518,17.53,143.1,0,-273.1,-273.1,-273.1,"NAN","NAN","NAN",0,0,0,0,0
"2013-04-23 15:20:00",92330,113,1520,0.177,0.161,88.3,24.12,0.294,15.25,14.57,14.93,21.51,19.54,20.29,0.2708293,14.31,14.33,14.3,822,"NAN","NAN","NAN",2.424,16.65,143.1,0,-273.1,-273.1,-273.1,"NAN","NAN","NAN",0,0,0,0,0
"2013-04-23 15:30:00",92331,113,1530,0.129,0.092,85.9,42.05,0.252,14.77,14.43,14.59,22.15,20.22,21.54,0.2639875,14.3,14.33,14.3,822,"NAN","NAN","NAN",2.326,16.32,143.1,0,-273.1,-273.1,-273.1,"NAN","NAN","NAN",0,0,0,0,0
"2013-04-23 15:40:00",92332,113,1540,0.104,0.082,92.8,35.19,0.281,15.22,14.5,14.86,21.68,19.81,19.84,0.2687664,14.31,14.32,14.3,822,"NAN","NAN","NAN",2.225,16.83,143.1,0,-273.1,-273.1,-273.1,"NAN","NAN","NAN",0,0,0,0,0
"2013-04-23 15:50:00",92333,113,1550,0.145,0.096,103.9,45.66,0.271,15.18,14.33,14.66,22.32,19.33,21.2,0.2653522,14.3,14.33,14.3,822,"NAN","NAN","NAN",2.12,16.11,143.1,0,-273.1,-273.1,-273.1,"NAN","NAN","NAN",0,0,0,0,0
"2013-04-23 16:00:00",92334,113,1600,0.117,0.088,119,39.61,0.323,14.67,13.96,14.26,22.22,20.46,20.86,0.2687664,14.3,14.31,14.3,822,"NAN","NAN","NAN",2.012,16.33,143.1,0,-273.1,-273.1,-273.1,"NAN","NAN","NAN",0,0,0,0,0
"2013-04-23 16:10:00",92335,113,1610,0.098,0.065,116.1,44.75,0.18,15.01,14.5,14.69,22.15,19.57,20.35,0.2639866,14.31,14.33,14.3,822,"NAN","NAN","NAN",1.902,16.57,143.1,0,-273.1,-273.1,-273.1,"NAN","NAN","NAN",0,0,0,0,0
"2013-04-23 16:20:00",92336,113,1620,0.062,0.013,76.41,64.11,0.193,14.81,14.47,14.65,23.34,20.49,21.07,0.2653522,14.31,14.33,14.3,822,"NAN","NAN","NAN",1.789,16.47,143.1,0,-273.1,-273.1,-273.1,"NAN","NAN","NAN",0,0,0,0,0
"2013-04-23 16:30:00",92337,113,1630,0.072,0.042,77.33,50.9,0.18,14.71,14.47,14.58,22.26,20.29,22.02,0.2674007,14.31,14.33,14.31,822,"NAN","NAN","NAN",1.673,15.84,143.1,0,-273.1,-273.1,-273.1,"NAN","NAN","NAN",0,0,0,0,0
"2013-04-23 16:40:00",92338,113,1640,0.062,0.053,106.3,29.16,0.225,14.67,14.47,14.57,23.14,21.13,22.49,0.2714977,14.32,14.34,14.31,822,"NAN","NAN","NAN",1.555,16.02,143.1,0,-273.1,-273.1,-273.1,"NAN","NAN","NAN",0,0,0,0,0
"2013-04-23 16:50:00",92339,113,1650,0.042,0.023,84.3,44.25,0.235,14.67,14.4,14.5,23.85,21.24,22.83,0.2803737,14.32,14.34,14.32,822,"NAN","NAN","NAN",1.435,15.76,143.1,0,-273.1,-273.1,-273.1,"NAN","NAN","NAN",0,0,0,0,0
