"TOA5","Station1_wx100","CR1000","6586","CR1000.Std.10","CPU:SH_SITE1_2_0.CR1","28093","daily"
"TIMESTAMP","RECORD","Batt_Volt_Min","WS_ms_25ft_Max","WS_ms_25ft_TMx","AirTC_25ft_Min","AirTC_25ft_TMn","AirTC_25ft_Max","AirTC_25ft_TMx","WS_ms_100ft_Max","WS_ms_100ft_TMx","AirTC_100ft_Min","AirTC_100ft_TMn","AirTC_100ft_Max","AirTC_100ft_TMx"
"TS","RN","Volts","meters/second","meters/second","Deg C","Deg C","Deg C","Deg C","meters/second","meters/second","Deg C","Deg C","Deg C","Deg C"
"","","Min","Max","TMx","Min","TMn","Max","TMx","Max","TMx","Min","TMn","Max","TMx"
"2009-07-08 00:00:00",0,13.41,1.772,"2009-07-07 23:02:20",0,"2009-07-07 19:56:30",12.77,"2009-07-07 19:57:00",5.968,"2009-07-07 21:54:30",0,"2009-07-07 19:56:30",11.45,"2009-07-07 19:59:00"
"2009-07-09 00:00:00",1,13.14,5.03,"2009-07-08 15:04:40",-0.232,"2009-07-08 04:18:00",19.15,"2009-07-08 14:47:00",10.9,"2009-07-08 13:32:50",-2.347,"2009-07-08 04:44:00",20.24,"2009-07-08 14:49:00"
"2009-07-10 00:00:00",2,13.13,4.66,"2009-07-09 17:01:00",-1.016,"2009-07-09 04:25:00",19.89,"2009-07-09 16:14:00",9.74,"2009-07-09 14:09:10",-2.449,"2009-07-09 04:19:00",20.88,"2009-07-09 13:37:00"
"2009-07-11 00:00:00",3,13.1,5.332,"2009-07-10 16:29:50",3.232,"2009-07-10 04:31:00",21.04,"2009-07-10 13:59:00",11.23,"2009-07-10 22:54:40",-0.28,"2009-07-10 04:57:00",22.61,"2009-07-10 13:58:00"
"2009-07-12 00:00:00",4,13.06,7.381,"2009-07-11 10:01:10",13.48,"2009-07-11 06:26:00",22.57,"2009-07-11 14:17:00",12.48,"2009-07-11 15:33:00",11.3,"2009-07-11 06:25:00",23.72,"2009-07-11 14:19:00"
"2009-07-13 00:00:00",5,13.14,8.21,"2009-07-12 12:14:20",2.17,"2009-07-12 23:54:00",20.06,"2009-07-12 15:20:00",13.28,"2009-07-12 13:54:50",0.192,"2009-07-12 23:55:00",21.12,"2009-07-12 12:51:00"
"2009-07-14 00:00:00",6,13.06,6.256,"2009-07-13 14:30:30",-1.999,"2009-07-13 04:30:00",24.26,"2009-07-13 16:17:00",7.34,"2009-07-13 14:30:30",-3.329,"2009-07-13 04:34:00",25.24,"2009-07-13 16:17:00"
"2009-07-15 00:00:00",7,13.01,5.159,"2009-07-14 12:34:10",2.38,"2009-07-14 04:43:00",26.35,"2009-07-14 15:54:00",7.975,"2009-07-14 16:00:00",-0.245,"2009-07-14 04:53:00",27.61,"2009-07-14 14:39:00"
"2009-07-16 00:00:00",8,13.03,5.728,"2009-07-15 14:27:40",4.002,"2009-07-15 04:38:00",26.79,"2009-07-15 15:05:00",9.8,"2009-07-15 15:41:10",1.548,"2009-07-15 04:36:00",27.95,"2009-07-15 13:29:00"
