"TOA5","Station3_wx","CR1000","6585","CR1000.Std.15","CPU:SH_Site3_1_4.CR1","33193","Hourly"
"TIMESTAMP","RECORD","WS_ms_25ft","WindDir_25ft","SD_WindDir_25ft","AirTC_25ft_Avg","RH_25ft","SnowPillow_in_Avg","Batt_Volt_Avg","BP_mbar_Avg","SlrkW_Avg","SlrMJ_Tot","ETos","Rso","WS_ms_100ft","WindDir_100ft","SD_WindDir_100ft","AirTC_100ft_Avg","RH_100ft","JUDD_AT_Avg","JUDD_Depth_Avg","V1_Avg(1)","V1_Avg(2)","V1_Avg(3)","V2_Avg(1)","V2_Avg(2)","V2_Avg(3)","V3_Avg(1)","V3_Avg(2)","V3_Avg(3)","V4_Avg(1)","V4_Avg(2)","V4_Avg(3)","ETI_precip_Tot"
"TS","RN","meters/second","Deg","Deg","Deg C","%","H2O inches","Volts","mbar","kW/m","MJ/m","Deg C","Deg C","meters/second","Deg","Deg","Deg C","%","Deg C","cm","","","","","","","","","","","","","0.01""
"","","WVc","WVc","WVc","Avg","Smp","Avg","Avg","Avg","Avg","Tot","ETsz","RSo","WVc","WVc","WVc","Avg","Smp","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot"
"2009-03-10 17:00:00",0,0.593,221.7,16.82,1.449,50.15,38.80918,12.86,786.7,0.038,0.009864574,0.002,1.096,1.129,308.4,32.52,3.204,27.17,1.197,2.304,36.03,39.92,40.5,23.65,31.81,33.05,15.25,27.86,29.42,29.13,30.34,30.71,0
"2009-03-10 18:00:00",1,0.709,200.9,23.74,-1.421,84.5,41.23405,12.77,786.7,0.018,0.03143631,0.01,0.341,1.649,254.7,15.89,1.51,39.86,-1.652,1.991,1876,2073,2107,1232,1652,1721,793.7,1445,1535,1515,1579,1598,0
"2009-03-10 19:00:00",2,0.715,184.5,13.88,-3.246,84.6,41.2501,12.68,786.8,0.001,0.001238798,0.001,0,1.121,202.3,26.18,-0.408,42.44,-3.119,96.5,1873,2070,2107,1231,1645,1721,794.3,1445,1532,1517,1580,1600,0
"2009-03-10 20:00:00",3,0.92,191.1,16.57,-4.47,87.1,41.23819,12.64,787.1,0,0,0.001,0,1.581,211.4,32.31,-1.172,58.2,-4.512,323.7,1872,2071,2110,1231,1649,1726,795.1,1439,1542,1518,1582,1602,0
"2009-03-10 21:00:00",4,0.898,179,7.617,-5.959,91.9,41.20881,12.6,787.2,0,1.014864E-06,0,0,1.779,201.1,8.76,-2.846,61.7,-6.118,601.5,1876,2071,2110,1232,1648,1726,794.7,1443,1542,1519,1583,1602,0
"2009-03-10 22:00:00",5,0.95,185.8,10.8,-6.712,91.4,41.19514,12.56,787.3,0,2.943626E-05,0,0,2.222,184,8.92,-1.991,55.76,-6.847,556.1,1874,2072,2109,1232,1648,1724,794.7,1445,1537,1520,1583,1602,0
"2009-03-10 23:00:00",6,0.612,181.6,10.12,-7.26,94.2,41.19637,12.53,787.2,0,8.425405E-05,0,0,1.192,212.4,20.22,-3.159,65.06,-7.585,617.1,1872,2071,2106,1229,1646,1723,792.9,1440,1536,1520,1583,1602,0
"2009-03-11 00:00:00",7,0.693,179.8,12.4,-8.04,95.8,41.19538,12.5,786.9,0,0.0001157236,-0.001,0,1.118,205.2,31.72,-4.016,54.64,-8.37,556.7,1874,2069,2106,1232,1645,1722,795.4,1439,1537,1520,1583,1603,0
