"TOA5","Station3_wx","CR1000","6585","CR1000.Std.28","CPU:SH_Site3_2_8.CR1","30608","Raw"
"TIMESTAMP","RECORD","SnowPillow_mv_Avg"
"TS","RN","mV"
"","","Avg"
"2016-07-09 16:10:00",33264,0.599
"2016-07-09 16:20:00",33265,0.599
"2016-07-09 16:30:00",33266,0.599
"2016-07-09 16:40:00",33267,0.6
"2016-07-09 16:50:00",33268,0.599
"2016-07-09 17:00:00",33269,0.599
"2016-07-09 17:10:00",33270,0.599
"2016-07-09 17:20:00",33271,0.599
"2016-07-09 17:30:00",33272,0.598
"2016-07-09 17:40:00",33273,0.6
"2016-07-09 17:50:00",33274,0.597
"2016-07-09 18:00:00",33275,0.591
"2016-07-09 18:10:00",33276,0.591
"2016-07-09 18:20:00",33277,0.59
"2016-07-09 18:30:00",33278,0.591
"2016-07-09 18:40:00",33279,0.591
"2016-07-09 18:50:00",33280,0.591
"2016-07-09 19:00:00",33281,0.59
"2016-07-09 19:10:00",33282,0.591
"2016-07-09 19:20:00",33283,0.591
"2016-07-09 19:30:00",33284,0.591
"2016-07-09 19:40:00",33285,0.59
"2016-07-09 19:50:00",33286,0.591
"2016-07-09 20:00:00",33287,0.59
"2016-07-09 20:10:00",33288,0.591
"2016-07-09 20:20:00",33289,0.591
"2016-07-09 20:30:00",33290,0.59
"2016-07-09 20:40:00",33291,0.591
"2016-07-09 20:50:00",33292,0.591
"2016-07-09 21:00:00",33293,0.59
"2016-07-09 21:10:00",33294,0.591
"2016-07-09 21:20:00",33295,0.59
"2016-07-09 21:30:00",33296,0.59
"2016-07-09 21:40:00",33297,0.59
"2016-07-09 21:50:00",33298,0.59
"2016-07-09 22:00:00",33299,0.59
"2016-07-09 22:10:00",33300,0.591
"2016-07-09 22:20:00",33301,0.59
"2016-07-09 22:30:00",33302,0.591
"2016-07-09 22:40:00",33303,0.59
"2016-07-09 22:50:00",33304,0.591
"2016-07-09 23:00:00",33305,0.59
"2016-07-09 23:10:00",33306,0.591
"2016-07-09 23:20:00",33307,0.59
"2016-07-09 23:30:00",33308,0.59
"2016-07-09 23:40:00",33309,0.59
"2016-07-09 23:50:00",33310,0.59
"2016-07-10 00:00:00",33311,0.59
"2016-07-10 00:10:00",33312,0.59
"2016-07-10 00:20:00",33313,0.59
"2016-07-10 00:30:00",33314,0.59
"2016-07-10 00:40:00",33315,0.59
"2016-07-10 00:50:00",33316,0.59
"2016-07-10 01:00:00",33317,0.59
"2016-07-10 01:10:00",33318,0.59
"2016-07-10 01:20:00",33319,0.59
