"TOA5","Sagehen Creek","sagh","DRI WRCC webscrape"
"TIMESTAMP","RECORD","Mean_Wind_Speed","Mean_Wind_Speed_flag","Wind_Vector_Magnitude","Wind_Vector_Magnitude_flag","Mean_Wind_Direction","Mean_Wind_Direction_flag","Std_Dev_of_Wind_Direction","Std_Dev_of_Wind_Direction_flag","Max_Wind_Gust","Max_Wind_Gust_flag","Avg_Air_Temp","Avg_Air_Temp_flag","Max_Air_Temp","Max_Air_Temp_flag","Min_Air_Temp","Min_Air_Temp_flag","Avg_Relative_Humidity","Avg_Relative_Humidity_flag","Max_Relative_Humidity","Max_Relative_Humidity_flag","Min_Relative_Humidity","Min_Relative_Humidity_flag","Barometric_Pressure","Barometric_Pressure_flag","Misc_Number_1","Misc_Number_1_flag","Misc_Number_2","Misc_Number_2_flag","Solar_Radiation","Solar_Radiation_flag","Precipitation","Precipitation_flag","Precipitation_Totaled","Precipitation_Totaled_flag","Battery_Voltage","Battery_Voltage_flag","Max_Battery_Voltage","Max_Battery_Voltage_flag","Min_Battery_Voltage","Min_Battery_Voltage_flag","Max_Snow_Depth_Inches","Max_Snow_Depth_Inches_flag","Min_Snow_Depth_Inches","Min_Snow_Depth_Inches_flag","Snow_Depth","Snow_Depth_flag","Std_dev_Snow_Depth_Inches","Std_dev_Snow_Depth_Inches_flag","GEONOR_GAUGE_FREQ_HZ","GEONOR_GAUGE_FREQ_HZ_flag","GEONOR_STD_DEV_FREQ","GEONOR_STD_DEV_FREQ_flag","GEONOR_PRECIP_CM","GEONOR_PRECIP_CM_flag","Raingauge_Number_2","Raingauge_Number_2_flag","Station_ID_Number","Station_ID_Number_flag","Max_Soil_Temp_4_Inches","Max_Soil_Temp_4_Inches_flag","Min_Soil_Temp_4_Inches","Min_Soil_Temp_4_Inches_flag","Avg_Soil_Temp_4_Inches","Avg_Soil_Temp_4_Inches_flag","Max_Snow_Temp","Max_Snow_Temp_flag","Min_Snow_Temp","Min_Snow_Temp_flag","Avg_Snow_Temp","Avg_Snow_Temp_flag","Mean_Wind_Speed_100_ft","Mean_Wind_Speed_100_ft_flag","Wind_Vector_Speed_100_ft","Wind_Vector_Speed_100_ft_flag","Wind_Direction_100_ft","Wind_Direction_100_ft_flag","Std_Dev_of_Wind_Direction_100_ft","Std_Dev_of_Wind_Direction_100_ft_flag","Max_Wind_Gust_100_ft","Max_Wind_Gust_100_ft_flag"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","m/s","text","m/s","text","Deg","text","Deg","text","m/s","text","Deg C","text","Deg C","text","Deg C","text","%","text","%","text","%","text","mbar","text","Unk","text","Unk","text","W/m2","text","mm","text","mm","text","volts","text","volts","text","volts","text","mm","text","mm","text","mm","text","","text","","text","","text","","text","mm","text","","text","Deg C","text","Deg C","text","Deg C","text","Deg C","text","Deg C","text","Deg C","text","m/s","text","m/s","text","Deg","text","Deg","text","m/s","text"
"2016-10-05 11:00:00",99,1.115,0,0.352,0,67.87,0,67.02,0,2.955,0,10.28,0,10.77,0,9.92,0,25.43,0,27.58,0,21.32,0,835.9,0,8.42,0,-9999,M,752,0,-9999,M,-9999,M,13.05,0,13.12,0,13.03,0,-9999,M,-9999,M,-41.32,0,-9999,M,1471,0,0.04,0,9.09,0,90.93,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,1.81,0,0.724,0,349,0,62.75,0,4.192,0
"2016-10-05 11:10:00",99,1.51,0,0.68,0,137.1,0,60.05,0,3.632,0,10.27,0,10.74,0,9.44,0,21.03,0,23.87,0,19.27,0,835.8,0,8.54,0,-9999,M,764,0,-9999,M,-9999,M,13.05,0,13.09,0,13.03,0,-9999,M,-9999,M,-39.51,0,-9999,M,1472,0,0.044,0,9.09,0,90.96,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,1.955,0,0.95,0,336.2,0,58.09,0,3.889,0
"2016-10-05 11:20:00",99,0.971,0,0.386,0,196.2,0,62.86,0,2.123,0,10.05,0,10.6,0,9.44,0,22.41,0,24.28,0,21.01,0,835.7,0,8.85,0,-9999,M,771,0,-9999,M,-9999,M,13.04,0,13.09,0,13.03,0,-9999,M,-9999,M,-42.1,0,-9999,M,1471,0,0.036,0,9.09,0,90.93,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,2.035,0,1.222,0,305.4,0,51.19,0,4.31,0
"2016-10-05 11:30:00",99,1.143,0,0.555,0,37.54,0,58.11,0,3.657,0,10.79,0,11.04,0,10.6,0,20.07,0,22.34,0,18.66,0,835.6,0,8.9,0,-9999,M,778,0,-9999,M,-9999,M,13.04,0,13.08,0,13.01,0,-9999,M,-9999,M,-38.14,0,-9999,M,1471,0,0.049,0,9.09,0,90.93,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,2.513,0,2.01,0,16.25,0,36.24,0,5.708,0
"2016-10-05 11:40:00",99,1.076,0,0.338,0,38.52,0,67.07,0,3.673,0,10.61,0,11.07,0,10.39,0,21.55,0,23.42,0,18.86,0,835.3,0,9.02,0,-9999,M,779,0,-9999,M,-9999,M,13.03,0,13.07,0,13,0,-9999,M,-9999,M,-37.84,0,-9999,M,1471,0,0.039,0,9.09,0,90.91,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,1.972,0,1.565,0,20.31,0,36.19,0,5.945,0
"2016-10-05 11:50:00",99,1.838,0,1.447,0,81.5,0,37.37,0,4.101,0,10.67,0,11.07,0,10.21,0,21.11,0,22.77,0,20.02,0,835.6,0,9.22,0,-9999,M,781,0,-9999,M,-9999,M,13.03,0,13.06,0,13.01,0,-9999,M,-9999,M,-28.29,0,-9999,M,1471,0,0.044,0,9.09,0,90.91,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,2.861,0,2.431,0,34.8,0,31.43,0,5.021,0
"2016-10-05 12:00:00",99,1.268,0,0.679,0,112.6,0,55.19,0,3.82,0,10.5,0,11.06,0,10.25,0,21.48,0,22.94,0,19.91,0,835.8,0,9.4,0,-9999,M,785,0,-9999,M,-9999,M,13.03,0,13.06,0,13.01,0,-9999,M,-9999,M,-40.45,0,-9999,M,1471,0,0.053,0,9.09,0,90.93,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,1.771,0,0.792,0,331.9,0,60.23,0,4.236,0
"2016-10-05 12:10:00",99,1.147,0,0.313,0,143.9,0,69.05,0,3.683,0,11.3,0,11.57,0,11.06,0,20.41,0,24.27,0,18.89,0,835.5,0,9.85,0,-9999,M,779,0,-9999,M,-9999,M,13.03,0,13.07,0,13.01,0,-9999,M,-9999,M,-38.27,0,-9999,M,1471,0,0.05,0,9.09,0,90.93,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,2.059,0,1.004,0,339.6,0,57.98,0,5.596,0
"2016-10-05 12:20:00",99,1.972,0,1.338,0,82.7,0,45.91,0,5.877,0,10.8,0,11.44,0,10.42,0,19.37,0,21.75,0,18.14,0,835.5,0,9.62,0,-9999,M,777,0,-9999,M,-9999,M,13.02,0,13.05,0,13,0,-9999,M,-9999,M,-31.28,0,-9999,M,1471,0,0.053,0,9.09,0,90.93,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,3.714,0,3.139,0,37.46,0,31.88,0,8.17,0
"2016-10-05 12:30:00",99,1.205,0,0.732,0,278.1,0,50.75,0,2.3,0,11.41,0,11.68,0,10.96,0,21.7,0,23.25,0,19.64,0,835.5,0,9.86,0,-9999,M,775,0,-9999,M,-9999,M,13.01,0,13.06,0,12.99,0,-9999,M,-9999,M,-38.39,0,-9999,M,1471,0,0.042,0,9.09,0,90.93,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,2.709,0,2.17,0,324.3,0,36.14,0,4.201,0
"2016-10-05 12:40:00",99,0.913,0,0.35,0,121.5,0,63.59,0,2.184,0,11.37,0,11.91,0,10.93,0,22.68,0,23.69,0,21.75,0,835.5,0,10.14,0,-9999,M,761,0,-9999,M,-9999,M,13,0,13.06,0,12.98,0,-9999,M,-9999,M,-44.47,0,-9999,M,1471,0,0.044,0,9.09,0,90.91,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,1.629,0,0.539,0,349.2,0,66.24,0,5.362,0
"2016-10-05 12:50:00",99,1.399,0,0.395,0,112,0,68.6,0,4.146,0,11.73,0,11.98,0,10.93,0,23.57,0,25.56,0,22.43,0,835.5,0,10.08,0,-9999,M,751,0,-9999,M,-9999,M,13,0,13.04,0,12.98,0,-9999,M,-9999,M,-43.45,0,-9999,M,1471,0,0.048,0,9.09,0,90.93,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,2.757,0,1.885,0,359.5,0,45.57,0,6.174,0
"2016-10-05 13:00:00",99,1.507,0,1.142,0,96.2,0,39.54,0,5.117,0,10.92,0,11.1,0,10.76,0,23.98,0,24.68,0,23.28,0,835.4,0,10.17,0,-9999,M,743,0,-9999,M,-9999,M,13,0,13.06,0,12.98,0,-9999,M,-9999,M,-38.72,0,-9999,M,1471,0,0.048,0,9.09,0,90.91,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,1.975,0,1.198,0,31.52,0,50.38,0,4.52,0
"2016-10-05 13:10:00",99,1.187,0,0.506,0,53.37,0,60.86,0,3.472,0,11.58,0,11.81,0,11.06,0,23.53,0,24.51,0,22.13,0,835.4,0,10.44,0,-9999,M,734,0,-9999,M,-9999,M,13,0,13.02,0,12.98,0,-9999,M,-9999,M,-43.25,0,-9999,M,1472,0,0.124,0,9.1,0,91.01,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,2.322,0,1.675,0,24.07,0,42.77,0,5.142,0
"2016-10-05 13:20:00",99,1.219,0,0.282,0,61.88,0,71.03,0,2.676,0,11.87,0,12.05,0,11.51,0,24.07,0,25.33,0,22.91,0,835.4,0,10.68,0,-9999,M,741,0,-9999,M,-9999,M,12.99,0,13.05,0,12.97,0,-9999,M,-9999,M,-42.66,0,-9999,M,1472,0,0.066,0,9.09,0,90.96,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,1.968,0,1.155,0,11.97,0,52.07,0,4.466,0
"2016-10-05 13:30:00",99,0.963,0,0.49,0,80.8,0,56.27,0,3.815,0,12.15,0,12.46,0,11.78,0,24.11,0,26.01,0,23.15,0,835.5,0,10.42,0,-9999,M,715,0,-9999,M,-9999,M,12.98,0,13.03,0,12.97,0,-9999,M,-9999,M,-49.16,0,-9999,M,1471,0,0.055,0,9.09,0,90.93,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,2.518,0,1.706,0,359.1,0,46,0,6.998,0
"2016-10-05 13:40:00",99,1.213,0,0.75,0,77.13,0,48.8,0,3.694,0,12.08,0,12.46,0,11.71,0,24.01,0,26.01,0,22.67,0,835.3,0,10.42,0,-9999,M,713,0,-9999,M,-9999,M,12.98,0,13.03,0,12.96,0,-9999,M,-9999,M,-45,0,-9999,M,1472,0,0.091,0,9.1,0,90.98,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,2.564,0,1.993,0,25.96,0,38.2,0,5.877,0
"2016-10-05 13:50:00",99,1.059,0,0.518,0,250.7,0,57.39,0,3.651,0,12.39,0,12.76,0,11.95,0,23.79,0,25.63,0,22.91,0,835.2,0,10.71,0,-9999,M,696,0,-9999,M,-9999,M,12.98,0,13.03,0,12.96,0,-9999,M,-9999,M,-48.76,0,-9999,M,1472,0,0.047,0,9.1,0,91.01,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,2.022,0,1.497,0,302.8,0,41.25,0,5.064,0
"2016-10-05 14:00:00",99,1.062,0,0.422,0,245.9,0,62.86,0,2.441,0,12.22,0,12.56,0,12.01,0,25.61,0,26.42,0,24.41,0,835.1,0,10.57,0,-9999,M,674,0,-9999,M,-9999,M,12.97,0,13.01,0,12.96,0,-9999,M,-9999,M,-47.49,0,-9999,M,1472,0,0.047,0,9.1,0,91.01,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,2.753,0,2.251,0,305.4,0,34.6,0,7.015,0
"2016-10-05 14:10:00",99,1.599,0,0.791,0,107.4,0,57.59,0,4.3,0,11.88,0,12.56,0,11.3,0,25.51,0,27.1,0,24.68,0,835.5,0,10.55,0,-9999,M,640,0,-9999,M,-9999,M,12.97,0,13.01,0,12.95,0,-9999,M,-9999,M,-49.55,0,-9999,M,1472,0,0.075,0,9.09,0,90.96,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,2.964,0,1.697,0,15.66,0,52.97,0,6.909,0
"2016-10-05 14:20:00",99,1.135,0,0.287,0,338.1,0,68.84,0,2.59,0,11.82,0,12.25,0,11.3,0,25.7,0,27.16,0,24.41,0,835.5,0,10.72,0,-9999,M,611,0,-9999,M,-9999,M,12.97,0,13.03,0,12.96,0,-9999,M,-9999,M,-49.62,0,-9999,M,1471,0,0.052,0,9.09,0,90.93,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,2.536,0,1.476,0,345.3,0,52.38,0,5.791,0
"2016-10-05 14:30:00",99,1.376,0,0.39,0,166.9,0,68.58,0,2.897,0,11.76,0,12.25,0,11.5,0,25.06,0,26.42,0,23.86,0,835.5,0,10.56,0,-9999,M,579,0,-9999,M,-9999,M,12.97,0,13.02,0,12.96,0,-9999,M,-9999,M,-48.45,0,-9999,M,1471,0,0.056,0,9.09,0,90.93,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,2.294,0,1.416,0,314.8,0,50.12,0,6.324,0
"2016-10-05 14:40:00",99,1.264,0,0.675,0,224.4,0,55.31,0,3.014,0,11.61,0,11.85,0,11.4,0,25.64,0,26.55,0,24.41,0,835.5,0,10.79,0,-9999,M,552,0,-9999,M,-9999,M,12.97,0,13,0,12.96,0,-9999,M,-9999,M,-49.32,0,-9999,M,1472,0,0.051,0,9.1,0,90.98,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,2.711,0,1.963,0,298.1,0,42.55,0,5.701,0
"2016-10-05 14:50:00",99,0.795,0,0.206,0,357.9,0,64.88,0,3.355,0,11.88,0,12.05,0,11.68,0,25.48,0,28.08,0,23.93,0,835.6,0,10.73,0,-9999,M,526,0,-9999,M,-9999,M,12.97,0,13.01,0,12.96,0,-9999,M,-9999,M,-53.36,0,-9999,M,1472,0,0.067,0,9.1,0,91.03,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,2.088,0,1.394,0,314.8,0,46.72,0,3.745,0
"2016-10-05 15:00:00",99,0.979,0,0.437,0,113.5,0,60.26,0,3.237,0,11.89,0,12.09,0,11.68,0,25.26,0,27.23,0,23.97,0,835.6,0,11.07,0,-9999,M,498,0,-9999,M,-9999,M,12.98,0,13.03,0,12.96,0,-9999,M,-9999,M,-55.31,0,-9999,M,1472,0,0.05,0,9.1,0,91.03,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,2.106,0,0.925,0,25.34,0,60.65,0,4.387,0
"2016-10-05 15:10:00",99,1.164,0,0.667,0,257.6,0,52.49,0,2.328,0,11.53,0,11.78,0,11.37,0,25.87,0,26.52,0,24.37,0,835.2,0,10.8,0,-9999,M,472,0,-9999,M,-9999,M,13,0,13.05,0,12.97,0,-9999,M,-9999,M,-55.46,0,-9999,M,1472,0,0.051,0,9.1,0,91.03,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,2.866,0,2.413,0,310.3,0,32.19,0,5.481,0
"2016-10-05 15:20:00",99,0.877,0,0.273,0,313,0,67.24,0,2.27,0,11.35,0,11.51,0,11.23,0,25.36,0,26.52,0,24.65,0,835.3,0,10.6,0,-9999,M,444,0,-9999,M,-9999,M,13.02,0,13.08,0,13,0,-9999,M,-9999,M,-56.84,0,-9999,M,1472,0,0.048,0,9.1,0,91.03,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,2.682,0,2.49,0,314.5,0,21.65,0,5.696,0
"2016-10-05 15:30:00",99,0.922,0,0.128,0,94,0,75.19,0,2.461,0,10.63,0,11.23,0,10.25,0,26.62,0,28.12,0,25.5,0,835.3,0,10.35,0,-9999,M,408,0,-9999,M,-9999,M,13.03,0,13.12,0,13.01,0,-9999,M,-9999,M,-53.89,0,-9999,M,1472,0,0.04,0,9.1,0,91.03,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,2.337,0,1.379,0,314.1,0,51.87,0,4.073,0
"2016-10-05 15:40:00",99,0.941,0,0.341,0,165,0,63.59,0,2.677,0,10.04,0,10.25,0,9.85,0,28.57,0,29.79,0,26.39,0,835.6,0,10.57,0,-9999,M,55,0,-9999,M,-9999,M,13.04,0,13.11,0,13.02,0,-9999,M,-9999,M,-59.3,0,-9999,M,1472,0,0.074,0,9.1,0,91.03,0,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,-9999,M,1.334,0,0.796,0,317.6,0,51.46,0,3.214,0
