"TOA5","Sagehen Creek","CR1000,"9999","CR1000.Std.30.01","CPU:DRI_WRCC_webscrape.cr1","49999","sagh"
"TIMESTAMP","RECORD","Mean_Wind_Speed","Mean_Wind_Speed_flag","Mean_Wind_Direction","Mean_Wind_Direction_flag","Std_Dev_of_Wind_Direction","Std_Dev_of_Wind_Direction_flag","Max_Wind_Gust","Max_Wind_Gust_flag","Avg_Air_Temp","Avg_Air_Temp_flag","Max_Air_Temp","Max_Air_Temp_flag","Min_Air_Temp","Min_Air_Temp_flag","Avg_Relative_Humidity","Avg_Relative_Humidity_flag","Max_Relative_Humidity","Max_Relative_Humidity_flag","Min_Relative_Humidity","Min_Relative_Humidity_flag","Barometric_Pressure","Barometric_Pressure_flag","Misc_Number_1","Misc_Number_1_flag","Misc_Number_2","Misc_Number_2_flag","Solar_Radiation","Solar_Radiation_flag","Precipitation","Precipitation_flag","Battery_Voltage","Battery_Voltage_flag","Max_Battery_Voltage","Max_Battery_Voltage_flag","Min_Battery_Voltage","Min_Battery_Voltage_flag","Max_Snow_Depth_Inches","Max_Snow_Depth_Inches_flag","Min_Snow_Depth_Inches","Min_Snow_Depth_Inches_flag","Snow_Depth","Snow_Depth_flag","Std_dev_Snow_Depth_Inches","Std_dev_Snow_Depth_Inches_flag","Station_ID_Number","Station_ID_Number_flag"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","m/s","text","Deg","text","Deg","text","m/s","text","Deg C","text","Deg C","text","Deg C","text","%","text","%","text","%","text","mbar","text","Unk","text","Unk","text","W/m2","text","mm","text","volts","text","volts","text","volts","text","mm","text","mm","text","mm","text","","text","","text"
"2001-09-19 10:40:00",99,0.407,0,183.3,0,30.5,0,1.196,0,23.17,0,23.59,0,22.66,0,25.54,0,28.88,0,23.86,0,1032,0,-9999,M,-9999,M,389,0,0,0,13.38,0,13.39,0,13.36,0,2103,0,708.7,0,1305,0,13.16,0,0,0
"2001-09-19 10:50:00",99,0.908,0,180.3,0,37.77,0,1.862,0,22.98,0,23.25,0,22.68,0,23.86,0,25.77,0,22.27,0,1032,0,-9999,M,-9999,M,83,0,0,0,13.37,0,13.37,0,13.36,0,2918,0,1217,0,2390,0,27.54,0,0,0
"2001-09-19 11:00:00",99,0.766,0,191.3,0,43.61,0,1.862,0,23.22,0,23.64,0,22.82,0,23.44,0,26.17,0,20.35,0,1032,0,-9999,M,-9999,M,65,0,0,0,13.37,0,13.38,0,13.36,0,2918,0,2908,0,2911,0,0.129,0,0,0
"2001-09-19 11:10:00",99,0.886,0,124.3,0,39.66,0,2.136,0,23.17,0,23.46,0,22.87,0,22.15,0,24.52,0,20.29,0,1032,0,-9999,M,-9999,M,65,0,0,0,13.38,0,13.38,0,13.37,0,2918,0,2908,0,2911,0,0.146,0,0,0
"2001-09-19 11:20:00",99,0.612,0,124.4,0,84.7,0,1.744,0,23.38,0,24,0,22.97,0,21.65,0,24.38,0,19.96,0,1032,0,-9999,M,-9999,M,63,0,0,0,13.38,0,13.38,0,13.37,0,2918,0,2903,0,2911,0,0.146,0,0,0
"2001-09-19 11:30:00",99,0.927,0,64.38,0,65.85,0,2.881,0,24.09,0,24.5,0,23.58,0,20.29,0,22.93,0,19.1,0,1032,0,-9999,M,-9999,M,57,0,0,0,13.37,0,13.38,0,13.36,0,2916,0,2906,0,2908,0,0.131,0,0,0
"2001-09-19 11:40:00",99,0.669,0,288.3,0,87.9,0,1.862,0,24.17,0,24.6,0,23.86,0,21.31,0,25.57,0,18.7,0,1032,0,-9999,M,-9999,M,71,0,0,0,13.37,0,13.37,0,13.36,0,2916,0,2898,0,2911,0,0.166,0,0,0
"2001-09-19 11:50:00",99,0.669,0,118.5,0,75.9,0,1.784,0,24.39,0,24.67,0,23.91,0,19.53,0,23.26,0,17.51,0,1032,0,-9999,M,-9999,M,75,0,0,0,13.35,0,13.36,0,13.34,0,2913,0,2898,0,2911,0,0.154,0,0,0
"2001-09-19 12:00:00",99,0.607,0,181.7,0,68.35,0,1.94,0,24.71,0,25.22,0,24.32,0,19.84,0,25.77,0,17.18,0,1032,0,-9999,M,-9999,M,123,0,0,0,13.32,0,13.35,0,13.31,0,2916,0,2908,0,2913,0,0.091,0,0,0
"2001-09-19 12:10:00",99,0.693,0,238.5,0,45.25,0,2.156,0,25.27,0,25.58,0,24.89,0,17,0,21.41,0,14.74,0,1033,0,-9999,M,-9999,M,572,0,0,0,13.29,0,13.31,0,13.28,0,2918,0,2908,0,2913,0,0.094,0,0,0
"2001-09-19 12:20:00",99,0.992,0,221,0,44.49,0,2.372,0,25.18,0,25.51,0,24.96,0,16.7,0,19.96,0,14.67,0,1033,0,-9999,M,-9999,M,876,0,0,0,13.27,0,13.28,0,13.25,0,2918,0,2911,0,2913,0,0.109,0,0,0
"2001-09-19 12:30:00",99,1.172,0,245,0,46.85,0,2.94,0,25.2,0,25.54,0,24.89,0,16.18,0,18.37,0,14.67,0,1034,0,-9999,M,-9999,M,874,0,0,0,13.25,0,13.26,0,13.24,0,2918,0,2906,0,2913,0,0.137,0,0,0
"2001-09-19 12:40:00",99,1.007,0,260.4,0,52.77,0,2.94,0,25.44,0,25.66,0,25.23,0,15.61,0,17.78,0,14.21,0,1034,0,-9999,M,-9999,M,862,0,0,0,13.24,0,13.25,0,13.23,0,2921,0,2901,0,2913,0,0.238,0,0,0
"2001-09-19 12:50:00",99,0.704,0,251.1,0,56.07,0,2.215,0,25.35,0,25.67,0,24.97,0,15.75,0,18.44,0,14.21,0,1034,0,-9999,M,-9999,M,853,0,0,0,13.23,0,13.23,0,13.22,0,2924,0,2903,0,2913,0,0.235,0,0,0
"2001-09-19 13:00:00",99,0.867,0,233.1,0,49.45,0,2.195,0,25.68,0,25.96,0,25.47,0,15.61,0,17.51,0,13.94,0,1034,0,-9999,M,-9999,M,840,0,0,0,13.22,0,13.23,0,13.21,0,2924,0,2911,0,2913,0,0.13,0,0,0
"2001-09-19 13:10:00",99,0.896,0,292.8,0,72.6,0,2.156,0,25.64,0,25.92,0,25.36,0,14.87,0,16.98,0,13.61,0,1035,0,-9999,M,-9999,M,826,0,0,0,13.21,0,13.21,0,13.2,0,2924,0,2911,0,2918,0,0.184,0,0,0
"2001-09-19 13:20:00",99,0.578,0,231.5,0,64.13,0,1.98,0,25.97,0,26.17,0,25.6,0,15.49,0,20.35,0,13.81,0,1034,0,-9999,M,-9999,M,803,0,0,0,13.2,0,13.21,0,13.19,0,2924,0,2911,0,2916,0,0.132,0,0,0
"2001-09-19 13:30:00",99,0.904,0,261.6,0,48.66,0,2.117,0,26.13,0,26.27,0,25.88,0,15.45,0,17.84,0,13.94,0,1035,0,-9999,M,-9999,M,790,0,0,0,13.19,0,13.2,0,13.19,0,2921,0,2913,0,2918,0,0.117,0,0,0
"2001-09-19 13:40:00",99,0.752,0,212.9,0,48.78,0,1.901,0,26.11,0,26.58,0,25.79,0,15.64,0,18.04,0,13.88,0,1035,0,-9999,M,-9999,M,770,0,0,0,13.19,0,13.19,0,13.18,0,2921,0,2911,0,2916,0,0.118,0,0,0
"2001-09-19 13:50:00",99,0.854,0,237.9,0,61.76,0,2.47,0,26.21,0,26.53,0,25.85,0,15.61,0,17.97,0,14.47,0,1035,0,-9999,M,-9999,M,749,0,0,0,13.18,0,13.19,0,13.17,0,2924,0,2918,0,2921,0,0.063,0,0,0
"2001-09-19 14:00:00",99,1.067,0,213.4,0,86.5,0,3.018,0,25.27,0,25.81,0,24.91,0,15.78,0,17.91,0,14.67,0,1035,0,-9999,M,-9999,M,729,0,0,0,13.18,0,13.19,0,13.17,0,2921,0,2913,0,2916,0,0.11,0,0,0
"2001-09-19 14:10:00",99,1.005,0,268.2,0,61.7,0,3.234,0,25.47,0,25.8,0,25.13,0,15.83,0,18.1,0,14.54,0,1034,0,-9999,M,-9999,M,707,0,0,0,13.19,0,13.19,0,13.18,0,2921,0,2908,0,2916,0,0.126,0,0,0
"2001-09-19 14:20:00",99,1.097,0,228.4,0,85.1,0,2.45,0,25.53,0,25.91,0,25.22,0,16.09,0,18.57,0,15,0,1034,0,-9999,M,-9999,M,681,0,0,0,13.19,0,13.19,0,13.18,0,2924,0,2911,0,2918,0,0.17,0,0,0
"2001-09-19 14:30:00",99,0.952,0,251.1,0,68.84,0,2.626,0,25.71,0,26.04,0,25.21,0,16.5,0,17.84,0,15.07,0,1034,0,-9999,M,-9999,M,657,0,0,0,13.18,0,13.19,0,13.17,0,2924,0,2916,0,2918,0,0.099,0,0,0
"2001-09-19 14:40:00",99,0.76,0,250.7,0,56.33,0,1.744,0,25.35,0,25.55,0,25.14,0,16.64,0,19.89,0,15.26,0,1034,0,-9999,M,-9999,M,630,0,0,0,13.18,0,13.19,0,13.17,0,2921,0,2916,0,2918,0,0.078,0,0,0
"2001-09-19 14:50:00",99,0.831,0,223,0,49.43,0,2.313,0,25.59,0,25.88,0,25.24,0,16.28,0,19.36,0,14.8,0,1034,0,-9999,M,-9999,M,602,0,0,0,13.18,0,13.18,0,13.17,0,2924,0,2916,0,2918,0,0.098,0,0,0
"2001-09-19 15:00:00",99,1.088,0,259.7,0,25.53,0,2.705,0,25.4,0,25.72,0,24.93,0,17.03,0,18.7,0,15.92,0,1034,0,-9999,M,-9999,M,573,0,0,0,13.18,0,13.18,0,13.17,0,2921,0,2916,0,2918,0,0.047,0,0,0
"2001-09-19 15:10:00",99,0.776,0,261.7,0,46.47,0,1.96,0,25.18,0,25.51,0,24.88,0,17.25,0,20.42,0,15.79,0,1034,0,-9999,M,-9999,M,542,0,0,0,13.18,0,13.19,0,13.17,0,2921,0,2913,0,2918,0,0.084,0,0,0
"2001-09-19 15:20:00",99,0.798,0,255.3,0,61.63,0,2.45,0,24.36,0,25.05,0,24.04,0,18.17,0,20.35,0,16.26,0,1034,0,-9999,M,-9999,M,455,0,0,0,13.19,0,13.2,0,13.18,0,2918,0,2911,0,2916,0,0.086,0,0,0
