"Plot Title: SGH 496"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 11016153, SEN S/N: 11016153, LBL: sgh 496 temp)","RH, % (LGR S/N: 11016153, SEN S/N: 11016153, LBL: sgh 496 rh)","Coupler Detached (LGR S/N: 11016153)","Coupler Attached (LGR S/N: 11016153)","Stopped (LGR S/N: 11016153)","End Of File (LGR S/N: 11016153)"
1,11/05/19 12:00:00 PM,57.592,35.336,Logged,,,
2,11/05/19 12:20:00 PM,53.690,38.004,,,,
3,11/05/19 12:40:00 PM,53.209,38.803,,,,
4,11/05/19 01:00:00 PM,53.865,35.904,,,,
5,11/05/19 01:20:00 PM,54.604,33.074,,,,
6,11/05/19 01:40:00 PM,55.081,34.167,,,,
7,11/05/19 02:00:00 PM,55.386,31.391,,,,
8,11/05/19 02:20:00 PM,55.386,33.309,,,,
9,11/05/19 02:40:00 PM,55.213,33.267,,,,
10,11/05/19 03:00:00 PM,55.342,35.085,,,,
11,11/05/19 03:20:00 PM,54.995,37.665,,,,
12,11/05/19 03:40:00 PM,54.300,42.380,,,,
13,11/05/19 04:00:00 PM,53.209,36.956,,,,
14,11/05/19 04:20:00 PM,52.947,38.724,,,,
15,11/05/19 04:40:00 PM,51.501,42.356,,,,
16,11/05/19 05:00:00 PM,50.047,46.513,,,,
17,11/05/19 05:20:00 PM,48.850,49.367,,,,
18,11/05/19 05:40:00 PM,47.154,50.875,,,,
19,11/05/19 06:00:00 PM,45.082,53.173,,,,
20,11/05/19 06:20:00 PM,42.892,54.657,,,,
21,11/05/19 06:40:00 PM,40.764,56.535,,,,
22,11/05/19 07:00:00 PM,39.078,57.233,,,,
23,11/05/19 07:20:00 PM,37.702,58.589,,,,
24,11/05/19 07:40:00 PM,36.698,58.786,,,,
25,11/05/19 08:00:00 PM,35.879,59.057,,,,
26,11/05/19 08:20:00 PM,35.152,58.990,,,,
27,11/05/19 08:40:00 PM,34.272,60.281,,,,
28,11/05/19 09:00:00 PM,33.287,61.410,,,,
29,11/05/19 09:20:00 PM,32.243,63.141,,,,
30,11/05/19 09:40:00 PM,31.289,64.861,,,,
31,11/05/19 10:00:00 PM,30.376,64.963,,,,
