"Plot Title: SGH 121"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 11016139, SEN S/N: 11016139, LBL: sgh 121 temp)","RH, % (LGR S/N: 11016139, SEN S/N: 11016139, LBL: sgh 121 rh)","Coupler Detached (LGR S/N: 11016139)","Coupler Attached (LGR S/N: 11016139)","Stopped (LGR S/N: 11016139)","End Of File (LGR S/N: 11016139)"
1,12/01/16 12:00:00 AM,28.164,93.171,Logged,,,
2,12/01/16 12:10:00 AM,28.112,93.308,,,,
3,12/01/16 12:20:00 AM,28.112,93.405,,,,
4,12/01/16 12:30:00 AM,28.112,93.477,,,,
5,12/01/16 12:40:00 AM,28.164,93.750,,,,
6,12/01/16 12:50:00 AM,28.216,93.565,,,,
7,12/01/16 01:00:00 AM,28.321,93.677,,,,
8,12/01/16 01:10:00 AM,28.425,92.969,,,,
9,12/01/16 01:20:00 AM,28.476,93.218,,,,
10,12/01/16 01:30:00 AM,28.528,93.008,,,,
11,12/01/16 01:40:00 AM,28.528,91.965,,,,
12,12/01/16 01:50:00 AM,28.632,91.396,,,,
13,12/01/16 02:00:00 AM,28.632,91.493,,,,
14,12/01/16 02:10:00 AM,28.632,91.225,,,,
15,12/01/16 02:20:00 AM,28.528,91.307,,,,
16,12/01/16 02:30:00 AM,28.425,91.316,,,,
17,12/01/16 02:40:00 AM,28.321,91.130,,,,
18,12/01/16 02:50:00 AM,28.112,91.417,,,,
19,12/01/16 03:00:00 AM,27.903,91.678,,,,
20,12/01/16 03:10:00 AM,27.694,91.891,,,,
21,12/01/16 03:20:00 AM,27.590,91.996,,,,
22,12/01/16 03:30:00 AM,27.486,92.344,,,,
23,12/01/16 03:40:00 AM,27.381,92.183,,,,
24,12/01/16 03:50:00 AM,27.171,92.104,,,,
25,12/01/16 04:00:00 AM,26.960,91.927,,,,
26,12/01/16 04:10:00 AM,26.643,92.509,,,,
27,12/01/16 04:20:00 AM,26.431,92.236,,,,
28,12/01/16 04:30:00 AM,26.112,91.898,,,,
29,12/01/16 04:40:00 AM,25.792,91.754,,,,
30,12/01/16 04:50:00 AM,25.524,92.245,,,,
31,12/01/16 05:00:00 AM,25.309,92.502,,,,
32,12/01/16 05:10:00 AM,25.147,92.814,,,,
33,12/01/16 05:20:00 AM,25.041,93.277,,,,
34,12/01/16 05:30:00 AM,25.041,93.421,,,,
35,12/01/16 05:40:00 AM,25.041,93.564,,,,
36,12/01/16 05:50:00 AM,25.147,93.938,,,,
37,12/01/16 06:00:00 AM,25.255,93.716,,,,
38,12/01/16 06:10:00 AM,25.255,93.453,,,,
39,12/01/16 06:20:00 AM,25.309,93.270,,,,
40,12/01/16 06:30:00 AM,25.309,92.550,,,,
41,12/01/16 06:40:00 AM,25.255,91.384,,,,
42,12/01/16 06:50:00 AM,25.041,90.237,,,,
43,12/01/16 07:00:00 AM,24.717,90.990,,,,
44,12/01/16 07:10:00 AM,24.283,91.940,,,,
45,12/01/16 07:20:00 AM,23.956,92.107,,,,
46,12/01/16 07:30:00 AM,23.738,91.666,,,,
47,12/01/16 07:40:00 AM,23.409,91.232,,,,
48,12/01/16 07:50:00 AM,23.077,91.376,,,,
49,12/01/16 08:00:00 AM,22.802,91.935,,,,
50,12/01/16 08:10:00 AM,22.525,92.228,,,,
51,12/01/16 08:20:00 AM,22.413,92.355,,,,
52,12/01/16 08:30:00 AM,22.302,92.910,,,,
53,12/01/16 08:40:00 AM,22.357,93.631,,,,
54,12/01/16 08:50:00 AM,22.525,93.870,,,,
55,12/01/16 09:00:00 AM,22.802,93.865,,,,
56,12/01/16 09:10:00 AM,23.133,93.417,,,,
57,12/01/16 09:20:00 AM,23.409,92.576,,,,
58,12/01/16 09:30:00 AM,23.738,92.745,,,,
59,12/01/16 09:40:00 AM,23.956,91.144,,,,
60,12/01/16 09:50:00 AM,24.174,89.770,,,,
61,12/01/16 10:00:00 AM,24.445,89.078,,,,
62,12/01/16 10:10:00 AM,24.663,89.256,,,,
63,12/01/16 10:20:00 AM,25.147,88.885,,,,
64,12/01/16 10:30:00 AM,26.271,86.175,,,,
65,12/01/16 10:40:00 AM,27.275,82.887,,,,
66,12/01/16 10:50:00 AM,27.903,80.976,,,,
67,12/01/16 11:00:00 AM,28.321,79.404,,,,
68,12/01/16 11:10:00 AM,28.321,78.130,,,,
69,12/01/16 11:20:00 AM,28.060,77.211,,,,
70,12/01/16 11:30:00 AM,27.851,77.446,,,,
71,12/01/16 11:40:00 AM,27.747,76.885,,,,
72,12/01/16 11:50:00 AM,27.799,79.183,,,,
73,12/01/16 12:00:00 PM,28.060,76.319,,,,
74,12/01/16 12:10:00 PM,28.164,76.935,,,,
75,12/01/16 12:20:00 PM,28.269,76.502,,,,
76,12/01/16 12:30:00 PM,28.787,74.478,,,,
77,12/01/16 12:40:00 PM,29.354,72.919,,,,
78,12/01/16 12:50:00 PM,29.662,71.450,,,,
79,12/01/16 01:00:00 PM,30.020,73.744,,,,
80,12/01/16 01:10:00 PM,30.276,70.030,,,,
81,12/01/16 01:20:00 PM,30.376,67.941,,,,
82,12/01/16 01:30:00 PM,30.376,68.461,,,,
83,12/01/16 01:40:00 PM,30.529,66.748,,,,
84,12/01/16 01:50:00 PM,30.580,66.946,,,,
85,12/01/16 02:00:00 PM,30.580,65.926,,,,
86,12/01/16 02:10:00 PM,30.580,64.873,,,,
87,12/01/16 02:20:00 PM,30.479,64.501,,,,
88,12/01/16 02:30:00 PM,30.326,64.847,,,,
89,12/01/16 02:40:00 PM,30.276,64.091,,,,
90,12/01/16 02:50:00 PM,30.276,64.286,,,,
91,12/01/16 03:00:00 PM,30.276,64.203,,,,
92,12/01/16 03:10:00 PM,30.225,64.587,,,,
93,12/01/16 03:20:00 PM,30.276,65.230,,,,
94,12/01/16 03:30:00 PM,30.376,64.408,,,,
95,12/01/16 03:40:00 PM,30.376,64.213,,,,
96,12/01/16 03:50:00 PM,30.276,65.230,,,,
97,12/01/16 04:00:00 PM,30.173,67.316,,,,
98,12/01/16 04:10:00 PM,30.020,67.135,,,,
99,12/01/16 04:20:00 PM,29.817,64.740,,,,
100,12/01/16 04:30:00 PM,29.714,64.757,,,,
101,12/01/16 04:40:00 PM,29.509,64.126,,,,
102,12/01/16 04:50:00 PM,29.251,65.347,,,,
103,12/01/16 05:00:00 PM,28.942,66.775,,,,
104,12/01/16 05:10:00 PM,28.632,67.920,,,,
105,12/01/16 05:20:00 PM,28.269,70.027,,,,
106,12/01/16 05:30:00 PM,27.851,69.467,,,,
107,12/01/16 05:40:00 PM,27.433,69.854,,,,
108,12/01/16 05:50:00 PM,26.960,72.324,,,,
109,12/01/16 06:00:00 PM,26.377,73.269,,,,
110,12/01/16 06:10:00 PM,25.846,74.371,,,,
111,12/01/16 06:20:00 PM,25.363,74.525,,,,
112,12/01/16 06:30:00 PM,24.987,74.507,,,,
113,12/01/16 06:40:00 PM,24.717,75.968,,,,
114,12/01/16 06:50:00 PM,24.445,76.379,,,,
115,12/01/16 07:00:00 PM,24.066,77.863,,,,
116,12/01/16 07:10:00 PM,23.738,79.981,,,,
117,12/01/16 07:20:00 PM,23.189,81.336,,,,
118,12/01/16 07:30:00 PM,22.746,81.582,,,,
