



California (PST) SNOTEL Site Independence Camp - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Tue Nov 26 21:17:57 GMT-08:00 2024. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,
539,2015-10-01,,     0.0,
539,2015-10-02,,     0.0,
539,2015-10-03,,     0.0,
539,2015-10-04,,     0.0,
539,2015-10-05,,     0.0,
539,2015-10-06,,     0.0,
539,2015-10-07,,     0.0,
539,2015-10-08,,     0.0,
539,2015-10-09,,     0.0,
539,2015-10-10,,     0.0,
539,2015-10-11,,     0.0,
539,2015-10-12,,     0.0,
539,2015-10-13,,     0.0,
539,2015-10-14,,     0.0,
539,2015-10-15,,     0.0,
539,2015-10-16,,     0.0,
539,2015-10-17,,     0.0,
539,2015-10-18,,     0.0,
539,2015-10-19,,     0.0,
539,2015-10-20,,     0.0,
539,2015-10-21,,     0.0,
539,2015-10-22,,     0.0,
539,2015-10-23,,     0.0,
539,2015-10-24,,     0.0,
539,2015-10-25,,     0.0,
539,2015-10-26,,     0.0,
539,2015-10-27,,     0.0,
539,2015-10-28,,     0.0,
539,2015-10-29,,     0.0,
539,2015-10-30,,     0.0,
539,2015-10-31,,     0.0,
539,2015-11-01,,     0.0,
539,2015-11-02,,     0.0,
539,2015-11-03,,     1.1,
539,2015-11-04,,     1.1,
539,2015-11-05,,     1.1,
539,2015-11-06,,     1.1,
539,2015-11-07,,     1.1,
539,2015-11-08,,     1.1,
539,2015-11-09,,     1.1,
539,2015-11-10,,     1.2,
539,2015-11-11,,     1.2,
539,2015-11-12,,     1.3,
539,2015-11-13,,     1.3,
539,2015-11-14,,     1.3,
539,2015-11-15,,     1.3,
539,2015-11-16,,     1.4,
539,2015-11-17,,     1.5,
539,2015-11-18,,     1.6,
539,2015-11-19,,     1.6,
539,2015-11-20,,     1.5,
539,2015-11-21,,     1.4,
539,2015-11-22,,     1.3,
539,2015-11-23,,     1.3,
539,2015-11-24,,     1.3,
539,2015-11-25,,     1.7,
539,2015-11-26,,     1.9,
539,2015-11-27,,     1.9,
539,2015-11-28,,     1.9,
539,2015-11-29,,     1.9,
539,2015-11-30,,     1.9,
539,2015-12-01,,     2.1,
539,2015-12-02,,     2.3,
539,2015-12-03,,     2.3,
539,2015-12-04,,     2.4,
539,2015-12-05,,     2.4,
539,2015-12-06,,     2.4,
539,2015-12-07,,     2.4,
539,2015-12-08,,     2.4,
539,2015-12-09,,     2.5,
539,2015-12-10,,     2.5,
539,2015-12-11,,     2.4,
539,2015-12-12,,     2.6,
539,2015-12-13,,     2.8,
539,2015-12-14,,     3.3,
539,2015-12-15,,     3.4,
539,2015-12-16,,     3.4,
539,2015-12-17,,     3.6,
539,2015-12-18,,     3.7,
539,2015-12-19,,     3.7,
539,2015-12-20,,     3.7,
539,2015-12-21,,     3.8,
539,2015-12-22,,     4.0,
539,2015-12-23,,     4.2,
539,2015-12-24,,     4.3,
539,2015-12-25,,     4.7,
539,2015-12-26,,     4.8,
539,2015-12-27,,     5.0,
539,2015-12-28,,     5.0,
539,2015-12-29,,     5.0,
539,2015-12-30,,     5.0,
539,2015-12-31,,     5.0,
539,2016-01-01,,     5.0,
539,2016-01-02,,     5.0,
539,2016-01-03,,     5.0,
539,2016-01-04,,     5.0,
539,2016-01-05,,     5.0,
539,2016-01-06,,     5.3,
539,2016-01-07,,     5.3,
539,2016-01-08,,     5.3,
539,2016-01-09,,     5.5,
539,2016-01-10,,     5.5,
539,2016-01-11,,     5.5,
539,2016-01-12,,     5.6,
539,2016-01-13,,     5.8,
539,2016-01-14,,     6.3,
539,2016-01-15,,     6.6,
539,2016-01-16,,     6.9,
539,2016-01-17,,     7.1,
539,2016-01-18,,     7.2,
539,2016-01-19,,     7.3,
539,2016-01-20,,     7.8,
539,2016-01-21,,     7.8,
539,2016-01-22,,     7.9,
539,2016-01-23,,     8.3,
539,2016-01-24,,     8.6,
539,2016-01-25,,     8.6,
