Well Name,Time,Top To Water(cm),Well Top To Ground(cm),Water Height Relative To Ground(cm),Logger?,Water?,Meter Version,FullWellLength(cm)
EHR-1,31-May-2018 08:30:00,81.28,53.975,-30.6488095238095,NaN,1,v1,NaN
EHR-1,18-Jun-2018 07:17:00,95.885,54.9275,-44.3013095238095,NaN,1,v1,NaN
EHR-1,18-Jun-2018 07:17:00,95.885,54.9275,-44.3013095238095,NaN,1,v1,NaN
EHR-1,18-Jun-2018 07:17:00,96.52,54.9275,-44.9363095238095,NaN,1,v1,NaN
EHR-1,30-Jun-2018 08:15:00,110.8075,55.0428846153846,-59.1084249084249,NaN,1,v1,NaN
EHR-1,30-Jun-2018 08:15:00,111.4425,55.0428846153846,-59.7434249084249,NaN,1,v1,NaN
EHR-1,30-Jun-2018 08:15:00,110.49,55.0428846153846,-58.7909249084249,NaN,1,v1,NaN
EHR-1,16-Jul-2018 07:52:00,116.9,54.4,-67.095,NaN,1,v2,NaN
EHR-1,16-Jul-2018 07:52:00,118,54.4,-68.195,NaN,1,v2,NaN
EHR-1,16-Jul-2018 07:52:00,119.5,54.4,-69.695,NaN,1,v2,NaN
EHR-1,25-Jul-2018 07:21:00,117.6,55.6,-66.595,NaN,1,v2,NaN
EHR-1,25-Jul-2018 07:21:00,117.8,55.6,-66.795,NaN,1,v2,NaN
EHR-1,25-Jul-2018 07:21:00,118,55.6,-66.995,NaN,1,v2,NaN
EHR-1,10-Aug-2018 06:32:00,119.7,55.0428846153846,-68.2571153846154,NaN,1,v3,NaN
EHR-1,10-Aug-2018 06:32:00,120.5,55.0428846153846,-69.0571153846154,NaN,1,v3,NaN
EHR-1,10-Aug-2018 06:32:00,123.5,55.0428846153846,-72.0571153846154,NaN,1,v3,NaN
EHR-1,24-Aug-2018 07:53:00,117.9,55.6,-65.9,1,1,v3,NaN
EHR-1,24-Aug-2018 07:53:00,117.9,55.6,-65.9,NaN,1,v3,NaN
EHR-1,24-Aug-2018 07:53:00,117.8,55.6,-65.8,NaN,1,v3,NaN
EHR-1,16-Sep-2018 07:21:00,109.9,55.0428846153846,-58.4571153846154,1,1,v3,NaN
EHR-1,16-Sep-2018 07:21:00,109.8,55.0428846153846,-58.3571153846154,1,1,v3,NaN
EHR-1,16-Sep-2018 07:21:00,109.7,55.0428846153846,-58.2571153846154,1,1,v3,NaN
EHR-1,29-Sep-2018 08:16:00,109,55.0428846153846,-57.5571153846154,NaN,1,v3,NaN
EHR-1,29-Sep-2018 08:16:00,109.1,55.0428846153846,-57.6571153846154,NaN,1,v3,NaN
EHR-1,29-Sep-2018 08:16:00,109.5,55.0428846153846,-58.0571153846154,NaN,1,v3,NaN
EHR-1,18-Nov-2018 14:43:00,92.6,55.0428846153846,-41.1571153846154,1,1,v3,NaN
EHR-1,18-Nov-2018 14:43:00,93.2,55.0428846153846,-41.7571153846154,1,1,v3,NaN
EHR-1,18-Nov-2018 14:43:00,93.6,55.0428846153846,-42.1571153846154,1,1,v3,NaN
EHR-1,02-Jun-2019 08:01:00,58.5,55.0428846153846,-3.45711538461538,NaN,1,nm,NaN
EHR-1,02-Jun-2019 08:01:00,60.5,55.0428846153846,-5.45711538461538,NaN,1,nm,NaN
EHR-1,02-Jun-2019 08:01:00,58.5,55.0428846153846,-3.45711538461538,NaN,1,nm,NaN
EHR-1,18-Jun-2019 07:30:00,60.2,55.0428846153846,-8.5009249084249,NaN,1,v4,NaN
EHR-1,18-Jun-2019 07:30:00,61,55.0428846153846,-9.3009249084249,NaN,1,v4,NaN
EHR-1,18-Jun-2019 07:30:00,60.4,55.0428846153846,-8.7009249084249,NaN,1,v4,NaN
