term,estimate,std.error,conf.low,conf.up,,Qmin,Qmax
"Q.(X.Y1,X.Y1)",128.8194445,28.80490348,72.36287114,185.2760179,,1.413645827,516.6528974
"Q.(X.Y2,X.Y2)",387.6557591,114.3134469,163.6055203,611.7059979,,,
"Q.(X.Y3,X.Y3)",44.97657008,9.814692232,25.74012678,64.21301337,,,
"Q.(X.Y4,X.Y4)",94.74964893,30.7408454,34.49869909,155.0005988,,,
"Q.(X.Y5,X.Y5)",19.42625665,4.290542335,11.0169482,27.8355651,,,
"Q.(X.Y6,X.Y6)",79.02721171,26.3424039,27.39704879,130.6573746,,,
"Q.(X.Y7,X.Y7)",23.62547844,5.647569548,12.55644552,34.69451135,,,
"Q.(X.Y8,X.Y8)",167.0607898,43.13491045,82.51791885,251.6036608,,,
"Q.(X.Y9,X.Y9)",60.00525618,13.09422041,34.34105578,85.66945658,,,
"Q.(X.Y10,X.Y10)",26.12100419,7.244663076,11.92172548,40.3202829,,,
"Q.(X.Y11,X.Y11)",11.97387723,3.258876607,5.586596453,18.36115801,,,
"Q.(X.Y12,X.Y12)",34.64456318,9.098108018,16.81259914,52.47652722,,,
"Q.(X.Y13,X.Y13)",20.92261556,4.621032731,11.86555783,29.97967328,,,
"Q.(X.Y14,X.Y14)",51.23432681,13.94421756,23.90416261,78.56449101,,,
"Q.(X.Y15,X.Y15)",23.05276659,6.274168368,10.75562256,35.34991063,,,
"Q.(X.Y16,X.Y16)",305.9338248,75.31570126,158.3177628,453.5498867,,,
"Q.(X.Y17,X.Y17)",3.500987361,0.836896051,1.860701242,5.14127348,,,
"Q.(X.Y18,X.Y18)",152.9076198,42.40894337,69.78761822,236.0276215,,,
"Q.(X.Y19,X.Y19)",141.216352,37.74165762,67.24406236,215.1886417,,,
"Q.(X.Y20,X.Y20)",3.188848457,0.731572009,1.754993667,4.622703247,,,
"Q.(X.Y21,X.Y21)",37.35802582,9.810698217,18.12941065,56.58664099,,,
"Q.(X.Y22,X.Y22)",49.05147915,10.57871405,28.31758061,69.7853777,,,
"Q.(X.Y23,X.Y23)",1.413645827,0.30848281,0.80903063,2.018261025,,,
"Q.(X.Y24,X.Y24)",161.2777143,40.31942857,82.25308641,240.3023422,,,
"Q.(X.Y25,X.Y25)",135.6927948,36.26542487,64.61386822,206.7717215,,,
"Q.(X.Y26,X.Y26)",137.4284561,37.40328817,64.11935837,210.7375538,,,
