term,estimate,std.error,conf.low,conf.up,,Umin,Umax
U.X.Y1,0.038280198,1.129337598,-2.175180821,2.251741217,,-0.555301031,1.613564356
U.X.Y2,0.146582178,1.958887859,-3.692767475,3.985931832,,,
U.X.Y3,0.033131683,0.667297864,-1.274748097,1.341011463,,,
U.X.Y4,-0.14515944,1.003427114,-2.111840444,1.821521564,,,
U.X.Y5,-0.021378218,0.438552195,-0.880924725,0.83816829,,,
U.X.Y6,0.309141584,0.881554468,-1.418673423,2.036956592,,,
U.X.Y7,0.091957426,0.483398411,-0.855486049,1.039400901,,,
U.X.Y8,-0.014352357,1.5448539,-3.042210362,3.013505647,,,
U.X.Y9,0.091980198,0.770655572,-1.418476967,1.602437363,,,
U.X.Y10,-0.233244455,0.525157688,-1.262534609,0.796045699,,,
U.X.Y11,-0.106595656,0.356315638,-0.804961473,0.591770161,,,
U.X.Y12,0.057899715,0.693595454,-1.301522394,1.417321824,,,
U.X.Y13,0.098983168,0.45487981,-0.792564878,0.990531214,,,
U.X.Y14,-0.189201996,0.737373853,-1.63442819,1.256024198,,,
U.X.Y15,-0.080460516,0.494977195,-1.050597991,0.889676958,,,
U.X.Y16,0.296229703,1.739651867,-3.113425301,3.705884707,,,
U.X.Y17,0.043058763,0.189841197,-0.329023146,0.415140672,,,
U.X.Y18,0.647449398,1.351346647,-2.001141361,3.296040156,,,
U.X.Y19,0.941386156,1.369759409,-1.743292953,3.626065266,,,
U.X.Y20,0.010869546,0.186167363,-0.354011781,0.375750873,,,
U.X.Y21,0.514659892,0.740016526,-0.935745848,1.965065631,,,
U.X.Y22,0.095833663,0.696738564,-1.269748828,1.461416155,,,
U.X.Y23,-0.03259901,0.118199793,-0.264266347,0.199068327,,,
U.X.Y24,-0.515971134,1.286210434,-3.03689726,2.004954992,,,
U.X.Y25,1.040536305,1.378103276,-1.660496483,3.741569094,,,
U.X.Y26,0.813801227,1.353563705,-1.839134886,3.46673734,,,
U.X.Y27,0.20484067,0.173329809,-0.134879513,0.544560852,,,
U.X.Y28,1.613564356,2.241784169,-2.780251875,6.007380588,,,
U.X.Y29,-0.13878866,1.007298468,-2.113057378,1.835480059,,,
U.X.Y30,0.311328713,1.326190519,-2.287956941,2.910614367,,,
U.X.Y31,0.267235644,1.855765145,-3.369997204,3.904468491,,,
U.X.Y32,-0.555301031,1.175664101,-2.859560327,1.748958265,,,
U.X.Y33,1.070111881,1.551730173,-1.971223372,4.111447134,,,
U.X.Y34,0.112276289,0.62466059,-1.112035971,1.336588548,,,
U.X.Y35,0.037113402,0.562969759,-1.06628705,1.140513854,,,
U.X.Y36,-0.425306122,2.162937041,-4.664584824,3.813972579,,,
U.X.Y37,0.479168074,1.501153555,-2.463038829,3.421374976,,,
U.X.Y38,0.792315442,1.698751234,-2.537175796,4.12180668,,,
U.X.Y39,0.446012823,1.008538917,-1.530687131,2.422712777,,Qmin,Qmax
"Q.(X.Y1,X.Y1)",128.8157445,28.80407612,72.36079267,185.2706963,,1.411090298,507.5852221
"Q.(X.Y2,X.Y2)",387.561406,114.2856237,163.5656997,611.5571124,,,
"Q.(X.Y3,X.Y3)",44.97393035,9.814116196,25.73861606,64.20924463,,,
"Q.(X.Y4,X.Y4)",94.64540142,30.70702304,34.46074218,154.8300607,,,
"Q.(X.Y5,X.Y5)",19.4251308,4.290293676,11.01630971,27.83395188,,,
"Q.(X.Y6,X.Y6)",78.49096627,26.16365542,27.21114394,129.7707886,,,
"Q.(X.Y7,X.Y7)",23.60107635,5.641736334,12.54347633,34.65867638,,,
"Q.(X.Y8,X.Y8)",167.06015,43.13474524,82.51760281,251.6026971,,,
"Q.(X.Y9,X.Y9)",59.98491104,13.08978073,34.32941224,85.64040984,,,
"Q.(X.Y10,X.Y10)",25.92431612,7.190111619,11.8319563,40.01667593,,,
"Q.(X.Y11,X.Y11)",11.93431836,3.248110047,5.568139655,18.30049707,,,
"Q.(X.Y12,X.Y12)",34.63737505,9.096220322,16.80911082,52.46563927,,,
"Q.(X.Y13,X.Y13)",20.89847984,4.615702043,11.85187007,29.94508961,,,
"Q.(X.Y14,X.Y14)",51.10969866,13.91029807,23.84601543,78.37338189,,,
"Q.(X.Y15,X.Y15)",23.03022778,6.268034079,10.74510673,35.31534883,,,
"Q.(X.Y16,X.Y16)",305.6652503,75.24958281,158.1787782,453.1517225,,,
"Q.(X.Y17,X.Y17)",3.495848974,0.835667742,1.857970298,5.133727651,,,
"Q.(X.Y18,X.Y18)",151.5694341,42.03779741,69.17686516,233.962003,,,
"Q.(X.Y19,X.Y19)",138.8418221,37.1070378,66.11336442,211.5702797,,,
"Q.(X.Y20,X.Y20)",3.188562416,0.731506387,1.754836244,4.622288588,,,
"Q.(X.Y21,X.Y21)",36.69083876,9.635486313,17.80563262,55.57604491,,,
"Q.(X.Y22,X.Y22)",49.02990722,10.57406173,28.30512706,69.75468738,,,
"Q.(X.Y23,X.Y23)",1.411090298,0.307925148,0.807568098,2.014612497,,,
"Q.(X.Y24,X.Y24)",160.4707161,40.11767902,81.84151006,239.0999221,,,
