"term","estimate","std.error","conf.low","conf.up"
"Q.diag",78.2782812610881,NA,NA,NA
"x0.X.Y1",4.6831301337825,NA,NA,NA
"x0.X.Y2",3.30939761787541,NA,NA,NA
"x0.X.Y3",16.8733314655842,NA,NA,NA
"x0.X.Y4",11.1821259581297,NA,NA,NA
"x0.X.Y5",33.6878878730023,NA,NA,NA
"x0.X.Y6",0,NA,NA,NA
"x0.X.Y7",28.9034416655756,NA,NA,NA
"x0.X.Y8",62.1442294839725,NA,NA,NA
"x0.X.Y9",24.3008945969976,NA,NA,NA
"x0.X.Y10",0,NA,NA,NA
"x0.X.Y11",4.85818396758856,NA,NA,NA
"x0.X.Y12",35.6727695443305,NA,NA,NA
"x0.X.Y13",34.0054922439609,NA,NA,NA
"x0.X.Y14",34.7572809862253,NA,NA,NA
"x0.X.Y15",6.94316330790353,NA,NA,NA
"x0.X.Y16",19.7853651958387,NA,NA,NA
"x0.X.Y17",0,NA,NA,NA
"x0.X.Y18",-5.19048234110629,NA,NA,NA
"x0.X.Y19",0,NA,NA,NA
"x0.X.Y20",42.6347035074979,NA,NA,NA
"x0.X.Y21",2.29085813235022,NA,NA,NA
"x0.X.Y22",61.1921400119176,NA,NA,NA
"x0.X.Y23",0,NA,NA,NA
"x0.X.Y24",0,NA,NA,NA
"x0.X.Y25",0,NA,NA,NA
"x0.X.Y26",26.4341068590935,NA,NA,NA
"x0.X.Y27",45.2611543660461,NA,NA,NA
"x0.X.Y28",7.57259414139913,NA,NA,NA
"x0.X.Y29",4.45624471789979,NA,NA,NA
"x0.X.Y30",52.4859490337078,NA,NA,NA
"x0.X.Y31",22.868581599015,NA,NA,NA
"x0.X.Y32",39.4994221337744,NA,NA,NA
"x0.X.Y33",58.3043404733347,NA,NA,NA
"x0.X.Y34",0,NA,NA,NA
"x0.X.Y35",0,NA,NA,NA
"x0.X.Y36",0,NA,NA,NA
"EEF-1",1,NA,NA,NA
"EEF-XA3S",2,NA,NA,NA
"EER-1",3,NA,NA,NA
"EFF-XA2N",4,NA,NA,NA
"EFR-XB1S",5,NA,NA,NA
"EHF-XB7S",6,NA,NA,NA
"EHR-1",7,NA,NA,NA
"EHR-XB1N",8,NA,NA,NA
"EHR-XB2N",9,NA,NA,NA
"EWF-XA1N",10,NA,NA,NA
"EWR-1",11,NA,NA,NA
"EWR-XB3N",12,NA,NA,NA
"EWR-XB4N",13,NA,NA,NA
"EWT-1",14,NA,NA,NA
"KEF-1",15,NA,NA,NA
"KER-1",16,NA,NA,NA
"KER-XD5N",17,NA,NA,NA
"KER-XE3S",18,NA,NA,NA
"KET-1",19,NA,NA,NA
"KFR-XE1S",20,NA,NA,NA
"KFR-XE2S",21,NA,NA,NA
"KHF-1",22,NA,NA,NA
"KHR-1",23,NA,NA,NA
"KHR-XD1N",24,NA,NA,NA
"KHR-XD1S",25,NA,NA,NA
"KHT-XD6N",26,NA,NA,NA
"KHT-XE4S",27,NA,NA,NA
"KHT-XE5S",28,NA,NA,NA
"KHT-XE6S",29,NA,NA,NA
"KWF-1",30,NA,NA,NA
"KWR-1",31,NA,NA,NA
"KWR-XE1N",32,NA,NA,NA
"KWT-1",33,NA,NA,NA
"LET-1",34,NA,NA,NA
"LHT-1",35,NA,NA,NA
"LWT-1",36,NA,NA,NA
