term,estimate,std.error,conf.low,conf.up,,,,Rmin,Rmax,Ravg
"R.(Y1,Y1)",426.2450369,244.1334181,-52.24767005,904.7377439,EEF-1,1,,0.008599704,2192.405296,348.2034882
"R.(Y2,Y2)",447.8031556,279.2061261,-99.43079576,995.037107,EEF-XA3S,2,,,,
"R.(Y3,Y3)",85.6692415,49.72378956,-11.78759521,183.1260782,EER-1,3,,,,
"R.(Y4,Y4)",44.69823516,30.93727034,-15.93770048,105.3341708,EFF-XA2N,4,,,,
"R.(Y5,Y5)",0.108049073,17.89711139,-34.96964468,35.18574283,EFR-XB1S,5,,,,
"R.(Y6,Y6)",0.008908104,5.201837116,-10.1865053,10.2043215,EHF-XB7S,6,,,,
"R.(Y7,Y7)",327.0269907,171.9749154,-10.03764968,664.0916312,EHR-1,7,,,,
"R.(Y8,Y8)",0.131186325,52.9033504,-103.5574751,103.8198478,EHR-XB1N,8,,,,
"R.(Y9,Y9)",0.045093355,52.76715501,-103.37663,103.4668167,EHR-XB2N,9,,,,
"R.(Y10,Y10)",100.608393,90.41048789,-76.5929071,277.8096931,EWF-XA1N,10,,,,
"R.(Y11,Y11)",0.023408655,3.176401317,-6.202223527,6.249040837,EWR-1,11,,,,
"R.(Y12,Y12)",0.050937038,52.77639925,-103.3889047,103.4907788,EWR-XB3N,12,,,,
"R.(Y13,Y13)",0.067010486,52.80182602,-103.4226668,103.5566878,EWR-XB4N,13,,,,
"R.(Y14,Y14)",2192.405296,1503.903051,-755.1905206,5140.001112,EWT-1,14,,,,
"R.(Y15,Y15)",6.604903873,14.11715631,-21.06421406,34.2740218,KEF-1,15,,,,
"R.(Y16,Y16)",63.02656372,34.64845654,-4.883163213,130.9362906,KER-1,16,,,,
"R.(Y17,Y17)",72.77761508,69.11402496,-62.68338467,208.2386148,KER-XD5N,17,,,,
"R.(Y18,Y18)",0.008817564,4.077082632,-7.982117557,7.999752685,KER-XE3S,18,,,,
"R.(Y19,Y19)",0.08297137,3.043573839,-5.882323739,6.04826648,KET-1,19,,,,
"R.(Y20,Y20)",81.20217499,43.4308264,-3.920680579,166.3250306,KFR-XE1S,20,,,,
"R.(Y21,Y21)",0.008599704,3.757609501,-7.356179587,7.373378995,KFR-XE2S,21,,,,
"R.(Y22,Y22)",449.8327652,345.7481486,-227.8211537,1127.486684,KHF-1,22,,,,
"R.(Y23,Y23)",121.1411774,83.31170032,-42.14675472,284.4291095,KHR-1,23,,,,
"R.(Y24,Y24)",624.1827284,535.4976867,-425.3734514,1673.738908,KHR-XD1N,24,,,,
"R.(Y25,Y25)",0.072351907,86.09040677,-168.6617448,168.8064486,KHR-XD1S,25,,,,
"R.(Y26,Y26)",1627.906139,1262.044353,-845.6553393,4101.467618,KHT-XD6N,26,,,,
"R.(Y27,Y27)",486.7319419,239.1997229,17.90909991,955.5547838,KHT-XE4S,27,,,,
"R.(Y28,Y28)",1324.359494,937.1286095,-512.3788293,3161.097818,KHT-XE5S,28,,,,
"R.(Y29,Y29)",1487.784725,1031.710342,-534.330388,3509.899838,KHT-XE6S,29,,,,
"R.(Y30,Y30)",549.3831442,287.8816308,-14.8544839,1113.620772,KWF-1,30,,,,
"R.(Y31,Y31)",0.032541218,2.604395575,-5.07198031,5.137062745,KWR-1,31,,,,
"R.(Y32,Y32)",170.0703245,91.78364381,-9.82231173,349.9629607,KWR-XE1N,32,,,,
"R.(Y33,Y33)",918.4184963,667.8842328,-390.6105458,2227.447538,KWT-1,33,,,,
"R.(Y34,Y34)",309.4746485,179.2595224,-41.8675593,660.8168563,LET-1,34,,,,
"R.(Y35,Y35)",369.8648945,211.5779655,-44.82029784,784.5500868,LHT-1,35,,,,
"R.(Y36,Y36)",247.4676166,158.1874474,-62.57408314,557.5093164,LWT-1,36,,,,
Q.diag,8.270140891,1.769588221,4.80181171,11.73847007,,,,,,
x0.X.Y1,23.1915035,17.14904921,-10.42001533,56.80302233,,,,,,
x0.X.Y2,18.49466423,16.83534395,-14.50200358,51.49133204,,,,,,
x0.X.Y3,17.52025472,14.69904434,-11.2893428,46.32985225,,,,,,
x0.X.Y4,16.7010559,15.08548777,-12.86595682,46.26806862,,,,,,
x0.X.Y5,35.29542452,14.9466179,6.000591747,64.59025729,,,,,,
x0.X.Y6,4.51635262,14.94331653,-24.77200959,33.80471483,,,,,,
x0.X.Y7,33.3488416,16.13324045,1.728271367,64.96941183,,,,,,
x0.X.Y8,51.0722652,14.94739977,21.77589998,80.36863042,,,,,,
x0.X.Y9,16.95278503,14.94452643,-12.33794853,46.24351859,,,,,,
x0.X.Y10,31.2260193,15.66195213,0.5291572,61.92288141,,,,,,
x0.X.Y11,-17.58494531,13.4894954,-44.02387047,8.853979848,,,,,,
x0.X.Y12,28.30403415,14.94472169,-0.987082117,57.59515041,,,,,,
x0.X.Y13,26.64189693,14.94525859,-2.650271643,55.93406551,,,,,,
x0.X.Y14,51.5865222,25.8291091,0.96239861,102.2106458,,,,,,
x0.X.Y15,1.716926998,13.97425246,-25.67210454,29.10595854,,,,,,
x0.X.Y16,4.413813892,14.68170568,-24.36180048,33.18942826,,,,,,
x0.X.Y17,4.639809679,14.80109672,-24.36980683,33.64942619,,,,,,
x0.X.Y18,-6.665951962,13.79210112,-33.69797343,20.36606951,,,,,,
x0.X.Y19,-19.07584379,15.75393227,-49.95298366,11.80129607,,,,,,
x0.X.Y20,40.88007613,15.38462475,10.72676572,71.03338655,,,,,,
x0.X.Y21,-2.963626982,14.37922521,-31.14639051,25.21913655,,,,,,
x0.X.Y22,13.40521209,17.64260025,-21.173649,47.98407318,,,,,,
x0.X.Y23,27.74826106,16.25448833,-4.109950641,59.60647277,,,,,,
x0.X.Y24,11.44879767,19.33849289,-26.4539519,49.35154725,,,,,,
x0.X.Y25,35.02510621,14.94543789,5.732586206,64.31762621,,,,,,
x0.X.Y26,38.63006133,24.89389578,-10.16107784,87.4212005,,,,,,
x0.X.Y27,25.78367241,16.78917331,-7.122502616,58.68984743,,,,,,
x0.X.Y28,33.53751946,22.12554565,-9.827753158,76.90279207,,,,,,
x0.X.Y29,29.82996173,22.70971004,-14.68025206,74.34017551,,,,,,
x0.X.Y30,34.40564985,17.57602817,-0.04273236,68.85403206,,,,,,
x0.X.Y31,-8.024104274,14.38005562,-36.20849539,20.16028684,,,,,,
x0.X.Y32,24.57592937,16.01030936,-6.803700353,55.95555909,,,,,,
x0.X.Y33,16.77146625,20.07343135,-22.57173625,56.11466875,,,,,,
x0.X.Y34,57.76312578,17.24057817,23.97221349,91.55403808,,,,,,
x0.X.Y35,69.64355975,17.57259688,35.20190275,104.0852167,,,,,,
x0.X.Y36,52.11158302,17.03554115,18.7225359,85.50063013,,,,,,
EEF-1,1,NA,NA,NA,,,,,,
EEF-XA3S,2,NA,NA,NA,,,,,,
EER-1,3,NA,NA,NA,,,,,,
EFF-XA2N,4,NA,NA,NA,,,,,,
EFR-XB1S,5,NA,NA,NA,,,,,,
EHF-XB7S,6,NA,NA,NA,,,,,,
EHR-1,7,NA,NA,NA,,,,,,
EHR-XB1N,8,NA,NA,NA,,,,,,
EHR-XB2N,9,NA,NA,NA,,,,,,
EWF-XA1N,10,NA,NA,NA,,,,,,
EWR-1,11,NA,NA,NA,,,,,,
EWR-XB3N,12,NA,NA,NA,,,,,,
EWR-XB4N,13,NA,NA,NA,,,,,,
EWT-1,14,NA,NA,NA,,,,,,
KEF-1,15,NA,NA,NA,,,,,,
KER-1,16,NA,NA,NA,,,,,,
KER-XD5N,17,NA,NA,NA,,,,,,
KER-XE3S,18,NA,NA,NA,,,,,,
KET-1,19,NA,NA,NA,,,,,,
KFR-XE1S,20,NA,NA,NA,,,,,,
KFR-XE2S,21,NA,NA,NA,,,,,,
KHF-1,22,NA,NA,NA,,,,,,
KHR-1,23,NA,NA,NA,,,,,,
KHR-XD1N,24,NA,NA,NA,,,,,,
KHR-XD1S,25,NA,NA,NA,,,,,,
KHT-XD6N,26,NA,NA,NA,,,,,,
KHT-XE4S,27,NA,NA,NA,,,,,,
KHT-XE5S,28,NA,NA,NA,,,,,,
KHT-XE6S,29,NA,NA,NA,,,,,,
KWF-1,30,NA,NA,NA,,,,,,
KWR-1,31,NA,NA,NA,,,,,,
KWR-XE1N,32,NA,NA,NA,,,,,,
KWT-1,33,NA,NA,NA,,,,,,
LET-1,34,NA,NA,NA,,,,,,
LHT-1,35,NA,NA,NA,,,,,,
LWT-1,36,NA,NA,NA,,,,,,
