term,estimate,std.error,conf.low,conf.up,,
R.diag,0.06642915,7.068464393,-13.78750649,13.92036478,,
U.1,1.468767121,0.282035715,0.915987277,2.021546965,,
Q.diag,68.17083197,7.771538921,52.93889558,83.40276836,,
x0.X.Y1,-28.13132884,37.35376545,-101.3433638,45.08070612,EEF-1,1
x0.X.Y2,-28.19770804,37.35376545,-101.409743,45.01432692,EEF-XA3S,2
x0.X.Y3,-38.36426984,37.35376544,-111.5763048,34.84776511,EER-1,3
x0.X.Y4,-25.88879975,37.35376545,-99.10083472,47.32323521,EFF-XA2N,4
x0.X.Y5,-13.06617636,37.35376545,-86.27821132,60.1458586,EFR-XB1S,5
x0.X.Y6,-27.54127708,37.35376545,-100.753312,45.67075788,EHF-XB7S,6
x0.X.Y7,-21.6128529,37.35376544,-94.82488786,51.59918205,EHR-1,7
x0.X.Y8,1.443380627,37.35376545,-71.76865433,74.65541559,EHR-XB1N,8
x0.X.Y9,-21.98449305,37.35376545,-95.19652801,51.22754191,EHR-XB2N,9
x0.X.Y10,-15.97053094,37.35376544,-89.1825659,57.24150402,EWF-XA1N,10
x0.X.Y11,-37.87359666,37.35376544,-111.0856316,35.3384383,EWR-1,11
x0.X.Y12,-17.37840981,37.35376545,-90.59044477,55.83362515,EWR-XB3N,12
x0.X.Y13,-26.49993628,37.35376544,-99.71197124,46.71209868,EWR-XB4N,13
x0.X.Y14,-22.10654376,37.35376544,-95.3185787,51.10549118,EWT-1,14
x0.X.Y15,-23.96607942,37.35376545,-97.17811438,49.24595554,KEF-1,15
x0.X.Y16,-28.78915148,37.35376545,-102.0011864,44.42288348,KER-1,16
x0.X.Y17,-29.2766228,37.35376545,-102.4886578,43.93541217,KER-XD5N,17
x0.X.Y18,-37.54527974,37.35376545,-110.7573147,35.66675522,KER-XE3S,18
x0.X.Y19,-49.12485804,37.35376545,-122.336893,24.08717692,KET-1,19
x0.X.Y20,-7.695434704,37.35376544,-80.90746966,65.51660025,KFR-XE1S,20
x0.X.Y21,-31.8461821,37.35376545,-105.0582171,41.36585286,KFR-XE2S,21
x0.X.Y22,-28.17345099,37.35376545,-101.385486,45.03858397,KHF-1,22
x0.X.Y23,-22.01078465,37.35376545,-95.22281961,51.20125032,KHR-1,23
x0.X.Y24,-34.92038084,37.35376544,-108.1324158,38.29165411,KHR-XD1N,24
x0.X.Y25,5.783097893,42.73504298,-77.97604722,89.54224301,KHR-XD1S,25
x0.X.Y26,-28.34422956,37.35376544,-101.5562645,44.86780539,KHT-XD6N,26
x0.X.Y27,-30.93568659,37.35376545,-104.1477216,42.27634837,KHT-XE4S,27
x0.X.Y28,-49.0865746,37.35376545,-122.2986096,24.12546036,KHT-XE5S,28
x0.X.Y29,-59.93771265,37.35376545,-133.1497476,13.27432231,KHT-XE6S,29
x0.X.Y30,-31.81093316,37.35376545,-105.0229681,41.4011018,KWF-1,30
x0.X.Y31,-39.36720884,37.35376545,-112.5792438,33.84482612,KWR-1,31
x0.X.Y32,-15.79707579,39.22151801,-92.66983851,61.07568692,KWR-XE1N,32
x0.X.Y33,-28.69878996,39.22151801,-105.5715527,48.17397276,KWT-1,33
x0.X.Y34,-25.8097608,37.35376545,-99.02179576,47.40227416,LET-1,34
x0.X.Y35,-22.52713743,37.35376544,-95.73917238,50.68489753,LHT-1,35
x0.X.Y36,-17.46921578,37.35376545,-90.68125074,55.74281918,LWT-1,36
EEF-1,1,NA,NA,NA,,
EEF-XA3S,2,NA,NA,NA,,
EER-1,3,NA,NA,NA,,
EFF-XA2N,4,NA,NA,NA,,
EFR-XB1S,5,NA,NA,NA,,
EHF-XB7S,6,NA,NA,NA,,
EHR-1,7,NA,NA,NA,,
EHR-XB1N,8,NA,NA,NA,,
EHR-XB2N,9,NA,NA,NA,,
EWF-XA1N,10,NA,NA,NA,,
EWR-1,11,NA,NA,NA,,
EWR-XB3N,12,NA,NA,NA,,
EWR-XB4N,13,NA,NA,NA,,
EWT-1,14,NA,NA,NA,,
KEF-1,15,NA,NA,NA,,
KER-1,16,NA,NA,NA,,
KER-XD5N,17,NA,NA,NA,,
KER-XE3S,18,NA,NA,NA,,
KET-1,19,NA,NA,NA,,
KFR-XE1S,20,NA,NA,NA,,
KFR-XE2S,21,NA,NA,NA,,
KHF-1,22,NA,NA,NA,,
KHR-1,23,NA,NA,NA,,
KHR-XD1N,24,NA,NA,NA,,
KHR-XD1S,25,NA,NA,NA,,
KHT-XD6N,26,NA,NA,NA,,
KHT-XE4S,27,NA,NA,NA,,
KHT-XE5S,28,NA,NA,NA,,
KHT-XE6S,29,NA,NA,NA,,
KWF-1,30,NA,NA,NA,,
KWR-1,31,NA,NA,NA,,
KWR-XE1N,32,NA,NA,NA,,
KWT-1,33,NA,NA,NA,,
LET-1,34,NA,NA,NA,,
LHT-1,35,NA,NA,NA,,
LWT-1,36,NA,NA,NA,,
