term,estimate,std.error,conf.low,conf.up,,Umin,Umax,Uavg,Qmin,Qmax,Qavg
R.diag,0.903394864,NA,NA,NA,,-1.339398867,19.08448303,2.546981934,0,469.9050508,46.58098305
U.X.Y1,-0.242605216,NA,NA,NA,,,,,,,
U.X.Y2,9.266316683,NA,NA,NA,,,,,,,
U.X.Y3,0.889409822,NA,NA,NA,,,,,,,
U.X.Y4,0.833550135,NA,NA,NA,,,,,,,
U.X.Y5,0.683534779,NA,NA,NA,,,,,,,
U.X.Y6,0,NA,NA,NA,,,,,,,
U.X.Y7,1.640032512,NA,NA,NA,,,,,,,
U.X.Y8,1.226124999,NA,NA,NA,,,,,,,
U.X.Y9,0.790258654,NA,NA,NA,,,,,,,
U.X.Y10,0,NA,NA,NA,,,,,,,
U.X.Y11,0.865129271,NA,NA,NA,,,,,,,
U.X.Y12,1.120805841,NA,NA,NA,,,,,,,
U.X.Y13,1.142297815,NA,NA,NA,,,,,,,
U.X.Y14,8.336021279,NA,NA,NA,,,,,,,
U.X.Y15,-0.101374784,NA,NA,NA,,,,,,,
U.X.Y16,7.789151204,NA,NA,NA,,,,,,,
U.X.Y17,0,NA,NA,NA,,,,,,,
U.X.Y18,-0.136337386,NA,NA,NA,,,,,,,
U.X.Y19,0,NA,NA,NA,,,,,,,
U.X.Y20,0.798172894,NA,NA,NA,,,,,,,
U.X.Y21,0.329989417,NA,NA,NA,,,,,,,
U.X.Y22,-0.61070532,NA,NA,NA,,,,,,,
U.X.Y23,0,NA,NA,NA,,,,,,,
U.X.Y24,0,NA,NA,NA,,,,,,,
U.X.Y25,0,NA,NA,NA,,,,,,,
U.X.Y26,17.29407884,NA,NA,NA,,,,,,,
U.X.Y27,-0.334084058,NA,NA,NA,,,,,,,
U.X.Y28,3.913369571,NA,NA,NA,,,,,,,
U.X.Y29,17.31978989,NA,NA,NA,,,,,,,
U.X.Y30,-1.339398867,NA,NA,NA,,,,,,,
U.X.Y31,0.574261089,NA,NA,NA,,,,,,,
U.X.Y32,0.559077525,NA,NA,NA,,,,,,,
U.X.Y33,19.08448303,NA,NA,NA,,,,,,,
U.X.Y34,0,NA,NA,NA,,,,,,,
U.X.Y35,0,NA,NA,NA,,,,,,,
U.X.Y36,0,NA,NA,NA,,,,,,,
"Q.(X.Y1,X.Y1)",28.26116767,NA,NA,NA,,,,,,,
"Q.(X.Y2,X.Y2)",108.9081887,NA,NA,NA,,,,,,,
"Q.(X.Y3,X.Y3)",14.94018547,NA,NA,NA,,,,,,,
"Q.(X.Y4,X.Y4)",14.93617822,NA,NA,NA,,,,,,,
"Q.(X.Y5,X.Y5)",1.37032094,NA,NA,NA,,,,,,,
"Q.(X.Y6,X.Y6)",0.05,NA,NA,NA,,,,,,,
"Q.(X.Y7,X.Y7)",32.24759005,NA,NA,NA,,,,,,,
"Q.(X.Y8,X.Y8)",9.25400071713532e-05,NA,NA,NA,,,,,,,
"Q.(X.Y9,X.Y9)",8.46114437741749e-05,NA,NA,NA,,,,,,,
"Q.(X.Y10,X.Y10)",0.05,NA,NA,NA,,,,,,,
"Q.(X.Y11,X.Y11)",6.19699763,NA,NA,NA,,,,,,,
"Q.(X.Y12,X.Y12)",8.64957669938472e-05,NA,NA,NA,,,,,,,
"Q.(X.Y13,X.Y13)",8.41746670812331e-05,NA,NA,NA,,,,,,,
"Q.(X.Y14,X.Y14)",73.28423901,NA,NA,NA,,,,,,,
"Q.(X.Y15,X.Y15)",2.37336853058992e-05,NA,NA,NA,,,,,,,
"Q.(X.Y16,X.Y16)",41.13474994,NA,NA,NA,,,,,,,
"Q.(X.Y17,X.Y17)",0.05,NA,NA,NA,,,,,,,
"Q.(X.Y18,X.Y18)",2.27090969525224e-05,NA,NA,NA,,,,,,,
"Q.(X.Y19,X.Y19)",0.05,NA,NA,NA,,,,,,,
"Q.(X.Y20,X.Y20)",5.398509778,NA,NA,NA,,,,,,,
"Q.(X.Y21,X.Y21)",0,NA,NA,NA,,,,,,,
"Q.(X.Y22,X.Y22)",81.76951521,NA,NA,NA,,,,,,,
"Q.(X.Y23,X.Y23)",0.05,NA,NA,NA,,,,,,,
"Q.(X.Y24,X.Y24)",0.05,NA,NA,NA,,,,,,,
"Q.(X.Y25,X.Y25)",0.05,NA,NA,NA,,,,,,,
"Q.(X.Y26,X.Y26)",38.29953987,NA,NA,NA,,,,,,,
"Q.(X.Y27,X.Y27)",75.00164954,NA,NA,NA,,,,,,,
"Q.(X.Y28,X.Y28)",184.9556599,NA,NA,NA,,,,,,,
"Q.(X.Y29,X.Y29)",469.9050508,NA,NA,NA,,,,,,,
"Q.(X.Y30,X.Y30)",171.5449186,NA,NA,NA,,,,,,,
"Q.(X.Y31,X.Y31)",2.193925397,NA,NA,NA,,,,,,,
"Q.(X.Y32,X.Y32)",2.11917734707762e-05,NA,NA,NA,,,,,,,
"Q.(X.Y33,X.Y33)",0.000121835,NA,NA,NA,,,,,,,
"Q.(X.Y34,X.Y34)",0.05,NA,NA,NA,,,,,,,
"Q.(X.Y35,X.Y35)",0.05,NA,NA,NA,,,,,,,
