term,estimate,std.error,conf.low,conf.up,,Umin,Umax,Uaverage
R.diag,83.11027309,10.97320862,61.60317941,104.6173668,,-1.623720667,11.54841455,2.119905517
U.X.Y1,-0.390663359,1.649338455,-3.623307328,2.841980611,,,,
U.X.Y2,1.052614119,1.59573656,-2.074972067,4.180200304,,,,
U.X.Y3,0.512035581,1.584057111,-2.592659306,3.616730468,,,,
U.X.Y4,0.435469849,1.645111614,-2.788889665,3.659829363,,,,
U.X.Y5,-1.623720667,4.624491571,-10.68755759,7.440116259,,,,
U.X.Y6,1.03186479,1.725948484,-2.350932078,4.414661658,,,,
U.X.Y7,2.040421875,1.584235421,-1.064622494,5.145466244,,,,
U.X.Y8,0.205500616,2.094085229,-3.898831013,4.309832246,,,,
U.X.Y9,-0.694519385,2.094085224,-4.798851005,3.409812236,,,,
U.X.Y10,0.183767682,1.65662995,-3.063167356,3.43070272,,,,
U.X.Y11,1.485404956,1.58622178,-1.623532604,4.594342516,,,,
U.X.Y12,-0.550057771,2.094085228,-4.654389399,3.554273858,,,,
U.X.Y13,-0.14267823,2.094085221,-4.247009844,3.961653384,,,,
U.X.Y14,4.132782673,1.62428212,0.949248218,7.316317128,,,,
U.X.Y15,0.474021787,1.603374122,-2.668533746,3.616577319,,,,
U.X.Y16,1.835725276,1.574478618,-1.250196109,4.921646662,,,,
U.X.Y17,1.338214877,1.617442907,-1.831914966,4.508344721,,,,
U.X.Y18,0.218001837,1.589783046,-2.897915676,3.33391935,,,,
U.X.Y19,3.890208149,1.772044581,0.417064591,7.363351706,,,,
U.X.Y20,2.48569112,1.59999927,-0.650249826,5.621632065,,,,
U.X.Y21,1.187454778,1.611469649,-1.970967695,4.345877252,,,,
U.X.Y22,2.946919386,1.584446224,-0.158538148,6.052376921,,,,
U.X.Y23,1.275433644,1.651321716,-1.961097446,4.511964734,,,,
U.X.Y24,3.578880811,1.617470515,0.408696857,6.749064766,,,,
U.X.Y25,2.316154982,1.731159953,-1.076856177,5.709166141,,,,
U.X.Y26,11.54841455,2.360198649,6.922510198,16.17431889,,,,
U.X.Y27,2.797350383,1.575703643,-0.290972008,5.885672774,,,,
U.X.Y28,4.708328647,1.60190474,1.568653049,7.848004245,,,,
U.X.Y29,8.20210414,2.076487538,4.132263351,12.27194493,,,,
U.X.Y30,2.194076595,1.612776594,-0.966907445,5.355060635,,,,
U.X.Y31,2.729673981,1.602459645,-0.411089211,5.870437172,,,,
U.X.Y32,3.274110949,1.600013346,0.138142416,6.410079483,,,,
U.X.Y33,1.958679569,1.603174939,-1.183485572,5.100844711,,,,
U.X.Y34,2.37400666,1.655347155,-0.870414146,5.618427466,,,,
U.X.Y35,4.697664002,1.646856705,1.469884173,7.92544383,,,,
U.X.Y36,2.607259772,1.657966886,-0.642295612,5.856815157,,,,
Q.diag,43.95364635,20.15402974,4.452473918,83.45481879,,,,
Q.offdiag,43.94593816,20.14995336,4.452755282,83.43912104,,,,
x0.X.Y1,13.60216975,51.16540686,-86.68018495,113.8845244,,,,
x0.X.Y2,-26.88581555,48.6879146,-122.3123747,68.54074355,,,,
x0.X.Y3,-8.202077345,48.49516773,-103.2508595,86.84670483,,,,
x0.X.Y4,-14.04512958,51.06887684,-114.1382889,86.04802975,,,,
