term,estimate,std.error,conf.low,conf.up,,Umin,Umax,Umean
R.diag,0.066234091,6.730610394,-13.12551988,13.25798806,,0.060790176,7.559285095,1.562525409
U.X.Y1,0.296452558,1.590739199,-2.821338981,3.414244096,,,,
U.X.Y2,0.681900031,1.601526367,-2.457033968,3.82083403,,,,
U.X.Y3,1.183580034,1.590761479,-1.934255173,4.30141524,,,,
U.X.Y4,0.23160635,1.590793414,-2.886291448,3.349504147,,,,
U.X.Y5,1.097074454,1.590731613,-2.020702217,4.214851126,,,,
U.X.Y6,0.06120481,1.592033831,-3.059124161,3.181533782,,,,
U.X.Y7,1.243473647,1.590968018,-1.874766368,4.361713663,,,,
U.X.Y8,0.524454021,1.591031977,-2.593911352,3.642819394,,,,
U.X.Y9,0.333576419,1.590725327,-2.784187932,3.45134077,,,,
U.X.Y10,0.38189949,1.590950605,-2.736306397,3.500105378,,,,
U.X.Y11,0.938603356,1.590823514,-2.179353438,4.05656015,,,,
U.X.Y12,0.320752407,1.590753355,-2.797066877,3.438571692,,,,
U.X.Y13,1.023893747,1.590829057,-2.09407391,4.141861404,,,,
U.X.Y14,2.327809036,1.591151106,-0.790789825,5.446407897,,,,
U.X.Y15,0.239983613,1.590701657,-2.877734344,3.35770157,,,,
U.X.Y16,7.36680676,2.51547778,2.436560908,12.29705261,,,,
U.X.Y17,2.780322585,1.591072487,-0.338122186,5.898767357,,,,
U.X.Y18,0.159529884,1.658432036,-3.090937176,3.409996945,,,,
U.X.Y19,1.46850457,1.590782443,-1.649371725,4.586380865,,,,
U.X.Y20,1.26387352,1.590765229,-1.853969037,4.381716077,,,,
U.X.Y21,0.060790176,1.590702282,-3.056929007,3.178509359,,,,
U.X.Y22,0.499945807,1.590801267,-2.617967383,3.617858997,,,,
U.X.Y23,3.291929378,1.591308068,0.173022876,6.41083588,,,,
U.X.Y24,2.214518548,1.590785485,-0.90336371,5.332400806,,,,
U.X.Y25,0.240462762,1.824701854,-3.335887155,3.816812679,,,,
U.X.Y26,7.559285095,1.592613895,4.43781922,10.68075097,,,,
U.X.Y27,1.410120487,1.590905797,-1.707997578,4.528238553,,,,
U.X.Y28,2.356251637,1.591098424,-0.76224397,5.474747243,,,,
U.X.Y29,2.48471584,1.591173305,-0.633926532,5.603358212,,,,
U.X.Y30,0.130025713,1.590712666,-2.987713822,3.247765249,,,,
U.X.Y31,1.788362054,1.590807931,-1.329564197,4.906288305,,,,
U.X.Y32,1.227678261,1.658518722,-2.022958702,4.478315223,,,,
U.X.Y33,0.659301218,1.66520914,-2.604448723,3.923051159,,,,
U.X.Y34,2.668547783,1.659415594,-0.583847016,5.920942583,,,,
U.X.Y35,3.714411063,1.65872506,0.463369685,6.965452441,,,,
U.X.Y36,2.019267618,1.658981129,-1.232275645,5.270810881,,,,
Q.diag,63.2529677,7.333982637,48.87862587,77.62730953,,,,
x0.X.Y1,-4.683881983,47.72223768,-98.21774909,88.84998513,,,,
x0.X.Y2,-12.45968535,47.86635157,-106.2760105,81.35663979,,,,
x0.X.Y3,-32.65938586,47.72253478,-126.1938353,60.87506355,,,,
x0.X.Y4,-1.144170651,47.72296062,-94.6794547,92.3911134,,,,
x0.X.Y5,-5.631616297,47.72213653,-99.16528515,87.90205256,,,,
x0.X.Y6,0.611376992,47.73950513,-92.95633369,94.17908768,,,,
x0.X.Y7,-17.10618238,47.72528903,-110.64603,76.43366527,,,,
x0.X.Y8,20.33090983,47.72614198,-73.21060958,113.8724292,,,,
x0.X.Y9,0.7205772,47.7220527,-92.81292737,94.25408177,,,,
x0.X.Y10,5.768325597,47.72505682,-87.77106693,99.30771813,,,,
x0.X.Y11,-27.26925347,47.72336201,-120.8053242,66.2668173,,,,
x0.X.Y12,5.583235821,47.72242645,-87.95100127,99.11747292,,,,
x0.X.Y13,-17.60159358,47.72343593,-111.1378092,75.93462205,,,,
x0.X.Y14,-39.28609628,47.72773072,-132.8307296,54.25853699,,,,
x0.X.Y15,0.610826506,47.72173706,-92.92205942,94.14371243,,,,
x0.X.Y16,-146.7560706,61.61527278,-267.5197862,-25.99235507,,,,
x0.X.Y17,-55.5092138,47.72668224,-149.0517921,38.0333645,,,,
x0.X.Y18,-11.35915456,48.63537215,-106.6827323,83.96442322,,,,
x0.X.Y19,-49.11957311,47.72281432,-142.6545704,44.41542421,,,,
x0.X.Y20,-3.596975537,47.72258478,-97.13152296,89.93757189,,,,
x0.X.Y21,-3.685227473,47.72174541,-97.21812975,89.8476748,,,,
x0.X.Y22,-8.795863861,47.72306535,-102.3313532,84.73962545,,,,
x0.X.Y23,-58.47598586,47.72982414,-152.0247222,35.07275043,,,,
x0.X.Y24,-49.83543636,47.72285489,-143.3705132,43.69964047,,,,
x0.X.Y25,37.72038454,62.41467359,-84.61012781,160.0508969,,,,
x0.X.Y26,-150.160149,47.74724439,-243.7430283,-56.57726962,,,,
x0.X.Y27,-29.7627211,47.72445928,-123.3009425,63.77550027,,,,
x0.X.Y28,-66.83710908,47.72702814,-160.3803653,26.70614716,,,,
x0.X.Y29,-80.25775337,47.7280268,-173.802967,13.28746021,,,,
x0.X.Y30,-5.034744696,47.72188387,-98.56791836,88.49842897,,,,
x0.X.Y31,-45.75920594,47.72315421,-139.2948694,47.77645754,,,,
x0.X.Y32,-10.49242679,52.18322897,-112.7696762,91.78482258,,,,
x0.X.Y33,-10.88943352,52.28626186,-113.3686237,91.58975662,,,,
x0.X.Y34,-49.80641198,48.64879114,-145.1562905,45.54346653,,,,
x0.X.Y35,-67.44192964,48.63936953,-162.7733421,27.88948287,,,,
x0.X.Y36,-28.47953641,48.64286307,-123.8177961,66.85872331,,,,
EEF-1,1,NA,NA,NA,,,,
EEF-XA3S,2,NA,NA,NA,,,,
EER-1,3,NA,NA,NA,,,,
EFF-XA2N,4,NA,NA,NA,,,,
EFR-XB1S,5,NA,NA,NA,,,,
EHF-XB7S,6,NA,NA,NA,,,,
EHR-1,7,NA,NA,NA,,,,
EHR-XB1N,8,NA,NA,NA,,,,
EHR-XB2N,9,NA,NA,NA,,,,
EWF-XA1N,10,NA,NA,NA,,,,
EWR-1,11,NA,NA,NA,,,,
EWR-XB3N,12,NA,NA,NA,,,,
EWR-XB4N,13,NA,NA,NA,,,,
EWT-1,14,NA,NA,NA,,,,
KEF-1,15,NA,NA,NA,,,,
KER-1,16,NA,NA,NA,,,,
KER-XD5N,17,NA,NA,NA,,,,
KER-XE3S,18,NA,NA,NA,,,,
KET-1,19,NA,NA,NA,,,,
KFR-XE1S,20,NA,NA,NA,,,,
KFR-XE2S,21,NA,NA,NA,,,,
KHF-1,22,NA,NA,NA,,,,
KHR-1,23,NA,NA,NA,,,,
KHR-XD1N,24,NA,NA,NA,,,,
KHR-XD1S,25,NA,NA,NA,,,,
KHT-XD6N,26,NA,NA,NA,,,,
KHT-XE4S,27,NA,NA,NA,,,,
KHT-XE5S,28,NA,NA,NA,,,,
KHT-XE6S,29,NA,NA,NA,,,,
KWF-1,30,NA,NA,NA,,,,
KWR-1,31,NA,NA,NA,,,,
KWR-XE1N,32,NA,NA,NA,,,,
KWT-1,33,NA,NA,NA,,,,
LET-1,34,NA,NA,NA,,,,
LHT-1,35,NA,NA,NA,,,,
LWT-1,36,NA,NA,NA,,,,
