"term","estimate","std.error","conf.low","conf.up"
"R.diag",935.020730130436,41.3457614752662,853.98452672553,1016.05693353534
"Q.(X1,X1)",25.7182944906058,28.8877048945686,-30.9005666987701,82.3371556799816
"Q.(X2,X2)",0.000525419667643708,4.89558416797169,-9.59464323284135,9.59569407217664
"Q.(X3,X3)",67.9899154907773,56.807255084299,-43.3502585350287,179.330089516583
"Q.(X4,X4)",52.2750369889134,48.4094966738408,-42.6058330015261,147.155906979353
"Q.(X5,X5)",0.000535503518184062,2.61922422598957,-5.13304964685617,5.13412065389254
"Q.(X6,X6)",0.000494154793699408,7.24145345563427,-14.1924938139726,14.19348212356
"Q.(X7,X7)",43.7382261459635,34.8101897754096,-24.4884921088438,111.964944400771
"Q.(X8,X8)",21.9079943588812,22.8194809998038,-22.8173665466303,66.6333552643927
"Q.(X9,X9)",46.8304316239645,37.5702503524941,-26.8059059570772,120.466769205006
"Q.(X10,X10)",9.17357246396691,11.8588529073567,-14.0693521324103,32.4164970603442
"Q.(X11,X11)",70.2383902799796,44.9067346819597,-17.7771923599571,158.253972919916
"Q.(X12,X12)",41.8723121403898,33.7921000448666,-24.3589869095231,108.103611190303
"x0.X1",9.20458067415365,12.6895466626575,-15.6664737647954,34.0756351131027
"x0.X2",31.3337442630866,4.72375991475956,22.0753449585439,40.5921435676294
"x0.X3",3.82774436047895,17.805062488748,-31.0695368599523,38.7250255809102
"x0.X4",-0.541619606310934,17.3881513520515,-34.6217700140633,33.5385308014414
"x0.X5",47.8658591163592,3.50534742158982,40.9955044167428,54.7362138159756
"x0.X6",39.8512924243971,4.56744786309263,30.8992591114712,48.8033257373231
"x0.X7",44.8634909919083,10.2255045940314,24.821870263858,64.9051117199586
"x0.X8",45.321820830048,8.87496831508424,27.9272025685488,62.7164390915472
"x0.X9",3.05862689941362,9.87112454735516,-16.2884217003117,22.405675499139
"x0.X10",27.1096189427611,6.48467789739678,14.3998838125205,39.8193540730017
"x0.X11",6.57453413974572,10.7019192965007,-14.40084224685,27.5499105263414
"x0.X12",12.1269905534188,10.0409616385051,-7.55293262819957,31.8069137350371
"EEF-1-2019",1,NA,NA,NA
"EEF-1-2021",2,NA,NA,NA
"EEF-1-2024",3,NA,NA,NA
"EEF-XA3S-2019",4,NA,NA,NA
"EEF-XA3S-2021",5,NA,NA,NA
"EEF-XA3S-2024",6,NA,NA,NA
"EER-1-2019",7,NA,NA,NA
"EER-1-2021",8,NA,NA,NA
"EER-1-2024",9,NA,NA,NA
"EER-XB4S-2021",10,NA,NA,NA
"EER-XB4S-2024",11,NA,NA,NA
"EET-1-2019",12,NA,NA,NA
"EET-1-2021",13,NA,NA,NA
"EET-1-2024",14,NA,NA,NA
"EET-2-2019",15,NA,NA,NA
