"term","estimate","std.error","conf.low","conf.up"
"AIC",10583.7757529331,NA,NA,NA
"R.diag",742.913372463798,32.6810326686684,678.859725455631,806.967019471965
"Q.(X1,X1)",24.9482645230622,25.5007148629789,-25.0322181884017,74.9287472345262
"Q.(X2,X2)",23.9200755688949,22.1843003046778,-19.5603540504945,67.4005051882843
"Q.(X3,X3)",119.521866399703,84.3499669954735,-45.8010310085673,284.844763807973
"Q.(X4,X4)",41.8453756406138,38.1931430098678,-33.0118091151149,116.702560396342
"Q.(X5,X5)",0.000316800132206178,0.720458495674898,-1.4117559037465,1.41238950401091
"Q.(X6,X6)",68.3194789549882,45.9081962402391,-21.6589322710777,158.297890181054
"Q.(X7,X7)",60.8304577828125,43.1681816710238,-23.7776235704763,145.438539136101
"Q.(X8,X8)",20.1008458946034,15.6390034388355,-10.5510375996123,50.7527293888191
"Q.(X9,X9)",101.885522310469,57.876382821628,-11.5501035753743,215.321148196313
"x0.X1",10.7522553300703,12.3393629142212,-13.4324515739725,34.9369622341131
"x0.X2",4.03563149474777,11.6108013247666,-18.7211209334447,26.7923839229403
"x0.X3",-4.7581274388294,22.330524832436,-48.5251518662813,39.0088969886225
"x0.X4",28.9435962938645,10.221247216151,8.91031987312827,48.9768727146008
"x0.X5",45.7019546141246,2.27736993778669,41.2383915565884,50.1655176716607
"x0.X6",53.311679033772,11.1554853301021,31.447329556707,75.176028510837
"x0.X7",7.79210033330718,10.294958869808,-12.3856482738378,27.9698489404521
"x0.X8",11.2398758022378,6.66756299647905,-1.82830753551308,24.3080591399887
"x0.X9",5.41927212779346,11.7810634373862,-17.6711879090652,28.5097321646522
"EEF-1-2019",1,NA,NA,NA
"EEF-1-2021",2,NA,NA,NA
"EEF-1-2024",3,NA,NA,NA
"EEF-XA3S-2019",4,NA,NA,NA
"EEF-XA3S-2021",5,NA,NA,NA
"EEF-XA3S-2024",6,NA,NA,NA
"EER-1-2019",7,NA,NA,NA
"EER-1-2021",8,NA,NA,NA
"EER-1-2024",9,NA,NA,NA
"EER-XB4S-2021",10,NA,NA,NA
"EER-XB4S-2024",11,NA,NA,NA
"EET-1-2019",12,NA,NA,NA
"EET-1-2021",13,NA,NA,NA
"EET-1-2024",14,NA,NA,NA
"EET-2-2019",15,NA,NA,NA
"EET-2-2021",16,NA,NA,NA
"EET-2-2024",17,NA,NA,NA
"EFF-XA2N-2019",18,NA,NA,NA
"EFF-XA2N-2021",19,NA,NA,NA
"EFF-XA2N-2024",20,NA,NA,NA
"EFF-XA2S-2019",21,NA,NA,NA
"EFF-XA2S-2021",22,NA,NA,NA
"EFF-XA2S-2024",23,NA,NA,NA
"EFR-XB1S-2019",24,NA,NA,NA
"EFR-XB1S-2021",25,NA,NA,NA
"EFR-XB1S-2024",26,NA,NA,NA
"EFR-XB2S-2021",27,NA,NA,NA
"EFR-XB2S-2024",28,NA,NA,NA
"EFR-XB3S-2019",29,NA,NA,NA
"EFR-XB3S-2021",30,NA,NA,NA
"EFR-XB3S-2024",31,NA,NA,NA
"EFT-XC3S-2024",32,NA,NA,NA
"EFT-XC4S-2024",33,NA,NA,NA
"EHF-XB7S-2019",34,NA,NA,NA
"EHF-XB7S-2021",35,NA,NA,NA
"EHF-XB7S-2024",36,NA,NA,NA
"EHR-1-2019",37,NA,NA,NA
"EHR-1-2021",38,NA,NA,NA
"EHR-1-2024",39,NA,NA,NA
"EHR-XB1N-2019",40,NA,NA,NA
"EHR-XB1N-2021",41,NA,NA,NA
"EHR-XB1N-2024",42,NA,NA,NA
"EHR-XB2N-2019",43,NA,NA,NA
"EHR-XB2N-2021",44,NA,NA,NA
"EHR-XB2N-2024",45,NA,NA,NA
"EHT-XA5S-2019",46,NA,NA,NA
"EHT-XA5S-2021",47,NA,NA,NA
"EHT-XA5S-2024",48,NA,NA,NA
"EHT-XB5S-2021",49,NA,NA,NA
"EHT-XB5S-2024",50,NA,NA,NA
"EHT-XB6S-2021",51,NA,NA,NA
"EHT-XB6S-2024",52,NA,NA,NA
"EHT-XC5S-2021",53,NA,NA,NA
