,DT,baro LEVEL,Date,Time,ms,TEMPERATURE,logger LEVEL,Compensated Level
0,2019-10-03 10:40:00,8.147991082399999,10/3/19,10:40:00 AM,0,8.986,9.0566,0.9086089176000005
1,2019-10-03 10:50:00,8.1462983472,10/3/19,10:50:00 AM,0,8.973,9.055,0.9087016527999996
2,2019-10-03 11:00:00,8.1467674184,10/3/19,11:00:00 AM,0,8.972,9.055,0.9082325816000001
3,2019-10-03 11:10:00,8.147246686799999,10/3/19,11:10:00 AM,0,8.975,9.0532,0.9059533132000013
4,2019-10-03 11:20:00,8.1474302364,10/3/19,11:20:00 AM,0,8.969,9.0518,0.9043697636000001
5,2019-10-03 11:30:00,8.1465532772,10/3/19,11:30:00 AM,0,8.966,9.0511,0.9045467227999993
6,2019-10-03 11:40:00,8.145788487199999,10/3/19,11:40:00 AM,0,8.97,9.0495,0.9037115128000011
7,2019-10-03 11:50:00,8.144340484799999,10/3/19,11:50:00 AM,0,8.973,9.0478,0.9034595152000016
8,2019-10-03 12:00:00,8.145084880399999,10/3/19,12:00:00 PM,0,8.969,9.0464,0.9013151196000013
9,2019-10-03 12:10:00,8.144789161599999,10/3/19,12:10:00 PM,0,8.962,9.0451,0.9003108384000011
10,2019-10-03 12:20:00,8.1416076352,10/3/19,12:20:00 PM,0,8.958,9.045,0.9033923648000002
11,2019-10-03 12:30:00,8.139598786799999,10/3/19,12:30:00 PM,0,8.959,9.0448,0.9052012132000016
12,2019-10-03 12:40:00,8.1417198044,10/3/19,12:40:00 PM,0,8.962,9.0435,0.9017801956000007
13,2019-10-03 12:50:00,8.144819753199998,10/3/19,12:50:00 PM,0,8.963,9.0426,0.8977802468000018
14,2019-10-03 13:00:00,8.143249384399999,10/3/19,1:00:00 PM,0,8.963,9.0414,0.8981506156000005
15,2019-10-03 13:10:00,8.142209269999999,10/3/19,1:10:00 PM,0,8.959,9.0401,0.8978907300000021
16,2019-10-03 13:20:00,8.140689887199999,10/3/19,1:20:00 PM,0,8.955,9.0387,0.8980101128000015
17,2019-10-03 13:30:00,8.1375083608,10/3/19,1:30:00 PM,0,8.952,9.0371,0.8995916392000005
18,2019-10-03 13:40:00,8.139048138,10/3/19,1:40:00 PM,0,8.951,9.0358,0.8967518620000003
19,2019-10-03 13:50:00,8.1372432336,10/3/19,1:50:00 PM,0,8.95,9.0341,0.8968567664000009
20,2019-10-03 14:00:00,8.13965997,10/3/19,2:00:00 PM,0,8.951,9.0331,0.8934400299999989
21,2019-10-03 14:10:00,8.1389563632,10/3/19,2:10:00 PM,0,8.952,9.0323,0.8933436367999992
22,2019-10-03 14:20:00,8.1368455428,10/3/19,2:20:00 PM,0,8.954,9.0312,0.8943544572000004
