,DT,baro LEVEL,Date,Time,ms,TEMPERATURE,logger LEVEL,Compensated Level
0,2018-08-25 07:40:00,8.1961728524,8/25/2018,07:40:00 am,0,11.293,8.1857,-0.01047285239999951
1,2018-08-25 07:50:00,8.1961932468,8/25/2018,07:50:00 am,0,11.305,8.1853,-0.010893246800000256
2,2018-08-25 08:00:00,8.196794881599999,8/25/2018,08:00:00 am,0,11.313,8.1862,-0.01059488159999944
3,2018-08-25 08:10:00,8.1969886284,8/25/2018,08:10:00 am,0,11.318,8.1862,-0.010788628400000277
4,2018-08-25 08:20:00,8.1974169108,8/25/2018,08:20:00 am,0,11.32,8.1863,-0.011116910800000213
5,2018-08-25 08:30:00,8.197875784799999,8/25/2018,08:30:00 am,0,11.323,8.1864,-0.011475784799998223
6,2018-08-25 08:40:00,8.1974475024,8/25/2018,08:40:00 am,0,11.324,8.1858,-0.0116475023999989
7,2018-08-25 08:50:00,8.197855390399999,8/25/2018,08:50:00 am,0,11.326,8.1857,-0.012155390399998467
8,2018-08-25 09:00:00,8.1989464908,8/25/2018,09:00:00 am,0,11.327,8.1861,-0.012846490799999444
9,2018-08-25 09:10:00,8.199701083599999,8/25/2018,09:10:00 am,0,11.327,8.1869,-0.01280108359999943
10,2018-08-25 09:20:00,8.199792858399999,8/25/2018,09:20:00 am,0,11.327,8.1875,-0.012292858399998607
11,2018-08-25 09:30:00,8.2011082972,8/25/2018,09:30:00 am,0,11.328,8.1884,-0.012708297199999663
12,2018-08-25 09:40:00,8.2022605808,8/25/2018,09:40:00 am,0,11.328,8.1891,-0.013160580800001043
13,2018-08-25 09:50:00,8.203035567999999,8/25/2018,09:50:00 am,0,11.328,8.1895,-0.013535567999998221
14,2018-08-25 10:00:00,8.2047792892,8/25/2018,10:00:00 am,0,11.328,8.1903,-0.014479289199998746
15,2018-08-25 10:10:00,8.207430561199999,8/25/2018,10:10:00 am,0,11.328,8.191,-0.016430561199998195
16,2018-08-25 10:20:00,8.208613436399999,8/25/2018,10:20:00 am,0,11.328,8.1915,-0.01711343639999896
17,2018-08-25 10:30:00,8.2098778892,8/25/2018,10:30:00 am,0,11.327,8.1922,-0.017677889199999797
18,2018-08-25 10:40:00,8.210071636,8/25/2018,10:40:00 am,0,11.327,8.1919,-0.018171635999999936
19,2018-08-25 10:50:00,8.2112647084,8/25/2018,10:50:00 am,0,11.327,8.1927,-0.018564708399999574
20,2018-08-25 11:00:00,8.2113360888,8/25/2018,11:00:00 am,0,11.326,8.1918,-0.019536088799998907
21,2018-08-25 11:10:00,8.2119887096,8/25/2018,11:10:00 am,0,11.327,8.1918,-0.0201887095999993
22,2018-08-25 11:20:00,8.213436712,8/25/2018,11:20:00 am,0,11.326,8.1929,-0.02053671200000018
23,2018-08-25 11:30:00,8.213232768,8/25/2018,11:30:00 am,0,11.326,8.1925,-0.020732767999998458
24,2018-08-25 11:40:00,8.2131511904,8/25/2018,11:40:00 am,0,11.326,8.1927,-0.02045119039999932
25,2018-08-25 11:50:00,8.213324542799999,8/25/2018,11:50:00 am,0,11.325,8.1923,-0.021024542799999324
26,2018-08-25 12:00:00,8.2126821192,8/25/2018,12:00:00 pm,0,11.325,8.1924,-0.020282119200000892
27,2018-08-25 12:10:00,8.2127534996,8/25/2018,12:10:00 pm,0,11.325,8.1917,-0.021053499599998915
28,2018-08-25 12:20:00,8.212518964000001,8/25/2018,12:20:00 pm,0,11.324,8.1915,-0.02101896400000136
29,2018-08-25 12:30:00,8.212671922,8/25/2018,12:30:00 pm,0,11.324,8.1921,-0.020571922000000242
30,2018-08-25 12:40:00,8.2120906816,8/25/2018,12:40:00 pm,0,11.323,8.1922,-0.019890681599999738
31,2018-08-25 12:50:00,8.2113564832,8/25/2018,12:50:00 pm,0,11.323,8.1914,-0.019956483199999653
32,2018-08-25 13:00:00,8.2112647084,8/25/2018,01:00:00 pm,0,11.323,8.1911,-0.020164708399999398
33,2018-08-25 13:10:00,8.2099390724,8/25/2018,01:10:00 pm,0,11.322,8.1911,-0.018839072399998713
34,2018-08-25 13:20:00,8.210561101599998,8/25/2018,01:20:00 pm,0,11.322,8.1913,-0.019261101599997943
35,2018-08-25 13:30:00,8.211101553199999,8/25/2018,01:30:00 pm,0,11.321,8.1915,-0.019601553199999344
