"","timestamp","well_id","water_binary","ground_to_water","week_fac","bi_week_fac"
"1",2018-05-31,"EER-1",1,-17.8634366666667,"22","11"
"2",2018-05-31,"EFF-XA2N",1,-8.95325,"22","11"
"3",2018-05-31,"EHR-1",1,-29.9101236257143,"22","11"
"4",2018-06-01,"EEF-1",1,-5.24741666666666,"22","11"
"5",2018-06-01,"EET-1",1,-9.36822916666666,"22","11"
"6",2018-06-01,"EFR-XB1S",1,-34.9060833333333,"22","11"
"7",2018-06-01,"EHF-XA3S",1,-3.84285256333334,"22","11"
"8",2018-06-01,"EHT-XA5S",1,0.694628787333338,"22","11"
"9",2018-06-01,"EHT-XB5S",1,-17.3401666666667,"22","11"
"10",2018-06-01,"EHT-XC6S",0,-118.11,"22","11"
"11",2018-06-01,"EWF-XA2S",1,-10.62925,"22","11"
"12",2018-06-01,"EWR-1",1,-5.42644999999999,"22","11"
"13",2018-06-01,"EWT-1",1,-35.9995833333333,"22","11"
"14",2018-06-01,"KFF-XD6S",1,-19.1379166666667,"22","11"
"15",2018-06-01,"KFF-XE8S",1,1.7875,"22","11"
"16",2018-06-01,"KFR-XE1S",1,-44.0545833333333,"22","11"
"17",2018-06-01,"KFR-XE2S",1,-3.40375,"22","11"
"18",2018-06-01,"KHF-XD4S",1,-33.8829166666667,"22","11"
"19",2018-06-01,"KHR-XD2N",1,-28.06625,"22","11"
"20",2018-06-01,"KHR-XE2N",1,-55.2029166666667,"22","11"
"21",2018-06-01,"KHT-XD3S",1,-39.4420833333333,"22","11"
"22",2018-06-01,"KHT-XD6N",1,-27.48875,"22","11"
"23",2018-06-01,"KHT-XE5S",1,-8.20208333333333,"22","11"
"24",2018-06-01,"KHT-XE6S",1,-5.01541666666667,"22","11"
"25",2018-06-02,NA,NA,NA,"22","11"
"26",2018-06-03,NA,NA,NA,"22","11"
"27",2018-06-04,NA,NA,NA,"23","11"
"28",2018-06-05,NA,NA,NA,"23","11"
"29",2018-06-06,NA,NA,NA,"23","11"
"30",2018-06-07,NA,NA,NA,"23","11"
"31",2018-06-08,NA,NA,NA,"23","11"
"32",2018-06-09,NA,NA,NA,"23","11"
"33",2018-06-10,NA,NA,NA,"23","11"
"34",2018-06-11,NA,NA,NA,"24","12"
"35",2018-06-12,NA,NA,NA,"24","12"
"36",2018-06-13,NA,NA,NA,"24","12"
"37",2018-06-14,NA,NA,NA,"24","12"
"38",2018-06-15,NA,NA,NA,"24","12"
"39",2018-06-16,NA,NA,NA,"24","12"
"40",2018-06-17,NA,NA,NA,"24","12"
"41",2018-06-18,"EEF-1",1,-1.64908333333333,"25","12"
"42",2018-06-18,"EER-1",1,-29.9284366666667,"25","12"
"43",2018-06-18,"EET-1",1,-48.7382291666667,"25","12"
"44",2018-06-18,"EFF-XA2N",1,-16.25575,"25","12"
"45",2018-06-18,"EFR-XB1S",1,-40.6210833333333,"25","12"
"46",2018-06-18,"EHF-XA3S",1,-5.32451923,"25","12"
"47",2018-06-18,"EHR-1",1,-44.7267902923809,"25","12"
"48",2018-06-18,"EHT-XA5S",1,-36.1353712126667,"25","12"
"49",2018-06-18,"EHT-XB5S",1,-62.531,"25","12"
"50",2018-06-18,"EHT-XC6S",0,-118.11,"25","12"
"51",2018-06-18,"EWF-XA2S",1,-20.15425,"25","12"
"52",2018-06-18,"EWR-1",1,-11.2472833333333,"25","12"
"53",2018-06-18,"EWT-1",1,-75.07325,"25","12"
"54",2018-06-19,"KER-1",1,-19.6404166666667,"25","12"
"55",2018-06-19,"KFF-XD6S",1,-37.4470833333333,"25","12"
"56",2018-06-19,"KFF-XE8S",1,-6.36166666666666,"25","12"
"57",2018-06-19,"KFR-XE1S",1,-52.7329166666667,"25","12"
"58",2018-06-19,"KFR-XE2S",1,-5.83791666666667,"25","12"
"59",2018-06-19,"KHR-XD2N",1,-41.1895833333333,"25","12"
"60",2018-06-19,"KHR-XE2N",1,-60.4945833333333,"25","12"
"61",2018-06-19,"KHT-XD6N",1,-69.8220833333333,"25","12"
"62",2018-06-19,"KHT-XE5S",1,-30.63875,"25","12"
"63",2018-06-19,"KHT-XE6S",1,-24.3829166666667,"25","12"
"64",2018-06-19,"KWT-1",1,-60.88875,"25","12"
"65",2018-06-20,NA,NA,NA,"25","12"
"66",2018-06-21,NA,NA,NA,"25","12"
"67",2018-06-22,NA,NA,NA,"25","12"
"68",2018-06-23,NA,NA,NA,"25","12"
"69",2018-06-24,NA,NA,NA,"25","12"
"70",2018-06-25,NA,NA,NA,"26","13"
"71",2018-06-26,NA,NA,NA,"26","13"
"72",2018-06-27,NA,NA,NA,"26","13"
"73",2018-06-28,NA,NA,NA,"26","13"
"74",2018-06-29,NA,NA,NA,"26","13"
"75",2018-06-30,"EEF-1",1,-5.03575,"26","13"
