,Unnamed: 0,DT,baro LEVEL,Date,Time,ms,TEMPERATURE,logger LEVEL,Compensated Level
0,0,2018-07-15 17:40:00,8.549827044199999,7/15/2018,05:40:00 pm,0,9.04,8.1976,-0.3522270441999993
1,1,2018-07-15 17:50:00,8.55154629212,7/15/2018,05:50:00 pm,0,9.028,8.1969,-0.35464629212
2,2,2018-07-15 18:00:00,8.55316050888,7/15/2018,06:00:00 pm,0,9.018,8.1968,-0.3563605088799999
3,3,2018-07-15 18:10:00,8.55360714624,7/15/2018,06:10:00 pm,0,9.009,8.1977,-0.3559071462399998
4,4,2018-07-15 18:20:00,8.5547013058,7/15/2018,06:20:00 pm,0,9.003,8.1966,-0.3581013058
5,5,2018-07-15 18:30:00,8.5556955328,7/15/2018,06:30:00 pm,0,8.997,8.1974,-0.3582955327999997
6,6,2018-07-15 18:40:00,8.55394977216,7/15/2018,06:40:00 pm,0,8.992,8.1973,-0.356649772159999
7,7,2018-07-15 18:50:00,8.556720351400001,7/15/2018,06:50:00 pm,0,8.988,8.1988,-0.3579203514000006
8,8,2018-07-15 19:00:00,8.5592594542,7/15/2018,07:00:00 pm,0,8.985,8.1996,-0.3596594541999991
9,9,2018-07-15 19:10:00,8.55616766316,7/15/2018,07:10:00 pm,0,8.981,8.2002,-0.3559676631599995
10,10,2018-07-15 19:20:00,8.55931145992,7/15/2018,07:20:00 pm,0,8.978,8.2009,-0.3584114599199992
11,11,2018-07-15 19:30:00,8.56218910976,7/15/2018,07:30:00 pm,0,8.976,8.2022,-0.3599891097600007
12,12,2018-07-15 19:40:00,8.55849262476,7/15/2018,07:40:00 pm,0,8.973,8.203,-0.3554926247600001
13,13,2018-07-15 19:50:00,8.55823055672,7/15/2018,07:50:00 pm,0,8.971,8.2053,-0.3529305567200005
14,14,2018-07-15 20:00:00,8.55798888308,7/15/2018,08:00:00 pm,0,8.97,8.2063,-0.3516888830799995
15,15,2018-07-15 20:10:00,8.558169373519998,7/15/2018,08:10:00 pm,0,8.967,8.2073,-0.3508693735199983
16,16,2018-07-15 20:20:00,8.558633346119999,7/15/2018,08:20:00 pm,0,8.966,8.2083,-0.3503333461199993
17,17,2018-07-15 20:30:00,8.559082022919998,7/15/2018,08:30:00 pm,0,8.965,8.208,-0.3510820229199982
18,18,2018-07-15 20:40:00,8.55992431164,7/15/2018,08:40:00 pm,0,8.964,8.2076,-0.3523243116400003
19,19,2018-07-15 20:50:00,8.56199944184,7/15/2018,08:50:00 pm,0,8.962,8.2077,-0.3542994418399985
20,20,2018-07-15 21:00:00,8.56390121964,7/15/2018,09:00:00 pm,0,8.961,8.2082,-0.3557012196400002
21,21,2018-07-15 21:10:00,8.56161398768,7/15/2018,09:10:00 pm,0,8.96,8.2088,-0.3528139876799994
22,22,2018-07-15 21:20:00,8.5624052904,7/15/2018,09:20:00 pm,0,8.96,8.2097,-0.3527052903999994
23,23,2018-07-15 21:30:00,8.5631802776,7/15/2018,09:30:00 pm,0,8.959,8.2101,-0.3530802776000001
24,24,2018-07-15 21:40:00,8.565240112,7/15/2018,09:40:00 pm,0,8.958,8.2108,-0.3544401119999989
